atom_index,is_anchor,RMSF_A
0,True,1.749046015258468e-05
1,False,2.814007096952058e-06
2,False,6.797799713349984e-06
3,False,1.3502766873386452e-05
4,False,1.3474855449581375e-05
5,False,6.6864014067712644e-06
6,False,2.920909164332898e-06
7,True,1.7368642749315062e-05
