linker,conformer_id,distance_A,Rg_A,energy_kcal_mol,mmff_status
Flexible PEG,0,8.466606288001977,3.0998156367456193,49.317445130684156,0
Flexible PEG,1,10.589604883097262,3.618586660205244,47.67573341582957,0
Flexible PEG,2,8.119098257890425,3.2167228753943973,47.755013017862865,0
Flexible PEG,3,9.668698034601283,3.3901691868867734,48.42199721396689,0
Flexible PEG,4,10.40219830799115,3.453783912048257,49.20736236537122,0
Flexible PEG,5,9.73324331741977,3.1953439114486337,52.45300475538478,0
Flexible PEG,6,9.077965372455372,3.2011361339862825,52.89007592812017,0
Flexible PEG,7,9.987350763829578,3.501832735103837,46.434920732593696,0
Flexible PEG,8,10.199667229921557,3.384432051665826,52.62634188499792,0
Flexible PEG,9,9.212867072637389,3.0183857537999246,51.92670580477809,0
Flexible PEG,10,10.049773113926028,3.3664584602022036,52.065193663991266,0
Flexible PEG,11,9.510148641343948,3.1813013983437743,51.82276928725662,0
Flexible PEG,12,6.465055745838613,2.9242485288071367,51.1375806679604,0
Flexible PEG,13,8.229600104400348,3.2444640116019783,49.84427961868576,0
Flexible PEG,14,10.402173192007629,3.453776719139534,49.20736240966627,0
Flexible PEG,15,10.133317494216351,3.5061109465442386,47.93794988031733,0
Flexible PEG,16,9.903365007641455,3.3187143614487065,53.53805951938896,0
Flexible PEG,17,10.589578355861935,3.6185883081058625,47.67573333924908,0
Flexible PEG,18,10.212564376933152,3.4051060317887147,48.29215027775109,0
Flexible PEG,19,9.07772938270981,3.2010994928367347,52.8900757968732,0
Flexible PEG,20,9.461913070456088,3.3020426203914686,50.71728953825246,0
Flexible PEG,21,10.500021799417672,3.5692288630964506,46.11929833893785,0
Flexible PEG,22,8.72626853276818,3.240939120534047,49.23086192440478,0
Flexible PEG,23,8.55639018613911,3.2976822819757383,49.56818765563561,0
Flexible PEG,24,8.976700048810542,3.2285906247956864,46.158683244909604,0
Flexible PEG,25,8.25683445983184,3.03620553745563,51.03217356408949,0
Flexible PEG,26,10.725101756457116,3.608754009653635,46.61951320536264,0
Flexible PEG,27,9.616093718158044,3.3949666963312115,49.32789426237386,0
Flexible PEG,28,8.689803139281317,3.149922079029453,45.893054393812946,0
Flexible PEG,29,8.61845677885704,3.2029765895576503,52.03813662751302,0
Flexible PEG,30,11.030833379970788,3.6074300553099956,47.60486270870683,0
Flexible PEG,31,9.485989877853415,3.0768981345159125,55.03890898903035,0
Flexible PEG,32,11.109455157997493,3.5940030737808017,48.59863554442349,0
Flexible PEG,33,8.58296722990846,3.226761645295158,49.70695304464414,0
Flexible PEG,34,9.317528653356415,3.3377955675391964,48.792987134718565,0
Flexible PEG,35,10.52335584691349,3.525829273146377,48.64497898473708,0
Flexible PEG,36,11.056688756836408,3.6711699430528864,46.21234518385115,0
Flexible PEG,37,10.699791415273596,3.5372760186779084,48.24083415893381,0
Flexible PEG,38,10.447204310574651,3.3850291163432673,52.1753491239297,0
Flexible PEG,39,10.872012901626249,3.596588210518428,47.92134130535135,0
Flexible PEG,40,10.230998700648751,3.3702249824557247,49.82436704598544,0
Flexible PEG,41,8.963737650732376,3.118628850592293,47.9396594062067,0
Flexible PEG,42,10.203893600010474,3.3920772866477917,51.527765395698964,0
Flexible PEG,43,9.735123261685226,3.2580697152867706,49.86536884370034,0
Flexible PEG,44,9.045839281707257,3.090806038872564,50.350092279722986,0
Flexible PEG,45,10.69974887926461,3.5372791836364144,48.240834260976506,0
Flexible PEG,46,9.989717142957213,3.2593944686469096,51.71119864083177,0
Flexible PEG,47,8.903249847630693,3.3707028091540536,48.007791238892054,0
Flexible PEG,48,8.630425459090041,3.105392317433393,52.49020416917182,0
Flexible PEG,49,7.901642930007211,2.9480161115325503,54.80849400390836,0
Flexible PEG,50,10.135379370440461,3.4615785817410414,49.76964124057429,0
Flexible PEG,51,10.451970014095288,3.4553103058896673,50.318110871919224,0
Flexible PEG,52,8.779074397924898,3.303930972135922,49.74117256433017,0
Flexible PEG,53,9.987069631869597,3.501796886139306,46.43492057906839,0
Flexible PEG,54,11.056674341215103,3.6711689408274317,46.21234518865057,0
Flexible PEG,55,9.192690248328605,3.1274316660385253,49.441462479992175,0
Flexible PEG,56,8.16950815328824,2.960395973706431,54.90274288869376,0
Flexible PEG,57,11.301311796031273,3.7689142998198966,44.45044486965635,0
Flexible PEG,58,10.45345860194197,3.3833685106315974,50.04910844964016,0
Flexible PEG,59,9.45963922974891,3.3959155957031184,51.24665361383938,0
Flexible PEG,60,9.228051303852235,3.2056309862373915,50.01888325577616,0
Flexible PEG,61,9.761143899658094,3.222752075803422,49.46103179278035,0
Flexible PEG,62,10.345015985493353,3.4117835610550293,46.315368548748374,0
Flexible PEG,63,11.30128737193156,3.7689114260986454,44.4504448437955,0
Flexible PEG,64,8.490958517944218,3.1439643640449013,52.09458399318646,0
Flexible PEG,65,10.830525490873013,3.548120633665287,47.84294861278361,0
Flexible PEG,66,9.759392524172563,3.3573724670274205,50.36440932077001,0
Flexible PEG,67,8.28034342916408,3.2365513606771263,48.40460218195135,0
Flexible PEG,68,10.990944182356303,3.5436122263101915,49.731807255607336,0
Flexible PEG,69,9.016450863234812,3.122423712941812,48.815232024229374,0
Flexible PEG,70,9.228440204874003,3.30160196581166,49.82021342279367,0
Flexible PEG,71,10.118007986738117,3.6005356078267132,47.6712219217008,0
Flexible PEG,72,9.709865812401706,3.37898538199447,51.77040677148977,0
Flexible PEG,73,10.561050051424724,3.5267396164153566,48.63973519001408,0
Flexible PEG,74,8.118929795772832,3.2167001098067196,47.755013131520045,0
Flexible PEG,75,10.463835855774343,3.44382347551229,50.67305556663135,0
Flexible PEG,76,10.135353377002948,3.461577676672392,49.76964123641081,0
Flexible PEG,77,8.376755445875439,3.1670357861265837,50.95235281704734,0
Flexible PEG,78,10.469022160235149,3.481941082543568,51.20841434552173,0
Flexible PEG,79,10.463782504431698,3.4438219474804344,50.673055426319806,0
Flexible PEG,80,9.317526193028128,3.337795582697272,48.79298713411022,0
Flexible PEG,81,10.063051292545579,3.369750674842097,50.67287147131394,0
Flexible PEG,82,10.352846175116701,3.4833900006195306,47.86427077699844,0
