linker,smiles,conformers,mean_distance_A,distance_sd_A,linker_RMSF_A,mean_Rg_A,compatible_fraction,mmff_converged
Flexible PEG,[CH3:1]COCCOCCOC[CH3:2],100,9.671506974115696,0.957658373701765,0.7759621095159155,3.3518443333860324,0.96,100
Rigid alkynyl,[CH3:1]C#CC#CC#C[CH3:2],100,9.604953908366946,3.909639659398285e-07,8.862513127657507e-06,3.2967463622454987,1.0,100
