formulation,absorption_enabled,time_h,undissolved_mg,dissolved_mg,precipitated_mg,absorbed_mg,growth_site_activation,free_concentration_mg_ml
crystalline,False,0.0,100.0,0.0,0.0,0.0,0.0,0.0
crystalline,False,0.008333333333333333,99.96407620094895,0.03592379905105818,0.0,0.0,0.0,3.991533227895353e-05
crystalline,False,0.016666666666666666,99.92830432888212,0.07169567111788838,0.0,0.0,0.0,7.966185679765376e-05
crystalline,False,0.025,99.89268367432155,0.10731632567845543,0.0,0.0,0.0,0.00011924036186495048
crystalline,False,0.03333333333333333,99.85721353162602,0.14278646837398865,0.0,0.0,0.0,0.00015865163152665405
crystalline,False,0.041666666666666664,99.82189319896624,0.17810680103376322,0.0,0.0,0.0,0.00019789644559307026
crystalline,False,0.05,99.7867219783003,0.2132780216996938,0.0,0.0,0.0,0.00023697557966632644
crystalline,False,0.058333333333333334,99.75169917534927,0.24830082465073602,0.0,0.0,0.0,0.00027588980516748447
crystalline,False,0.06666666666666667,99.7168240995729,0.28317590042710267,0.0,0.0,0.0,0.0003146398893634474
crystalline,False,0.075,99.68209606414571,0.3179039358542936,0.0,0.0,0.0,0.00035322659539365956
crystalline,False,0.08333333333333333,99.64751438593306,0.35248561406694195,0.0,0.0,0.0,0.0003916506822966022
crystalline,False,0.09166666666666666,99.61307838546753,0.3869216145324771,0.0,0.0,0.0,0.00042991290503608564
crystalline,False,0.1,99.57878738692541,0.4212126130746078,0.0,0.0,0.0,0.000468014014527342
crystalline,False,0.10833333333333334,99.5446407181034,0.4553592818966258,0.0,0.0,0.0,0.0005059547576629175
crystalline,False,0.11666666666666667,99.51063771039549,0.48936228960453243,0.0,0.0,0.0,0.0005437358773383693
crystalline,False,0.125,99.47677769877002,0.5232223012299876,0.0,0.0,0.0,0.000581358112477764
crystalline,False,0.13333333333333333,99.44306002174693,0.5569399782530868,0.0,0.0,0.0,0.0006188221980589853
crystalline,False,0.14166666666666666,99.40948402137505,0.5905159786249623,0.0,0.0,0.0,0.000656128865138847
crystalline,False,0.15,99.37604904320979,0.6239509567902167,0.0,0.0,0.0,0.0006932788408780186
crystalline,False,0.15833333333333333,99.34275443629083,0.6572455637091824,0.0,0.0,0.0,0.0007302728485657583
crystalline,False,0.16666666666666666,99.30959955312,0.6904004468800164,0.0,0.0,0.0,0.0007671116076444627
crystalline,False,0.175,99.27658374963939,0.7234162503606265,0.0,0.0,0.0,0.0008037958337340295
crystalline,False,0.18333333333333332,99.24370638520958,0.7562936147904309,0.0,0.0,0.0,0.0008403262386560344
