route,I_over_Ki,time_h,blood,liver,gut_depot,kidney,brain,lung,rest,metabolic_loss_mg,urinary_loss_mg,fecal_biliary_loss_mg,plasma_AUC_mg_h_l,hepatocyte_mg,renal_cell_mg,enterocyte_mg
IV,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IV,0.0,0.1,6.304888573019374,11.328858241535869,0.0,1.068328022140667,13.388663896052854,0.5905370255934724,65.60336210326301,0.04039238206679713,0.3775200082560024,0.12009364651491475,0.4269085812255728,1.0349027861093751,0.14245331715450396,0.0
IV,0.0,0.2,3.3359384956712397,4.868971805624357,0.0,0.5187567973592896,11.128551220133282,0.31069930336157464,77.0213963222272,0.14709871075781814,0.5258648882516506,0.32358054692498095,0.5172118749740945,1.6648518264583685,0.15429008493709448,0.0
IV,0.0,0.30000000000000004,2.290032042081104,2.6760807749616187,0.0,0.3467139699186388,8.562301041514932,0.21276564546987436,82.37047883656557,0.28711962687796555,0.6459001269646405,0.5445656937013977,0.5719539500170069,1.9294808962472498,0.1345613474038648,0.0
IV,0.0,0.4,1.8202172414331348,1.8695749456106026,0.0,0.2713359365080722,6.539627001525727,0.1688764843438153,85.27157633098048,0.4388677019337986,0.7487822471371521,0.770211740005936,0.6125093379936675,1.9937024766899305,0.10722789553821817,0.0
IV,0.0,0.5,1.5697330463277603,1.5148631395645082,0.0,0.23195602484388247,5.091836224358076,0.14552409759753512,86.97379506484839,0.591500204269676,0.8377811321237558,0.9961852554386462,0.646180028649027,1.9646431571922522,0.08218265514238658,0.0
IV,0.0,0.6000000000000001,1.418109055479283,1.3261793079110458,0.0,0.20842036724234772,4.0902779906149265,0.13140618531014456,87.99408103566518,0.7400544678871741,0.9146831220822523,1.2206342629678226,0.6759435600661807,1.8931745498386658,0.06297965670803446,0.0
IV,0.0,0.7000000000000001,1.3195526253664134,1.2113524565630875,0.0,0.19322844758506436,3.405875787431224,0.12223541545604981,88.58840855936643,0.8822857539498389,0.9816277197601265,1.4425947396689518,0.7032533880913219,1.802948433579319,0.04989006298037134,0.0
IV,0.0,0.8,1.2531240349230437,1.1360853160234128,0.0,0.18303231846471824,2.93992488486788,0.11605627660071371,88.90407283759828,1.0172668650944194,1.0411430818658443,1.6614944012884252,0.7289379530757961,1.706150479943866,0.04164950503627204,0.0
IV,0.0,0.9,1.2073965687103188,1.0847813237380435,0.0,0.1760365780577987,2.6226546712507384,0.11180371823921037,89.03366396462718,1.144780419770782,1.0955730757703817,1.8769814796858602,0.75351543616595,1.609649585673728,0.036678616182836174,0.0
