formulation,absorption_enabled,time_h,undissolved_mg,dissolved_mg,precipitated_mg,absorbed_mg,growth_site_activation,free_concentration_mg_ml
crystalline,False,0.0,100.0,0.0,0.0,0.0,0.0,0.0
crystalline,False,0.008333333333333333,99.96407620094895,0.03592379905105818,0.0,0.0,0.0,3.991533227895353e-05
crystalline,False,0.016666666666666666,99.92830432888212,0.07169567111788838,0.0,0.0,0.0,7.966185679765376e-05
crystalline,False,0.025,99.89268367432155,0.10731632567845548,0.0,0.0,0.0,0.00011924036186495052
crystalline,False,0.03333333333333333,99.85721353162602,0.1427864683739887,0.0,0.0,0.0,0.0001586516315266541
crystalline,False,0.041666666666666664,99.82189319896624,0.17810680103376328,0.0,0.0,0.0,0.0001978964455930703
crystalline,False,0.05,99.7867219783003,0.21327802169969384,0.0,0.0,0.0,0.0002369755796663265
crystalline,False,0.058333333333333334,99.75169917534927,0.24830082465073608,0.0,0.0,0.0,0.0002758898051674845
crystalline,False,0.06666666666666667,99.7168240995729,0.2831759004271027,0.0,0.0,0.0,0.0003146398893634475
crystalline,False,0.075,99.68209606414571,0.31790393585429366,0.0,0.0,0.0,0.0003532265953936596
crystalline,False,0.08333333333333333,99.64751438593306,0.352485614066942,0.0,0.0,0.0,0.00039165068229660225
crystalline,False,0.09166666666666666,99.61307838546753,0.38692161453247703,0.0,0.0,0.0,0.0004299129050360856
crystalline,False,0.1,99.57878738692541,0.4212126130746078,0.0,0.0,0.0,0.000468014014527342
crystalline,False,0.10833333333333334,99.5446407181034,0.4553592818966258,0.0,0.0,0.0,0.0005059547576629175
crystalline,False,0.11666666666666667,99.51063771039549,0.48936228960453243,0.0,0.0,0.0,0.0005437358773383693
crystalline,False,0.125,99.47677769877002,0.5232223012299876,0.0,0.0,0.0,0.000581358112477764
crystalline,False,0.13333333333333333,99.44306002174693,0.5569399782530867,0.0,0.0,0.0,0.0006188221980589852
crystalline,False,0.14166666666666666,99.40948402137505,0.5905159786249622,0.0,0.0,0.0,0.0006561288651388469
crystalline,False,0.15,99.37604904320979,0.6239509567902166,0.0,0.0,0.0,0.0006932788408780184
crystalline,False,0.15833333333333333,99.34275443629083,0.6572455637091823,0.0,0.0,0.0,0.0007302728485657582
crystalline,False,0.16666666666666666,99.30959955312,0.6904004468800163,0.0,0.0,0.0,0.0007671116076444626
crystalline,False,0.175,99.27658374963939,0.7234162503606264,0.0,0.0,0.0,0.0008037958337340293
crystalline,False,0.18333333333333332,99.24370638520958,0.7562936147904307,0.0,0.0,0.0,0.000840326238656034
crystalline,False,0.19166666666666665,99.21096682258805,0.7890331774119576,0.0,0.0,0.0,0.0008767035304577306
crystalline,False,0.2,99.17836442790774,0.8216355720922766,0.0,0.0,0.0,0.0009129284134358628
crystalline,False,0.20833333333333334,99.14589857065575,0.8541014293442751,0.0,0.0,0.0,0.0009490015881603057
crystalline,False,0.21666666666666667,99.11356862365224,0.8864313763477701,0.0,0.0,0.0,0.0009849237514975224
crystalline,False,0.225,99.08137396302955,0.9186260369704647,0.0,0.0,0.0,0.0010206955966338498
crystalline,False,0.23333333333333334,99.04931396821127,0.9506860317887466,0.0,0.0,0.0,0.0010563178130986073
crystalline,False,0.24166666666666667,99.01738802189168,0.9826119781083301,0.0,0.0,0.0,0.0010917910867870334
crystalline,False,0.25,98.98559551001526,1.0144044899847469,0.0,0.0,0.0,0.001127116099983052
crystalline,False,0.2583333333333333,98.95393582175633,1.0460641782436801,0.0,0.0,0.0,0.001162293531381867
crystalline,False,0.26666666666666666,98.92240834949885,1.0775916505011507,0.0,0.0,0.0,0.0011973240561123897
crystalline,False,0.275,98.89101248881646,1.1089875111835494,0.0,0.0,0.0,0.0012322083457594994
crystalline,False,0.2833333333333333,98.85974763845248,1.140252361547525,0.0,0.0,0.0,0.001266947068386139
crystalline,False,0.2916666666666667,98.82861320030028,1.17138679969972,0.0,0.0,0.0,0.0013015408885552445
crystalline,False,0.3,98.79760857938365,1.202391420616363,0.0,0.0,0.0,0.0013359904673515145
crystalline,False,0.30833333333333335,98.76673318383729,1.233266816162715,0.0,0.0,0.0,0.0013702964624030165
crystalline,False,0.31666666666666665,98.73598642488764,1.2640135751123718,0.0,0.0,0.0,0.0014044595279026353
crystalline,False,0.325,98.70536771683359,1.2946322831664243,0.0,0.0,0.0,0.0014384803146293603
crystalline,False,0.3333333333333333,98.67487647702754,1.3251235229724774,0.0,0.0,0.0,0.0014723594699694194
crystalline,False,0.3416666666666667,98.64451212585648,1.3554878741435274,0.0,0.0,0.0,0.0015060976379372528
crystalline,False,0.35,98.61427408672331,1.385725913276703,0.0,0.0,0.0,0.0015396954591963368
crystalline,False,0.35833333333333334,98.58416178602815,1.4158382139718664,0.0,0.0,0.0,0.0015731535710798515
crystalline,False,0.36666666666666664,98.55417465314994,1.4458253468500781,0.0,0.0,0.0,0.001606472607611198
crystalline,False,0.375,98.52431212042809,1.475687879571929,0.0,0.0,0.0,0.0016396531995243656
crystalline,False,0.3833333333333333,98.49457362314429,1.5054263768557326,0.0,0.0,0.0,0.0016726959742841474
crystalline,False,0.39166666666666666,98.46495859950443,1.5350414004955908,0.0,0.0,0.0,0.001705601556106212
crystalline,False,0.4,98.4354664906207,1.564533509379322,0.0,0.0,0.0,0.0017383705659770245
crystalline,False,0.4083333333333333,98.40609674049377,1.5939032595062625,0.0,0.0,0.0,0.001771003621673625
crystalline,False,0.4166666666666667,98.37684879599509,1.6231512040049367,0.0,0.0,0.0,0.001803501337783263
