formulation,drug_loading,absorption_enabled,gamma_scale,nucleation_scale,absorption_scale,drug_activity_in_dry_ASD,source_solubility_mg_ml,polymer_concentration_mg_ml_assumed,gamma_J_m2_assumed,AUC_mg_h_ml,excess_AUC_mg_h_ml,Cmax_mg_ml,absorbed_mg,fraction_absorbed_proxy,induction_1pct_precip_h,induction_right_censored,supersaturation_over_1p05_duration_h,max_mass_error_mg,minimum_compartment_mg,solver_nfev
ASD,0.1,False,1.0,1.0,1.0,0.3429132249360313,0.03429132249360314,1.0,0.0076363636363636364,0.19090689040204079,0.13154632035801475,0.034291179573421274,0.0,0.0,,True,5.854401151119476,1.1368683772161603e-13,-1.8072612616794022e-25,4541
ASD,0.2,False,1.0,1.0,1.0,0.5808859564696951,0.05808859564696951,0.4444444444444444,0.00726530612244898,0.31912417695817774,0.259483819823847,0.0577066610048215,0.0,0.0,4.241933700769283,False,5.920651032203282,8.526512829121202e-14,-2.4216365648437612e-24,4541
ASD,0.3,False,1.0,1.0,1.0,0.7427121889655363,0.07427121889655362,0.25925925925925924,0.00688659793814433,0.3702218063757632,0.3104997283399823,0.06988616303022599,0.0,0.0,1.6326072125554716,False,5.939351263850758,4.263256414560601e-14,-4.695410143974558e-21,4541
ASD,0.5,False,1.0,1.0,1.0,0.9180756468753661,0.09180756468753662,0.1111111111111111,0.006105263157894737,0.2364683710133515,0.176692457307555,0.07278590903062605,0.0,0.0,0.78476703029163,False,5.951678889582168,4.263256414560601e-14,-2.9025239387749002e-09,4745
