id,concentration_M,kobs_ODE_fit_s,kobs_exact_s,kobs_rapid_equilibrium_s,kobs_QSSA_s,relative_fit_eigen_error,model
W01,1e-09,2.885415809919457e-05,2.8854159254868318e-05,2.9702970297029702e-05,2.8846153846153845e-05,4.00522413013249e-08,forward-only clamped free inhibitor
W01,1.6155980984398763e-09,4.635009070204774e-05,4.635009228558645e-05,4.769734554555598e-05,4.632955681005573e-05,3.4164736817388075e-08,forward-only clamped free inhibitor
W01,2.6101572156825333e-09,7.419718638970273e-05,7.419718970785267e-05,7.63128315902319e-05,7.414506192861549e-05,4.472069570216064e-08,forward-only clamped free inhibitor
W01,4.216965034285823e-09,0.00011812354343498274,0.0001181235476243042,0.00012138997809709304,0.00011799340802840266,3.5465591241568006e-08,forward-only clamped free inhibitor
W01,6.812920690579622e-09,0.00018644000093990325,0.00018644000924512814,0.0001913510270068054,0.0001861234720213777,4.4546366040343344e-08,forward-only clamped free inhibitor
W01,1.1006941712522103e-08,0.0002903783113325792,0.00029037832443876556,0.0002974663082159429,0.0002896387241123531,4.513486473456396e-08,forward-only clamped free inhibitor
W01,1.7782794100389228e-08,0.00044331569909569925,0.00044331571831972104,0.00045293867163396985,0.00044168859230750125,4.336417813721738e-08,forward-only clamped free inhibitor
W01,2.8729848333536684e-08,0.0006575726314444667,0.0006575726602584774,0.0006695381538654074,0.0006542901710657122,4.3818747963442206e-08,forward-only clamped free inhibitor
W01,4.641588833612782e-08,0.0009378332692828993,0.0009378333045836319,0.0009510420391584263,0.0009319468401856315,3.764073253087474e-08,forward-only clamped free inhibitor
W01,7.498942093324559e-08,0.0012730470226099736,0.0012730470747428844,0.0012856106477748556,0.001263941764741796,4.095128280923177e-08,forward-only clamped free inhibitor
W01,1.21152765862859e-07,0.0016333780321304953,0.001633378112636903,0.0016434716345079055,0.0016214758546006425,4.928828611916458e-08,forward-only clamped free inhibitor
W01,1.9573417814876615e-07,0.0019787422030752796,0.0019787423026372793,0.0019855754858030374,0.0019656355964528384,5.0315798860722794e-08,forward-only clamped free inhibitor
W01,3.162277660168379e-07,0.0022752790216664094,0.0022752791455188,0.002279240779943874,0.0022629304997236533,5.443393213955261e-08,forward-only clamped free inhibitor
W01,5.108969774506935e-07,0.002506895218903595,0.0025068953146857283,0.0025089188339874977,0.0024966582157104397,3.820747218608034e-08,forward-only clamped free inhibitor
W01,8.25404185268019e-07,0.0026748774515607063,0.002674877564313442,0.0026758173295778724,0.002667170823975987,4.215248472494437e-08,forward-only clamped free inhibitor
W01,1.333521432163324e-06,0.002790316873725652,0.0027903169947033394,0.002790725137923281,0.0027848970484661254,4.335625225504458e-08,forward-only clamped free inhibitor
W01,2.1544346900318865e-06,0.002866759404458454,0.002866759516364531,0.002866928946167096,0.002863118963589757,3.9035739196613406e-08,forward-only clamped free inhibitor
W01,3.480700588428413e-06,0.002916149112485238,0.002916149224443844,0.002916217513139888,0.0029137762789118752,3.839261897287116e-08,forward-only clamped free inhibitor
W01,5.623413251903491e-06,0.002947556593270246,0.002947556717235024,0.0029475837255155003,0.0029460395213535655,4.205679149382746e-08,forward-only clamped free inhibitor
W01,9.085175756516881e-06,0.0029673279689976626,0.002967328121296805,0.002967338676150301,0.002966369820496649,5.132534597329652e-08,forward-only clamped free inhibitor
W01,1.4677992676220705e-05,0.0029796953312995742,0.0029796954493109128,0.0029796995433295395,0.002979094773485876,3.9605167923006945e-08,forward-only clamped free inhibitor
W01,2.3713737056616554e-05,0.002987400492988707,0.00298740064868454,0.002987402229255881,0.0029870259305770793,5.211749320999104e-08,forward-only clamped free inhibitor
W01,3.831186849557293e-05,0.0029921891633579232,0.0029921893054717917,0.002992189913905527,0.002991956239547309,4.749494564304513e-08,forward-only clamped free inhibitor
W01,6.18965818891261e-05,0.0029951606474133948,0.0029951607897553234,0.002995161023545838,0.0029950160954221824,4.7523968982332576e-08,forward-only clamped free inhibitor
W01,0.0001,0.0029970027647700428,0.002997002907269774,0.002997002997002997,0.0029969131794251925,4.7547411785586746e-08,forward-only clamped free inhibitor
W02,1e-09,1.9328182529053333e-05,1.9328183317274716e-05,1.9801980198019806e-05,1.9323671497584545e-05,4.078093474024769e-08,forward-only clamped free inhibitor
W02,1.6155980984398763e-09,3.10462692130932e-05,3.104627063155053e-05,3.179823036370399e-05,3.10346985071795e-05,4.568849343300485e-08,forward-only clamped free inhibitor
W02,2.6101572156825333e-09,4.969454225701852e-05,4.969454431806764e-05,5.08752210601546e-05,4.9665175751313506e-05,4.147435395118748e-08,forward-only clamped free inhibitor
W02,4.216965034285823e-09,7.910411934059565e-05,7.910412270106141e-05,8.09266520647287e-05,7.903082762765984e-05,4.2481550166506565e-08,forward-only clamped free inhibitor
W02,6.812920690579622e-09,0.00012482804792601036,0.00012482805187276556,0.0001275673513378703,0.00012464987025393324,3.161753414637758e-08,forward-only clamped free inhibitor
W02,1.1006941712522103e-08,0.00019435905360078734,0.0001943590620843793,0.00019831087214396197,0.00019394305839724366,4.3649068137696645e-08,forward-only clamped free inhibitor
W02,1.7782794100389228e-08,0.00029659727587805825,0.0002965972889754102,0.0003019591144226467,0.00029568308972848656,4.415870413776446e-08,forward-only clamped free inhibitor
W02,2.8729848333536684e-08,0.0004396969259058188,0.0004396969451253115,0.00044635876924360496,0.0004378553918696342,4.371077144682545e-08,forward-only clamped free inhibitor
W02,4.641588833612782e-08,0.0006266805006616831,0.0006266805262857046,0.0006340280261056176,0.0006233839633197429,4.088849159256114e-08,forward-only clamped free inhibitor
W02,7.498942093324559e-08,0.0008500909678885854,0.0008500910052535168,0.0008570737651832373,0.0008450015841952561,4.3954036854643164e-08,forward-only clamped free inhibitor
W02,1.21152765862859e-07,0.0010900413256168169,0.0010900413797573444,0.0010956477563386037,0.0010834005597511664,4.9668323232054945e-08,forward-only clamped free inhibitor
W02,1.9573417814876615e-07,0.0013199227640806413,0.001319922834133573,0.0013237169905353583,0.001312620702051992,5.3073505479339644e-08,forward-only clamped free inhibitor
W02,3.162277660168379e-07,0.0015172942579868179,0.0015172943166185486,0.0015194938532959157,0.0015104217665093732,3.864229247696471e-08,forward-only clamped free inhibitor
