imax_u_over_ki,kinact_over_KI_h_uM,r1,r2,illustrative_aucr,category
0.0001,0.0001,1.0001,1.0043859649122806,1.0024579864116596,0
0.00010651168624012551,0.0001,1.0001065116862402,1.0043859649122806,1.0024638591387443,0
0.00011344739305714942,0.0001,1.000113447393057,1.0043859649122806,1.0024701142709591,0
0.0001208347313406328,0.0001,1.0001208347313406,1.0043859649122806,1.0024767767081928,0
0.00012870310991463342,0.0001,1.0001287031099146,1.0043859649122806,1.0024838729715835,0
0.0001370838526135582,0.0001,1.0001370838526136,1.0043859649122806,1.0024914313090703,0
0.00014601032298162906,0.0001,1.0001460103229816,1.0043859649122806,1.0024994818078135,0
0.00015551805709238662,0.0001,1.0001555180570925,1.0043859649122806,1.0025080565139313,0
0.0001656449050169821,0.0001,1.000165644905017,1.0043859649122806,1.002517189560033,0
0.0001764311815044419,0.0001,1.0001764311815045,1.0043859649122806,1.0025269173010496,0
0.0001879198264737575,0.0001,1.0001879198264738,1.0043859649122806,1.002537278458906,0
0.0002001565759567167,0.0001,1.0002001565759566,1.0043859649122806,1.0025483142766078,0
0.0002131901441719966,0.0001,1.000213190144172,1.0043859649122806,1.0025600686823595,0
0.00022707241745534824,0.0001,1.0002270724174553,1.0043859649122806,1.0025725884643557,0
0.00024185866081790827,0.0001,1.000241858660818,1.0043859649122806,1.002585923456954,0
0.0002576077379549398,0.0001,1.000257607737955,1.0043859649122806,1.002600126738959,0
0.0002743823455808502,0.0001,1.0002743823455809,1.0043859649122806,1.0026152548448064,0
0.0002922492630233721,0.0001,1.0002922492630233,1.0043859649122806,1.0026313679894914,0
0.0003112796180705332,0.0001,1.0003112796180704,1.0043859649122806,1.0026485303081292,0
0.000331549170128747,0.0001,1.0003315491701288,1.0043859649122806,1.0026668101111011,0
0.000353138611819271,0.0001,1.0003531386118192,1.0043859649122806,1.0026862801557974,0
0.0003761338902136767,0.0001,1.0003761338902137,1.0043859649122806,1.0027070179360407,0
0.00040062654898716905,0.0001,1.000400626548987,1.0043859649122806,1.0027291059903303,0
0.0004267140928518562,0.0001,1.0004267140928518,1.0043859649122806,1.002752632230138,0
0.00045450037572076693,0.0001,1.0004545003757208,1.0043859649122806,1.002777690289555,0
0.00048409601414789487,0.0001,1.000484096014148,1.0043859649122806,1.002804379897673,0
0.0005156188276901594,0.0001,1.0005156188276902,1.0043859649122806,1.0028328072751829,0
0.0005491943079443555,0.0001,1.0005491943079443,1.0043859649122806,1.0028630855567588,0
0.0005849561181263205,0.0001,1.0005849561181264,1.0043859649122806,1.0028953352409018,0
0.0006230466251811245,0.0001,1.000623046625181,1.0043859649122806,1.002929684669024,0
0.0006636174665426095,0.0001,1.0006636174665426,1.0043859649122806,1.0029662705356772,0
0.0007068301537985341,0.0001,1.0007068301537985,1.0043859649122806,1.003005238431936,0
0.0007528567156644912,0.0001,1.0007528567156645,1.0043859649122806,1.0030467434240933,0
0.0008018803828262768,0.0001,1.0008018803828262,1.0043859649122806,1.0030909506699581,0
0.0008540963173770411,0.0001,1.000854096317377,1.0043859649122806,1.0031380360751856,0
0.0009097123897530997,0.0001,1.000909712389753,1.0043859649122806,1.0031881869922419,0
0.0009689500062613694,0.0001,1.0009689500062613,1.0043859649122806,1.0032416029647615,0
0.001032044990492786,0.0001,1.0010320449904928,1.0043859649122806,1.0032984965202356,0
0.0010992485221306084,0.0001,1.0010992485221306,1.0043859649122806,1.003359094014164,0
0.0011708281368909704,0.0001,1.001170828136891,1.0043859649122806,1.003423636528997,0
0.0012470687915764175,0.0001,1.0012470687915764,1.0043859649122806,1.0034923808314133,0
0.0013282739984823986,0.0001,1.0013282739984823,1.0043859649122806,1.0035656003917053,0
0.0014147670336727418,0.0001,1.0014147670336728,1.0043859649122806,1.0036435864692845,0
0.0015068922239342402,0.0001,1.0015068922239343,1.0043859649122806,1.0037266492685786,0
0.0016050163175336874,0.0001,1.0016050163175336,1.0043859649122806,1.003815119169865,0
0.0017095299442342977,0.0001,1.0017095299442342,1.0043859649122806,1.0039093480398757,0
0.0018208491703838258,0.0001,1.0018208491703837,1.0043859649122806,1.0040097106273154,0
0.001939417155265149,0.0001,1.0019394171552651,1.0043859649122806,1.0041166060487658,0
0.0020657059153031832,0.0001,1.002065705915303,1.0043859649122806,1.0042304593707996,0
0.0022002182031514396,0.0001,1.0022002182031515,1.0043859649122806,1.0043517232944907,0
0.0023434895091387887,0.0001,1.0023434895091388,1.0043859649122806,1.004480879948904,0
0.0024960901930441612,0.0001,1.0024960901930442,1.0043859649122806,1.004618442800574,0
0.0026586277546857403,0.0001,1.0026586277546858,1.0043859649122806,1.004764958686406,0
0.0028317492523637694,0.0001,1.0028317492523637,1.0043859649122806,1.004921009977923,0
0.003016143878784795,0.0001,1.0030161438787848,1.0043859649122806,1.0050872168852696,0
0.0032125457047220123,0.0001,1.003212545704722,1.0043859649122806,1.0052642399099139,0
0.0034217366013341386,0.0001,1.003421736601334,1.0043859649122806,1.0054527824555572,0
0.0036445493527765523,0.0001,1.0036445493527766,1.0043859649122806,1.0056535936073454,0
0.0038818709714958863,0.0001,1.0038818709714958,1.0043859649122806,1.0058674710901152,0
0.004134646229406206,0.0001,1.0041346462294063,1.0043859649122806,1.0060952644170738,0
0.004403881419004318,0.0001,1.0044038814190044,1.0043859649122806,1.006337878241015,0
0.004690648359397067,0.0001,1.0046906483593971,1.0043859649122806,1.0065962759209282,0
0.0049960886631885935,0.0001,1.0049960886631886,1.0043859649122806,1.0068714833176455,0
0.0053214182812139155,0.0001,1.005321418281214,1.0043859649122806,1.0071645928330129,0
0.0056679323432112455,0.0001,1.0056679323432112,1.0043859649122806,1.0074767677079512,0
0.006037010313703756,0.0001,1.0060370103137037,1.0043859649122806,1.0078092465957214,0
0.0064301214836161615,0.0001,1.0064301214836162,1.0043859649122806,1.0081633484276766,0
0.0068488308194881425,0.0001,1.006848830819488,1.0043859649122806,1.0085404775898472,0
0.007294805193570227,0.0001,1.0072948051935702,1.0043859649122806,1.0089421294297873,0
0.0077698200196039,0.0001,1.007769820019604,1.0043859649122806,1.0093698961142803,0
0.008275766320702958,0.0001,1.008275766320703,1.0043859649122806,1.0098254728597131,0
0.008814658257473112,0.0001,1.008814658257473,1.0043859649122806,1.0103106645582176,0
0.009388641146339076,0.0001,1.009388641146339,1.0043859649122806,1.0108273928240192,0
0.01,0.0001,1.01,1.0043859649122806,1.0113777034858509,0
0.01065116862401255,0.0001,1.0106511686240125,1.0043859649122806,1.011963774552777,0
0.01134473930571493,0.0001,1.011344739305715,1.0043859649122806,1.012587924682316,0
0.01208347313406328,0.0001,1.0120834731340633,1.0043859649122806,1.0132526221813858,0
0.012870310991463341,0.0001,1.0128703109914634,1.0043859649122806,1.0139604945722862,0
0.013708385261355807,0.0001,1.0137083852613558,1.0043859649122806,1.014714338757704,0
0.014601032298162907,0.0001,1.014601032298163,1.0043859649122806,1.0155171318205634,0
0.015551805709238663,0.0001,1.0155518057092388,1.0043859649122806,1.0163720424964608,0
0.016564490501698212,0.0001,1.0165644905016982,1.0043859649122806,1.017282443358403,0
0.01764311815044419,0.0001,1.0176431181504442,1.0043859649122806,1.018251923755605,0
0.01879198264737573,0.0001,1.0187919826473757,1.0043859649122806,1.0192843035502326,0
0.02001565759567167,0.0001,1.0200156575956716,1.0043859649122806,1.0203836476981196,1
0.02131901441719966,0.0001,1.0213190144171997,1.0043859649122806,1.0215542817217258,1
0.0227072417455348,0.0001,1.0227072417455347,1.0043859649122806,1.0228008081258553,1
0.024185866081790828,0.0001,1.0241858660817909,1.0043859649122806,1.0241281238089492,1
0.025760773795493984,0.0001,1.025760773795494,1.0043859649122806,1.0255414385250805,1
0.02743823455808502,0.0001,1.027438234558085,1.0043859649122806,1.0270462944541074,1
0.02922492630233721,0.0001,1.0292249263023372,1.0043859649122806,1.0286485869397317,1
0.03112796180705329,0.0001,1.0311279618070532,1.0043859649122806,1.030354586457503,1
0.0331549170128747,0.0001,1.0331549170128747,1.0043859649122806,1.0321709618770056,1
0.0353138611819271,0.0001,1.035313861181927,1.0043859649122806,1.0341048050846005,1
0.03761338902136763,0.0001,1.0376133890213677,1.0043859649122806,1.0361636570350912,1
0.0400626548987169,0.0001,1.0400626548987169,1.0043859649122806,1.0383555353025256,1
0.042671409285185626,0.0001,1.0426714092851856,1.0043859649122806,1.0406889632019656,1
0.0454500375720767,0.0001,1.0454500375720768,1.0043859649122806,1.0431730005554232,1
0.04840960141478949,0.0001,1.0484096014147894,1.0043859649122806,1.045817276176203,1
0.05156188276901589,0.0001,1.0515618827690159,1.0043859649122806,1.048632022146522,1
0.05491943079443554,0.0001,1.0549194307944356,1.0043859649122806,1.051628109963451,1
0.058495611812632055,0.0001,1.058495611812632,1.0043859649122806,1.0548170886278063,1
0.06230466251811238,0.0001,1.0623046625181123,1.0043859649122806,1.058211224749549,1
0.06636174665426095,0.0001,1.066361746654261,1.0043859649122806,1.0618235447413726,1
0.07068301537985341,0.0001,1.0706830153798534,1.0043859649122806,1.0656678791693643,1
0.07528567156644912,0.0001,1.0752856715664492,1.0043859649122806,1.0697589093257593,1
0.08018803828262767,0.0001,1.0801880382826277,1.0043859649122806,1.074112216083691,1
0.08540963173770404,0.0001,1.085409631737704,1.0043859649122806,1.0787443310872982,1
0.09097123897530998,0.0001,1.09097123897531,1.0043859649122806,1.0836727903223777,1
0.09689500062613693,0.0001,1.0968950006261369,1.0043859649122806,1.0889161901027022,1
0.10320449904927852,0.0001,1.1032044990492784,1.0043859649122806,1.094494245494963,1
0.10992485221306085,0.0001,1.109924852213061,1.0043859649122806,1.1004278511906882,1
0.11708281368909704,0.0001,1.1170828136890971,1.0043859649122806,1.1067391448161765,1
0.12470687915764175,0.0001,1.1247068791576418,1.0043859649122806,1.1134515726511105,1
0.13282739984823985,0.0001,1.1328273998482399,1.0043859649122806,1.1205899577026814,1
