NM_enzyme_clearance_fraction,activity_factor,parent_AUCR,metabolite_AUCR
0.3,0.0,1.4221393004207987,0.0
0.3,0.1,1.3647794836981855,0.13585856463420548
0.3,0.2,1.3118061397199583,0.26133256168026475
0.3,0.30000000000000004,1.2627391292380263,0.37755844112952197
0.3,0.4,1.2171656420670824,0.4855133016433987
0.3,0.5,1.174728809110311,0.5860418416857259
0.3,0.6000000000000001,1.135118548617891,0.6798780234961889
0.3,0.7000000000000001,1.098064152048257,0.7676626202791862
0.3,0.8,1.0633282360118375,0.849957530454203
0.3,0.9,1.0307017755777685,0.9272575327131797
0.3,1.0,1.0,1.0
0.3,1.1,0.9710589811060031,1.0685729741425232
0.3,1.2000000000000002,0.9437327817038604,1.1333219150495346
0.3,1.3,0.9178910596026949,1.194555371561651
0.3,1.4000000000000001,0.8934170444999322,1.2525497697916304
0.3,1.5,0.8702058217256181,1.307553475182248
0.3,1.6,0.8481628698594258,1.3597902536846183
0.3,1.7000000000000002,0.827202809441289,1.4094622333073412
0.3,1.8,0.8072483280438145,1.4567524482418521
0.3,1.9000000000000001,0.7882292533584582,1.5018270326604803
0.3,2.0,0.7700817510410644,1.5448371192278951
0.6,0.0,2.4369212740208526,0.0
0.6,0.1,2.1348380683984924,0.21096324297341262
0.6,0.2,1.898351099627339,0.3759171532372461
0.6,0.30000000000000004,1.7083188770881823,0.5083159740558759
0.6,0.4,1.552365047592449,0.6168503591538296
0.6,0.5,1.4221393004207987,0.7073799446286314
0.6,0.6000000000000001,1.3118061397199583,0.783997685040795
0.6,0.7000000000000001,1.2171656420670824,0.8496482778759488
0.6,0.8,1.135118548617891,0.9065040313282515
0.6,0.9,1.0633282360118375,0.9562022217609778
0.6,1.0,1.0,1.0
0.6,1.1,0.9437327817038604,1.0388784221287395
0.6,1.2000000000000002,0.8934170444999322,1.0736140883928282
0.6,1.3,0.8481628698594258,1.1048295811187532
0.6,1.4000000000000001,0.8072483280438145,1.133029681965887
0.6,1.5,0.7700817510410644,1.1586278394209215
0.6,1.6,0.7361737262986534,1.1819658190100524
0.6,1.7000000000000002,0.7051160085344569,1.203328501301925
0.6,1.8,0.676565434444131,1.2229551703412496
0.6,1.9000000000000001,0.6502315084227334,1.24104822624302
0.6,2.0,0.6258667180828769,1.2577799818815574
0.8,0.0,4.54563776831459,0.0
0.8,0.1,3.385775409622369,0.332074191065895
0.8,0.2,2.689393981820585,0.5295212700763078
0.8,0.30000000000000004,2.2270230533507647,0.6597586448985445
0.8,0.4,1.898351099627339,0.7518343064744915
0.8,0.5,1.653024850676818,0.8202162981235419
0.8,0.6000000000000001,1.4630896423506852,0.8729010717001207
0.8,0.7000000000000001,1.3118061397199583,0.9146639658809261
0.8,0.8,1.1885459186559557,0.948531596834582
0.8,0.9,1.086238767441564,0.976514533378571
0.8,1.0,1.0,1.0
0.8,1.1,0.9263474923331655,1.019975421332324
0.8,1.2000000000000002,0.8627327565892833,1.0371621679907874
0.8,1.3,0.8072483280438145,1.0520989903968927
0.8,1.4000000000000001,0.7584386724750022,1.0651959463557947
0.8,1.5,0.7151742528993587,1.076770332707146
0.8,1.6,0.676565434444131,1.087071262525552
0.8,1.7000000000000002,0.641902259125811,1.0962968633701515
0.8,1.8,0.6106114558966925,1.1046065544102024
0.8,1.9000000000000001,0.5822251970080374,1.112129966012523
0.8,2.0,0.556358023422645,1.1189735220416626
0.95,0.0,11.360116621073594,0.0
0.95,0.1,5.904144606108874,0.5734046826940657
0.95,0.2,3.8836485723099403,0.7600950075752241
0.95,0.30000000000000004,2.8748648548482656,0.848140234193847
0.95,0.4,2.2761020669558354,0.8987420642881646
0.95,0.5,1.8809463162605036,0.9313186268222909
0.95,0.6000000000000001,1.6011413669928656,0.9538658762193936
0.95,0.7000000000000001,1.392878076986314,0.9702766520704729
0.95,0.8,1.2319917064566501,0.982675072270333
0.95,0.9,1.10407284365188,0.9923189737454224
0.95,1.0,1.0,1.0
0.95,1.1,0.9137200490907607,1.0062401809175425
0.95,1.2000000000000002,0.8410598361867716,1.0113965990558273
0.95,1.3,0.7790503174182881,1.0157208211785047
0.95,1.4000000000000001,0.7255226057454713,1.0193944534218997
0.95,1.5,0.6788562863196509,1.022551339218448
0.95,1.6,0.6378169820981479,1.0252919119696784
0.95,1.7000000000000002,0.6014483083462265,1.0276927479489184
0.95,1.8,0.5689981026060342,1.0298130805229555
0.95,1.9000000000000001,0.5398668942024059,1.0316993346268588
0.95,2.0,0.5135711773407085,1.0333883398147579
