gene,diplotype,genetic_phenotype,I_over_Ki,time_h,depot_nmol,parent_nmol,metabolite_nmol,eliminated_nmol_equivalent,parent_AUC_nM_h,metabolite_AUC_nM_h,doses_received
CYP2D6,*4/*4,PM,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,1
CYP2D6,*4/*4,PM,0.0,0.25,778.8007830714049,187.04343028760283,0.0,34.15578664099232,0.4879520508515208,0.0,1
CYP2D6,*4/*4,PM,0.0,0.5,606.5306597126335,330.85188703646213,0.0,62.617453250904504,1.7985261038997549,0.0,1
CYP2D6,*4/*4,PM,0.0,0.75,472.36655274101474,441.00743092330157,0.0,86.62601633568379,3.740499623417995,0.0,1
CYP2D6,*4/*4,PM,0.0,1.0,367.87944117144235,524.9723940455717,0.0,107.14816478298607,6.165040479351204,0.0,1
CYP2D6,*4/*4,PM,0.0,1.25,286.50479686019014,588.558264056714,0.0,124.93693908309604,8.956329306062269,0.0,1
CYP2D6,*4/*4,PM,0.0,1.5,223.13016014842987,636.2908514796316,0.0,140.5789883719389,12.024256197101675,0.0,1
CYP2D6,*4/*4,PM,0.0,1.75,173.77394345044516,671.6946822783103,0.0,154.53137427124486,15.298732894405806,0.0,1
CYP2D6,*4/*4,PM,0.0,2.0,135.33528323661272,697.5144829974165,0.0,167.15023376597105,18.725263125731473,0.0,1
CYP2D6,*4/*4,PM,0.0,2.25,105.39922456186436,715.8876735447495,0.0,178.71310189338647,22.261492788833042,0.0,1
CYP2D6,*4/*4,PM,0.0,2.5,82.08499862389881,728.4787046877625,0.0,189.4362966883391,25.874523240961945,0.0,1
CYP2D6,*4/*4,PM,0.0,2.75,63.92786120670759,736.5836801836958,0.0,199.48845860959707,29.538818895301596,0.0,1
CYP2D6,*4/*4,PM,0.0,3.0,49.78706836786396,741.2118365592709,0.0,209.00109507286575,33.23457766402266,0.0,1
CYP2D6,*4/*4,PM,0.0,3.25,38.77420783172202,743.1489996099103,0.0,218.07679255836823,36.946461866563254,0.0,1
CYP2D6,*4/*4,PM,0.0,3.5,30.197383422318513,743.0070043541821,0.0,226.79561222350006,40.662609868423914,0.0,1
CYP2D6,*4/*4,PM,0.0,3.75,23.517745856009117,741.2621833163458,0.0,235.2200708276457,44.373866353023544,0.0,1
CYP2D6,*4/*4,PM,0.0,4.0,18.31563888873419,738.2853412144335,0.0,243.39901989683293,48.073182865071544,0.0,1
CYP2D6,*4/*4,PM,0.0,4.25,14.264233908999262,734.3650992544556,0.0,251.3706668365458,51.75515096144786,0.0,1
CYP2D6,*4/*4,PM,0.0,4.5,11.108996538242312,729.726075668829,0.0,259.16492779292935,55.41563863683285,0.0,1
CYP2D6,*4/*4,PM,0.0,4.75,8.651695203120639,724.5430447179231,0.0,266.8052600789571,59.0515071797126,0.0,1
CYP2D6,*4/*4,PM,0.0,5.0,6.73794699908547,718.9519637156903,0.0,274.31008928522505,62.66039066754396,0.0,1
CYP2D6,*4/*4,PM,0.0,5.25,5.247518399181387,713.0585608701622,0.0,281.69392073065734,66.2405242452673,0.0,1
CYP2D6,*4/*4,PM,0.0,5.5,4.086771438464069,706.9450234848053,0.0,288.9682050767316,69.7906103962506,0.0,1
CYP2D6,*4/*4,PM,0.0,5.75,3.182780796509669,700.675206719585,0.0,296.1420124839064,73.30971480169141,0.0,1
CYP2D6,*4/*4,PM,0.0,6.0,2.47875217666636,694.2986901629218,0.0,303.2225576604129,76.79718524345644,0.0,1
CYP2D6,*4/*4,PM,0.0,6.25,1.9304541362277103,687.8539370780225,0.0,310.215608785751,80.25258845309256,0.0,1
CYP2D6,*4/*4,PM,0.0,6.5,1.5034391929775732,681.3707548114598,0.0,317.12580599556384,83.67566093725522,0.0,1
CYP2D6,*4/*4,PM,0.0,6.75,1.170879620791175,674.8722109465143,0.0,323.9569094326958,87.0662706879072,0.0,1
CYP2D6,*4/*4,PM,0.0,7.0,0.9118819655545166,668.3761255902566,0.0,330.7119924441902,90.42438736951165,0.0,1
CYP2D6,*4/*4,PM,0.0,7.25,0.7101743888425494,661.8962335534013,0.0,337.3935920577574,93.75005910804187,0.0,1
CYP2D6,*4/*4,PM,0.0,7.5,0.5530843701478338,655.443089442537,0.0,344.00382618731646,97.04339442141928,0.0,1
CYP2D6,*4/*4,PM,0.0,7.75,0.4307425405756877,649.0247725324558,0.0,350.54448492696986,100.30454815402807,0.0,1
CYP2D6,*4/*4,PM,0.0,8.0,0.33546262790251197,642.6474357072096,0.0,357.0171016648893,103.53371052953729,0.0,1
CYP2D6,*4/*4,PM,0.0,8.25,0.26125855730166764,636.3157329619083,0.0,363.42300848079157,106.73109863219334,0.0,1
CYP2D6,*4/*4,PM,0.0,8.5,0.20346836901064425,630.033152327667,0.0,369.76337930332386,109.89694977933766,0.0,1
CYP2D6,*4/*4,PM,0.0,8.75,0.1584613251157513,623.8022751401659,0.0,376.03926353472,113.03151636674362,0.0,1
CYP2D6,*4/*4,PM,0.0,9.0,0.12340980408667959,617.6249779446915,0.0,382.2516122512234,116.13506186091811,0.0,1
CYP2D6,*4/*4,PM,0.0,9.25,0.09611165206139473,611.502589726563,0.0,388.40129862137724,119.20785768459317,0.0,1
CYP2D6,*4/*4,PM,0.0,9.5,0.07485182988770062,605.4360143490616,0.0,394.48913382105235,122.25018079776768,0.0,1
CYP2D6,*4/*4,PM,0.0,9.75,0.05829466373086883,599.4258258950729,0.0,400.5158794411979,125.26231182037871,0.0,1
CYP2D6,*4/*4,PM,0.0,10.0,0.045399929762484866,593.4723429062464,0.0,406.4822571639928,128.24453357672854,0.0,1
CYP2D6,*4/*4,PM,0.0,10.25,0.03535750085040999,587.5756861876562,0.0,412.3889563114952,131.19712996831132,0.0,1
CYP2D6,*4/*4,PM,0.0,10.5,0.027536449349747166,581.7358238133878,0.0,418.2366397372642,134.1203851023333,0.0,1
CYP2D6,*4/*4,PM,0.0,10.75,0.02144540831658917,575.9526061643243,0.0,424.02594842736096,137.01458261930418,0.0,1
CYP2D6,*4/*4,PM,0.0,11.0,0.016701700790245664,570.2257932031248,0.0,429.7575050960868,139.88000517560263,0.0,1
