permeability_scenario,time_h,cleaved_payload_molecules_per_cell_h
Low permeability,47.5,128843.869326
Low permeability,47.6,128836.226072
Low permeability,47.7,128828.498251
Low permeability,47.8,128820.686592
Low permeability,47.9,128812.791824
Low permeability,48,128804.814674
Low permeability,48.1,128796.755843
Low permeability,48.2,128788.616077
Low permeability,48.3,128780.396077
Low permeability,48.4,128772.096512
Low permeability,48.5,128763.718052
Low permeability,48.6,128755.261367
Low permeability,48.7,128746.727128
Low permeability,48.8,128738.116005
Low permeability,48.9,128729.428636
Low permeability,49,128720.665705
Low permeability,49.1,128711.827834
Low permeability,49.2,128702.915637
Low permeability,49.3,128693.929729
Low permeability,49.4,128684.870724
Low permeability,49.5,128675.739236
Low permeability,49.6,128666.535862
Low permeability,49.7,128657.261216
Low permeability,49.8,128647.915892
Low permeability,49.9,128638.500453
Low permeability,50,128629.015464
Low permeability,50.1,128619.461488
Low permeability,50.2,128609.839088
Low permeability,50.3,128600.148826
Low permeability,50.4,128590.391238
Low permeability,50.5,128580.566901
Low permeability,50.6,128570.676333
Low permeability,50.7,128560.720048
Low permeability,50.8,128550.698565
Low permeability,50.9,128540.612399
Low permeability,51,128530.462068
Low permeability,51.1,128520.248069
Low permeability,51.2,128509.970926
Low permeability,51.3,128499.631127
Low permeability,51.4,128489.229146
Low permeability,51.5,128478.765456
Low permeability,51.6,128468.24053
Low permeability,51.7,128457.654843
Low permeability,51.8,128447.00886
Low permeability,51.9,128436.303045
Low permeability,52,128425.537867
Low permeability,52.1,128414.71376
Low permeability,52.2,128403.831158
Low permeability,52.3,128392.890493
Low permeability,52.4,128381.892201
Low permeability,52.5,128370.836714
Low permeability,52.6,128359.724444
Low permeability,52.7,128348.555838
Low permeability,52.8,128337.331296
Low permeability,52.9,128326.051215
Low permeability,53,128314.715991
Low permeability,53.1,128303.326022
Low permeability,53.2,128291.881704
Low permeability,53.3,128280.383422
Low permeability,53.4,128268.831575
Low permeability,53.5,128257.226545
Low permeability,53.6,128245.568692
Low permeability,53.7,128233.858381
Low permeability,53.8,128222.095975
Low permeability,53.9,128210.281835
Low permeability,54,128198.416321
Low permeability,54.1,128186.499772
Low permeability,54.2,128174.532579
Low permeability,54.3,128162.515069
Low permeability,54.4,128150.447569
Low permeability,54.5,128138.330407
Low permeability,54.6,128126.16391
Low permeability,54.7,128113.948406
Low permeability,54.8,128101.684225
Low permeability,54.9,128089.371684
Low permeability,55,128077.011097
Low permeability,55.1,128064.602803
Low permeability,55.2,128052.147096
Low permeability,55.3,128039.644268
Low permeability,55.4,128027.094612
Low permeability,55.5,128014.498422
Low permeability,55.6,128001.855992
Low permeability,55.7,127989.167615
Low permeability,55.8,127976.433573
Low permeability,55.9,127963.654155
Low permeability,56,127950.829656
Low permeability,56.1,127937.960338
Low permeability,56.2,127925.046464
Low permeability,56.3,127912.088295
Low permeability,56.4,127899.086094
Low permeability,56.5,127886.040122
Low permeability,56.6,127872.950643
Low permeability,56.7,127859.817905
Low permeability,56.8,127846.64217
Low permeability,56.9,127833.423699
Low permeability,57,127820.162725
Low permeability,57.1,127806.859481
Low permeability,57.2,127793.5142
Low permeability,57.3,127780.127117
Low permeability,57.4,127766.698465
Low permeability,57.5,127753.228478
Low permeability,57.6,127739.717376
Low permeability,57.7,127726.165398
Low permeability,57.8,127712.572769
Low permeability,57.9,127698.939698
Low permeability,58,127685.266392
Low permeability,58.1,127671.553058
Low permeability,58.2,127657.799905
Low permeability,58.3,127644.00714
Low permeability,58.4,127630.174973
Low permeability,58.5,127616.303595
Low permeability,58.6,127602.393222
Low permeability,58.7,127588.444053
Low permeability,58.8,127574.45627
Low permeability,58.9,127560.430058
Low permeability,59,127546.365602
Low permeability,59.1,127532.263085
Low permeability,59.2,127518.122692
Low permeability,59.3,127503.944608
Low permeability,59.4,127489.729001
Low permeability,59.5,127475.476066
Low permeability,59.6,127461.185976
Low permeability,59.7,127446.858891
Low permeability,59.8,127432.494976
Low permeability,59.9,127418.094392
Low permeability,60,127403.657303
Low permeability,60.1,127389.183872
Low permeability,60.2,127374.674262
Low permeability,60.3,127360.12862
Low permeability,60.4,127345.547121
Low permeability,60.5,127330.929914
Low permeability,60.6,127316.277142
Low permeability,60.7,127301.588947
Low permeability,60.8,127286.865474
Low permeability,60.9,127272.106865
Low permeability,61,127257.313265
Low permeability,61.1,127242.484818
Low permeability,61.2,127227.621649
Low permeability,61.3,127212.723917
Low permeability,61.4,127197.791749
Low permeability,61.5,127182.82527
Low permeability,61.6,127167.824606
Low permeability,61.7,127152.789883
Low permeability,61.8,127137.721226
Low permeability,61.9,127122.618761
Low permeability,62,127107.482615
Low permeability,62.1,127092.312897
Low permeability,62.2,127077.109747
Low permeability,62.3,127061.873273
Low permeability,62.4,127046.603586
Low permeability,62.5,127031.300794
Low permeability,62.6,127015.965008
Low permeability,62.7,127000.596337
Low permeability,62.8,126985.19489
Low permeability,62.9,126969.760774
Low permeability,63,126954.294083
Low permeability,63.1,126938.79495
Low permeability,63.2,126923.263466
Low permeability,63.3,126907.699725
Low permeability,63.4,126892.103819
Low permeability,63.5,126876.475843
Low permeability,63.6,126860.815888
Low permeability,63.7,126845.124049
Low permeability,63.8,126829.400419
Low permeability,63.9,126813.645092
Low permeability,64,126797.858149
Low permeability,64.1,126782.039684
Low permeability,64.2,126766.189796
Low permeability,64.3,126750.308561
Low permeability,64.4,126734.396057
Low permeability,64.5,126718.452361
Low permeability,64.6,126702.47755
Low permeability,64.7,126686.471702
Low permeability,64.8,126670.434895
Low permeability,64.9,126654.367205
Low permeability,65,126638.268711
Low permeability,65.1,126622.139475
Low permeability,65.2,126605.979585
Low permeability,65.3,126589.789114
Low permeability,65.4,126573.568125
Low permeability,65.5,126557.316681
Low permeability,65.6,126541.034846
Low permeability,65.7,126524.722682
Low permeability,65.8,126508.380252
Low permeability,65.9,126492.007622
Low permeability,66,126475.604853
Low permeability,66.1,126459.17201
Low permeability,66.2,126442.709137
Low permeability,66.3,126426.216315
Low permeability,66.4,126409.693598
Low permeability,66.5,126393.141035
Low permeability,66.6,126376.558677
Low permeability,66.7,126359.946574
Low permeability,66.8,126343.304777
Low permeability,66.9,126326.633337
Low permeability,67,126309.932305
Low permeability,67.1,126293.201731
Low permeability,67.2,126276.441662
Low permeability,67.3,126259.652141
Low permeability,67.4,126242.833229
Low permeability,67.5,126225.984965
Low permeability,67.6,126209.107389
Low permeability,67.7,126192.200538
Low permeability,67.8,126175.264454
Low permeability,67.9,126158.299175
Low permeability,68,126141.30474
Low permeability,68.1,126124.28119
Low permeability,68.2,126107.228563
Low permeability,68.3,126090.146892
Low permeability,68.4,126073.036217
Low permeability,68.5,126055.89658
Low permeability,68.6,126038.728009
Low permeability,68.7,126021.530534
Low permeability,68.8,126004.304184
Low permeability,68.9,125987.048988
Low permeability,69,125969.764976
Low permeability,69.1,125952.452177
Low permeability,69.2,125935.11062
Low permeability,69.3,125917.740334
Low permeability,69.4,125900.341339
Low permeability,69.5,125882.913672
Low permeability,69.6,125865.457358
Low permeability,69.7,125847.972417
Low permeability,69.8,125830.458869
Low permeability,69.9,125812.916735
Low permeability,70,125795.346034
Low permeability,70.1,125777.746787
Low permeability,70.2,125760.119014
Low permeability,70.3,125742.462735
Low permeability,70.4,125724.777971
Low permeability,70.5,125707.06473
Low permeability,70.6,125689.323043
Low permeability,70.7,125671.552924
Low permeability,70.8,125653.754384
Low permeability,70.9,125635.927435
Low permeability,71,125618.07209
Low permeability,71.1,125600.18836
Low permeability,71.2,125582.276257
Low permeability,71.3,125564.335794
Low permeability,71.4,125546.366982
Low permeability,71.5,125528.369834
Low permeability,71.6,125510.344358
Low permeability,71.7,125492.290562
Low permeability,71.8,125474.208453
Low permeability,71.9,125456.098038
Low permeability,72,125437.959324
