self_koff_h,target_C5,self_C5,signal_discrimination
3.6,0.06873036547968937,0.8555883055785138,0.08033111840304633
4.010305895981289,0.07550697526918021,0.8413899296996984,0.08974076418543482
4.467375938706191,0.0828389954060756,0.826037255509123,0.10028481748685572
4.976540018488438,0.09074953251767875,0.8094846319530341,0.11210778924700326
5.543735493814171,0.09925822126161456,0.7916942348825371,0.12537443988883082
6.175576426834364,0.10838029478813274,0.7726380905834286,0.1402730412971142
6.879430709893586,0.11812561620027115,0.7523001836828493,0.15701925742194145
7.663505982466941,0.12849770458803536,0.7306785769802667,0.17586078015190756
8.536945340381958,0.13949279756698385,0.7077874526799325,0.19708289125332049
9.509933953389933,0.1510989995797388,0.6836589685958898,0.2210151647539539
10.593817834353414,0.16329557050332041,0.6583448113355486,0.24803958000679235
11.801236145016452,0.17605241126158816,0.6319173235635633,0.2786003875772515
13.146268581174157,0.18932980115916573,0.6044700863688528,0.31321616309667155
14.64459955589897,0.20307843476779933,0.5761178521386862,0.35249460507763125
16.313701095362944,0.2172397940797788,0.5469957488903816,0.3971507905143041
18.173036580002893,0.23174687456501983,0.5172577131522749,0.448029809266075
20.244287706852568,0.24652526269201214,0.4870741531684214,0.5061349716226231
22.55160731964788,0.26149453904737524,0.45662889391092565,0.572663146231795
25.121901054955188,0.2765699576133268,0.4261155054368501,0.6490492697039728
27.985141088595928,0.2916643305246318,0.39573316123477154,0.737022719083175
31.174715640962354,0.30669003115101384,0.36568220823176795,0.8386791160390141
34.72781831680317,0.32156101861876846,0.3361596509052662,0.9565723243489094
38.68588181956743,0.33619478510344564,0.30735475597452194,1.0938330335493958
43.095061097846276,0.3505141336177363,0.2794449710682654,1.2543225676160388
48.00677155787967,0.36444870778629823,0.2525923224198521,1.442833670852915
53.4782886182199,0.37793621456039345,0.22694041677079738,1.6653543689491723
59.57341559795453,0.39092330370128897,0.20261212628252354,1.9294171127555477
66.36322772672797,0.40336609164552895,0.17970798784150863,2.24456406468294
73.92690095245726,0.41523033969521417,0.15830530480562605,2.6229717330385838
82.35263521146224,0.4264913154411279,0.1384579040300077,3.0802959096412095
91.73868292725648,0.43713338065815294,0.1201964764646513,3.636823586810466
102.19449473131517,0.44714935804841477,0.1035294165769241,4.319056098574411
113.84199576606166,0.45653973323536806,0.08844407355603932,5.161903052171138
126.81700745303165,0.46531174792946184,0.07490833361701361,6.21174875292884
141.2708313054433,0.47347843612009943,0.06287246474290498,7.5307758023520215
157.37201325399923,0.481057648571699,0.05227116945473101,9.20311624151273
175.30830905971072,0.48807110287439187,0.04302580429358192,11.343683421792456
195.28887373240775,0.49454348775757695,0.035046733758473204,14.110972256808719
217.54670048572783,0.5005016420608982,0.028235789495107747,17.72578883078928
242.34133766921937,0.5059738212008037,0.02248880183250901,22.498923018183476
269.9619153596841,0.5109890574939611,0.017698160990162713,28.872438089922873
300.7305169048174,0.5155766154470875,0.01375535151355147,37.481893133676216
335.0059347346916,0.5197655391050469,0.010553388988147876,49.25105477385288
373.1878542375713,0.5235842856786952,0.007989076721109174,65.53752128769176
415.72151448820495,0.5270604378064073,0.0059649956520960125,88.35889723091516
463.1029001773108,0.5302204857666688,0.0043911460897959505,120.74763055567284
515.8845252853066,0.533089670577346,0.0031861760810323082,167.31331132353085
574.6818759436592,0.5356918790249032,0.0022781572500984704,235.14262634932186
640.1805876140122,0.5380495821184283,0.0016049016156064763,335.25393512368345
713.1444402781219,0.5401838091374312,0.0011138474742819946,484.9710769292206
794.4242648704524,0.5421141502421202,0.0007615736746974139,711.8341511180928
884.967864811271,0.5438587814664867,0.0005130248671651994,1060.1021827102943
985.83106833517,0.5454345067644436,0.0003405426315306513,1601.6629234138945
1098.190040496129,0.5468568125907747,0.00022279797119101257,2454.496374753498
1223.3549984193214,0.5481399312485382,0.00014371090025213504,3814.1847993913375
1362.7854897331067,0.5492969099099219,9.142572573691689e-05,6008.12195344839
1518.1074123428962,0.5503396828131474,5.7389861792924175e-05,9589.493085013857
1691.1319740143372,0.5512791446539298,3.556318338510776e-05,15501.40038601776
1883.876812853381,0.5521252236299571,2.1766790346221027e-05,25365.486360087656
2098.5895249689866,0.5528869529666666,1.3166221320328455e-05,41992.83450544896
2337.773873674361,0.5535725400593596,7.875111077929977e-06,70293.93421646437
2604.218985852029,0.5541894326178551,4.660624243040211e-06,118908.84218899123
2901.0318759413344,0.5547443814028444,2.730801609478857e-06,203143.4211395207
3231.673676810331,0.5552434993049156,1.5851197969345868e-06,350284.88091479486
3600.0,0.5556923166442972,9.120625747891309e-07,609269.9470458739
