degrader_total_nM,penalty_kcal_mol,free_pool_48h_nM,chromatin_pool_48h_nM,total_48h_nM,degraded_nM,synthesized_nM
0.0,0.0,37.77761876957275,62.222381230427246,100.0,119.99999999999997,119.99999999999997
0.01,0.0,37.76949941444237,62.20334810579237,99.97284752023475,120.02715247976516,119.99999999999997
0.014677992676220698,0.0,37.765702205504155,62.19444645307063,99.96014865857478,120.03985134142516,120.00000000000001
0.021544346900318832,0.0,37.76012962719611,62.18138317045813,99.94151279765424,120.0584872023457,119.99999999999997
0.03162277660168379,0.0,37.75195241092125,62.162214264204316,99.91416667512556,120.08583332487422,120.0
0.046415888336127774,0.0,37.739954974908684,62.13408941066393,99.87404438557262,120.12595561442727,119.99999999999996
0.06812920690579612,0.0,37.72235579514001,62.09283229508324,99.81518809022324,120.18481190977677,119.99999999999996
0.1,0.0,37.696546722950075,62.03232789004589,99.72887461299597,120.27112538700422,120.00000000000007
0.1467799267622069,0.0,37.65871372133701,61.943633150522075,99.60234687185908,120.39765312814156,119.99999999999997
0.21544346900318834,0.0,37.60328916642393,61.81369154960803,99.41698071603196,120.58301928396888,119.99999999999996
0.31622776601683794,0.0,37.52216666758926,61.62348950153006,99.14565616911932,120.8543438308813,119.99999999999996
0.46415888336127775,0.0,37.403589077028826,61.345442781207545,98.74903185823638,121.25096814176548,119.99999999999996
0.6812920690579611,0.0,37.230602664062644,60.93975850733223,98.17036117139487,121.82963882860733,120.00000000000001
1.0,0.0,36.97897293496996,60.349517708462464,97.32849064343242,122.67150935657192,119.99999999999996
1.467799267622069,0.0,36.61451739973876,59.49435508401184,96.1088724837506,123.89112751625093,119.99999999999996
2.154434690031882,0.0,36.09001711454536,58.26307284776898,94.35308996231434,125.64691003769104,119.99999999999996
3.1622776601683795,0.0,35.342404618838316,56.50673170534362,91.84913632418193,128.15086367583066,119.99999999999997
4.6415888336127775,0.0,34.29214351941007,54.03651334728942,88.32865686669949,131.67134313331843,120.00000000000006
6.812920690579608,0.0,32.84919452267917,50.636228904929006,83.48542342760817,136.5145765724165,120.00000000000006
10.0,0.0,30.934232461192977,46.10887869955807,77.04311116075104,142.95688883929765,120.00000000000003
14.67799267622069,0.0,28.52850049729712,40.38675249381562,68.91525299111274,151.0847470089691,120.0
21.54434690031882,0.0,25.760772017376773,33.72130730630007,59.48207932367684,160.51792067647753,119.99999999999997
31.622776601683793,0.0,22.994924946699985,26.86226677174996,49.85719171844995,170.14280828185,120.00000000000004
46.41588833612777,0.0,20.784575641587455,20.914711170281965,41.69928681186942,178.30071318864162,120.00000000000001
68.12920690579608,0.0,19.6062073831793,16.694076932285423,36.30028431546472,183.6997156852143,120.00000000000004
100.0,0.0,19.650718608589425,14.264730422336791,33.91544903092622,186.0845509696211,120.00000000000003
146.77992676220674,0.0,20.936437815331672,13.243988301204421,34.1804261165361,185.81957388381284,120.00000000000006
215.44346900318823,0.0,23.48675221180023,13.239721230196857,36.726473441997086,183.27352655814508,120.00000000000006
316.22776601683796,0.0,27.35052223192132,13.95436631384791,41.30488854576923,178.6951114541862,119.99999999999999
464.1588833612773,0.0,32.50405230096891,15.118393838038624,47.622446139007536,172.37755386065731,120.00000000000004
681.2920690579608,0.0,38.72289395689677,16.450384327505855,55.17327828440263,164.82672171501906,120.0
1000.0,0.0,45.530593998584486,17.701714810169317,63.2323088087538,156.7676911907912,119.99999999999997
1467.7992676220676,0.0,52.30378816426036,18.724326505786294,71.02811467004665,148.9718853296585,120.0
2154.4346900318824,0.0,58.47718765745565,19.482687566027963,77.9598752234836,142.04012477635683,119.99999999999999
