degrader_total_nM,penalty_kcal_mol,F_nM,C_nM,P_nM,E_nM,PF_nM,PC_nM,EP_nM,EFP_nM,ECP_nM
0.0,0.0,30.0,70.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,29.997656380706502,69.99453155498183,0.0015629646933873254,19.993125807286965,0.0004688527780740928,0.0010939898155062164,0.0006249709949448099,0.0018747665154262667,0.004374455202661289
0.014677992676220698,0.0,29.996560127080215,69.99197362985383,0.0022944375709628624,19.98991061937992,0.0006882523455521938,0.0016059221396217853,0.0009173120393058958,0.002751620574233387,0.006420448006544569
0.021544346900318832,0.0,29.994951150461272,69.98821935107631,0.003368461457732713,19.985192009119977,0.0010103683687690428,0.002357526193794434,0.0013463869801621689,0.004038481169958133,0.00942312272990231
0.03162277660168379,0.0,29.992589719122602,69.98270934461941,0.004945707145426073,19.978267416053196,0.0014833456528369723,0.0034611398566196023,0.001976133198256144,0.005926935224563408,0.013829515523981286
0.046415888336127774,0.0,29.98912409333145,69.97462288444005,0.007262499029458589,19.968106476847403,0.0021779598462213284,0.005081906307849766,0.0029003670781646007,0.008697946822329137,0.020295209252101317
0.06812920690579612,0.0,29.98403828802653,69.96275600539524,0.01066677479503671,19.953198667351412,0.0031983298386413705,0.0074627696234965315,0.004256725532505282,0.012763382134825852,0.02978122498126032
0.1,0.0,29.976575584111167,69.94534302959272,0.015671526229995306,19.931330815915352,0.00469778690551835,0.010961502779542815,0.006247087473606624,0.018726628983312302,0.0436954676277287
0.1467799267622069,0.0,29.96562665858183,69.91979553669094,0.023034664922309864,19.89926301046874,0.006902481692674683,0.016105790616240928,0.00916745711294125,0.027470859725495792,0.06409867269282353
0.21544346900318834,0.0,29.9495662479993,69.8823212453317,0.03387933584524737,19.852258247286574,0.010146714133354535,0.023675666311160578,0.013451626488928075,0.04028703786734936,0.0940030883571485
0.31622776601683794,0.0,29.926015280879103,69.82736898871791,0.049877214326934774,19.783403657580617,0.014926262781155322,0.03482794648936242,0.019734821286908275,0.05905845633974352,0.13780306479273488
0.46415888336127775,0.0,29.891495818467085,69.7468235764232,0.07353214448707895,19.682639454107747,0.021979857894584384,0.05128633508736355,0.028946133764530636,0.08652432363832563,0.20189008848942647
0.6812920690579611,0.0,29.840933490070714,69.62884481016499,0.10862840631371029,19.535388772186053,0.03241573047939807,0.07563670445192881,0.042441962980826406,0.12665077944988842,0.295518485383073
1.0,0.0,29.766946734757585,69.4562090477677,0.16095905442379563,19.320667707740796,0.04791259599510072,0.11179605732190166,0.06219672810148644,0.18514066924731468,0.43199489491040094
1.467799267622069,0.0,29.65884682649475,69.20397592848775,0.2395513902272798,19.008579388932702,0.07104817989824763,0.1657790864292445,0.09107063237728891,0.2701049936070025,0.630244985083006
2.154434690031882,0.0,29.501266724685806,68.83628902426688,0.3588173010500072,18.557234774475063,0.10585564903708146,0.24699651441985673,0.13317313793456964,0.39287762627711115,0.9167144613132592
3.1622776601683795,0.0,29.272366442482937,68.30218836579351,0.5425099271605428,17.909583913209435,0.15880549386528137,0.37054615235232313,0.1943225412846176,0.5688280636517845,1.3272654818541636
4.6415888336127775,0.0,28.941694437218743,67.5306203535104,0.8313727582873411,16.991828469133903,0.24061336333779945,0.561431181121532,0.28253086605458444,0.8176921994434562,1.9079484653680643
6.812920690579608,0.0,28.468170141630402,66.42573033047094,1.2985956093462958,15.717962943834841,0.36968640752044557,0.8626016175477064,0.40822555333463406,1.1621434508491577,2.711668051981368
10.0,0.0,27.79955044302139,64.86561770038324,2.0818074729773954,14.01091786823386,0.5787331185769399,1.3503772766795266,0.5833606704272354,1.6217164384016705,3.7840050229372313
14.67799267622069,0.0,26.876108761754644,62.71092044409417,3.447435222549471,11.857897346006917,0.9265364399034339,2.1619183597746794,0.8175866595200028,2.1973547983419253,5.127161196131159
21.54434690031882,0.0,25.640449406107464,59.82771528091742,5.902498494934888,9.402908728916637,1.5134271402900346,3.531329994010081,1.1100130924088116,2.8461234536025017,6.640954725072504
31.622776601683793,0.0,24.045222644084763,56.105519502864446,10.33003101258129,6.986850931491371,2.483878956178175,5.7957175644157415,1.4434877360517668,3.4708983997370595,8.098762932719806
46.41588833612777,0.0,22.043537812438153,51.4349215623557,18.09435224651546,4.973915174976228,3.9886353793763876,9.306815885211572,1.7999954644061689,3.9678268081854555,9.25826255243273
68.12920690579608,0.0,19.58964531266894,45.70917239622752,31.23756851253516,3.5061245264310474,6.119328875907591,14.278434043784381,2.1904561021573947,4.291025811423467,10.012393559988093
100.0,0.0,16.70045445322855,38.96772705753328,53.005109436994104,2.5120899683579254,8.852094159409146,20.654886371954674,2.663072073767738,4.4474513873623005,10.377386570512035
