G0,G1,G2,G3,G4,mfpt_ns
-0.0,0.37985750338712143,0.5869069574703438,0.37985750338712143,2.0950959249217096,1659.8572630061294
-0.0,0.09734708508212972,0.32020288871577984,0.08111360523807602,1.3582923403014702,1092.2376739669871
-0.0,0.14273893887749356,0.39016509451348996,0.578456512277819,1.6706619198715238,1594.3458725182984
-0.0,0.39084528819175174,0.7049907700272273,0.6727387294088196,2.824042976387397,4003.8179552757483
-0.0,0.5936972274086764,1.321249969739298,1.6678143219036798,2.366149668141036,4551.536251105223
-0.0,0.10458142343052486,0.323470399815155,0.1472587828051904,1.5391852852820265,1186.697722567285
-0.0,0.3273002521589958,0.7221789895458631,0.6314837700800445,2.0560354976342405,2041.11842999761
-0.0,0.2155144183241983,0.5475563535106105,1.04845284218226,3.2036678951072295,10814.745614035055
-0.0,0.3574002366005518,0.6035868835214715,0.7680795090188479,2.0651809816378397,2537.415343915329
-0.0,0.42861661459053424,0.8154981117969944,0.8640896698346316,1.9106797686689405,2221.5452532364375
-0.0,0.09047638370251629,0.2497257453375235,0.6323682411526226,1.6325308511035628,1479.488213828167
-0.0,0.45281410695663066,0.8158877308074929,1.1377297225980572,2.664971294719148,4689.484126984147
-0.0,0.3108665784940518,0.5047353037370644,0.7896106854603762,1.9581944692557125,2682.3605773001864
-0.0,0.17491890398150403,0.4272428274517858,0.8139800565800086,1.7734432184711257,2211.8253968254007
-0.0,0.2674240802066492,0.6883719796699129,0.9896489970382774,1.539467192766868,2251.382389162572
-0.0,0.3553477252950589,0.7914230974781651,1.310990721796996,2.342190735875879,4351.334026334084
-0.0,0.26450849648621233,0.5230426193226502,0.6091696978108735,1.790999612585865,2011.9637367463592
-0.0,0.12208100129007997,0.23211561507746917,0.11459688135974047,1.041504359884959,758.8251193706482
-0.0,0.2669179261262415,0.6402629634692151,0.3171585978851884,1.6973478718096136,1971.0174418604727
-0.0,0.3375566442527919,0.5422611680334741,1.1746557529734651,1.9354156190321647,2161.6599638631387
-0.0,0.4526288816543105,0.41822695346543887,0.36591491256063463,1.6594507679004413,1238.5141202883137
-0.0,0.3898497192666644,0.833761156513176,1.1756694143836168,3.3070227882030667,10940.33426703971
-0.0,0.484323798833546,0.6948191047613343,0.6209055971140103,1.4496242980872658,2114.517126148715
-0.0,0.21288679144582517,0.6100340086128929,0.7868866119274035,2.776828940559332,3881.111402054005
-0.0,0.28748662295283606,0.5806748093229213,0.6959674329239669,2.5406783943345084,3913.1004830918205
-0.0,0.2552323943785862,0.44106977736415726,0.6094418197083071,1.8373508052738778,2481.278886872363
-0.0,0.3920265793083046,0.6118052653871345,0.7929927661660421,2.2798925589379895,2594.399819331522
-0.0,0.19906578961500326,0.5044246141915529,0.713335766427791,2.2002355591997382,2606.2769230769172
-0.0,0.15832846412914242,0.44520272351800577,0.46587289941253285,2.03299089011739,1907.117809922695
-0.0,0.2899750002615283,0.47057720013908577,0.6203783345093866,2.511499734140685,2473.609737581807
-0.0,0.22418364589239012,0.28190478161862853,0.3397541053483341,1.7514252180134813,3745.5284552845483
-0.0,0.2963629679934189,0.7511221075530659,0.5806748093229213,1.770872780818142,1846.006683375096
-0.0,0.3636734466838371,0.8868105875956024,1.4777305208794096,2.9117622098716547,4230.885681946807
-0.0,0.21101905287085604,0.03072832779054339,0.0536957363673385,1.4491966654813946,1088.5070272517062
-0.0,0.37853661447847464,1.3090923384051394,1.347957741020106,2.2915675169855336,4731.8931247964
-0.0,0.30411761669749904,0.5192860675818398,0.4852258314102868,1.9950721005009013,1949.9198790627333
-0.0,0.3288660449205366,0.8082841237406817,1.027725019075063,1.8423122336413023,2329.1904761904643
-0.0,0.5233004048835103,1.0055734690156877,1.3896794559948713,2.9637679382714,4355.033670033673
-0.0,0.10390718379652311,0.425150451885989,0.6971452187202519,1.5341650705416414,1934.8931216931246
-0.0,0.2620869604890802,0.4905861760394542,0.7890331677965395,2.35790148458889,2027.8207362774028
-0.0,0.26991418861366034,0.5006662013637625,0.8837830646579355,2.7849638731570523,4030.8331925596904
-0.0,0.18144168699368193,0.5351250045933651,0.7580821414037682,3.163833514322966,10597.118055555617
-0.0,0.18662536680927935,0.44454477236797657,0.6288832467403489,3.133218625754005,10572.009317870836
-0.0,0.2965604336254857,0.653746108233448,0.46545469046911897,2.345309831113374,2535.0426267280955
