formulation,drug_loading,absorption_enabled,gamma_scale,nucleation_scale,absorption_scale,drug_activity_in_dry_ASD,source_solubility_mg_ml,polymer_concentration_mg_ml_assumed,gamma_J_m2_assumed,AUC_mg_h_ml,excess_AUC_mg_h_ml,Cmax_mg_ml,absorbed_mg,fraction_absorbed_proxy,induction_1pct_precip_h,induction_right_censored,supersaturation_over_1p05_duration_h,max_mass_error_mg,minimum_compartment_mg,solver_nfev
crystalline,1.0,False,1.0,1.0,1.0,1.0,0.01,0.0,0.004,0.03990441793580544,0.0,0.009369431042262736,0.0,0.0,,True,0.0,9.947598300641403e-14,0.0,4532
crystalline,1.0,True,1.0,1.0,1.0,1.0,0.01,0.0,0.004,0.028483600399469976,0.0,0.0059065999214753485,7.690579578856166,0.07690579578856166,,True,0.0,1.2789769243681803e-13,0.0,4532
amorphous,1.0,False,1.0,1.0,1.0,1.0,0.1,0.0,0.004,0.10453750855652642,0.044703625573955665,0.05844638410569849,0.0,0.0,0.29591654646760057,False,2.186334563473527,7.105427357601002e-14,-1.1420132736600982e-10,4907
amorphous,1.0,True,1.0,1.0,1.0,1.0,0.1,0.0,0.004,0.09050890687525032,0.041738765761083346,0.05552468160523828,24.43790520144021,0.2443790520144021,0.30496109874517124,False,1.9432864860727652,1.1368683772161603e-13,-2.5482332839155516e-10,4994
ASD,0.2,False,1.0,1.0,1.0,0.5808859564696951,0.05808859564696951,0.4444444444444444,0.00726530612244898,0.31912417695817774,0.259483819823847,0.0577066610048215,0.0,0.0,4.241933700769283,False,5.920651032203282,8.526512829121202e-14,-2.4216365648437612e-24,4541
ASD,0.2,True,1.0,1.0,1.0,0.5808859564696951,0.05808859564696951,0.4444444444444444,0.00726530612244898,0.2505190640937927,0.19088201765538224,0.04750271170850305,67.64039406163765,0.6764039406163765,,True,5.9195749543578495,5.684341886080802e-14,-1.4459809385127754e-24,4541
