formulation,absorption_enabled,max_concentration_difference_mg_ml,AUC_relative_difference
crystalline,False,1.214306433183765e-17,1.7388786161647272e-16
crystalline,True,6.938893903907228e-18,3.654152112053405e-16
amorphous,False,9.89919951566165e-14,5.238478651901733e-13
amorphous,True,5.365555829500712e-10,7.897241560385255e-09
ASD,False,1.717376241217039e-16,3.478968704933487e-16
ASD,True,2.185751579730777e-16,0.0
