formulation,drug_loading,absorption_enabled,gamma_scale,nucleation_scale,absorption_scale,drug_activity_in_dry_ASD,source_solubility_mg_ml,polymer_concentration_mg_ml_assumed,gamma_J_m2_assumed,AUC_mg_h_ml,excess_AUC_mg_h_ml,Cmax_mg_ml,absorbed_mg,fraction_absorbed_proxy,induction_1pct_precip_h,induction_right_censored,supersaturation_over_1p05_duration_h,max_mass_error_mg,minimum_compartment_mg,solver_nfev,ER_abs_vs_matched_crystal
ASD,0.2,True,0.8,0.1,0.5,0.5808859564696951,0.05808859564696951,0.4444444444444444,0.005812244897959184,0.2871153531739021,0.22747665620272414,0.05203212193035358,38.76069207977338,0.3876069207977338,3.5405208197001206,False,5.9201174885382555,5.684341886080802e-14,-2.3148579074754675e-58,4541,8.608964303465362
ASD,0.2,True,0.8,0.1,1.0,0.5808859564696951,0.05808859564696951,0.4444444444444444,0.005812244897959184,0.2491746179533526,0.18953757151494213,0.04745573105026094,67.27739402880897,0.6727739402880897,4.8395558082214585,False,5.9195749543578495,7.105427357601002e-14,-2.3521210353477408e-61,4541,8.748026509442251
ASD,0.2,True,0.8,0.1,2.0,0.5808859564696951,0.05808859564696951,0.4444444444444444,0.005812244897959184,0.1706056769268226,0.11115816866762995,0.04080495345930159,92.12755355740696,0.9212755355740696,,True,5.58157571359975,5.684341886080802e-14,-1.0323947288656593e-10,4745,7.803304517293186
ASD,0.2,True,0.8,1.0,0.5,0.5808859564696951,0.05808859564696951,0.4444444444444444,0.005812244897959184,0.2674482891259905,0.2078095921548126,0.05089306251099254,36.10564136518616,0.3610564136518616,1.7351752476642337,False,5.9201174885382555,4.263256414560601e-14,-6.370167334532154e-58,4541,8.019262840479895
ASD,0.2,True,0.8,1.0,1.0,0.5808859564696951,0.05808859564696951,0.4444444444444444,0.005812244897959184,0.23716751301363354,0.17753046657522306,0.047052369171463694,64.03547831541768,0.6403547831541768,2.002605992561902,False,5.9195749543578495,5.684341886080802e-14,-6.55000362278606e-61,4541,8.326482764897388
ASD,0.2,True,0.8,1.0,2.0,0.5808859564696951,0.05808859564696951,0.4444444444444444,0.005812244897959184,0.16874758673953197,0.10940181820907158,0.04075662426704069,91.124184130284,0.9112418413028399,3.450111836402037,False,5.51701555785534,5.684341886080802e-14,-2.1835910681691324e-09,4721,7.718318029745747
ASD,0.2,True,0.8,10.0,0.5,0.5808859564696951,0.05808859564696951,0.4444444444444444,0.005812244897959184,0.19881557778944037,0.13917688081826246,0.047741883733309065,26.840224902696953,0.2684022490269695,1.0395716299241486,False,5.9201174885382555,8.526512829121202e-14,-1.7588052972812073e-10,4766,5.961362547622785
ASD,0.2,True,0.8,10.0,1.0,0.5808859564696951,0.05808859564696951,0.4444444444444444,0.005812244897959184,0.18783509126581877,0.12819804482740832,0.04525013310646106,50.71571786409183,0.5071571786409182,1.1340243486001638,False,5.9195749543578495,8.526512829121202e-14,-9.247888041901005e-11,4745,6.594524813646733
ASD,0.2,True,0.8,10.0,2.0,0.5808859564696951,0.05808859564696951,0.4444444444444444,0.005812244897959184,0.15571193694157637,0.09750691642193096,0.04036570932172225,84.08492896036968,0.8408492896036968,1.4308184890543574,False,5.086865023000571,5.684341886080802e-14,-8.156458337723948e-11,4772,7.122085420230682
ASD,0.2,True,1.0,0.1,0.5,0.5808859564696951,0.05808859564696951,0.4444444444444444,0.00726530612244898,0.2898070716184743,0.23016837464729634,0.05224542674349211,39.12407361647298,0.39124073616472976,,True,5.9201174885382555,5.684341886080802e-14,-1.9136989425817294e-24,4541,8.689673354571745
