alpha,peak_total_p_nm,peak_ept_nm,exact_peak_total_p_nm,exact_peak_ept_nm,supplied_formula_p_nm,window80_low_nm,window80_high_nm,high_dose_ept_nm
0.01,131.62278070136267,0.5706464703152253,131.62277660168382,0.5706464703152256,148.32396974191326,70.72718733104728,236.32718626402263,0.0001000087995642165
1.0,131.6227773260163,29.053551349663287,131.6227766016838,29.05355134966329,148.32396974191326,68.34607138732979,275.13677200948536,0.009998900001010185
10.0,131.622776913868,66.14768503251254,131.62277660168377,66.14768503251254,148.32396974191326,69.28927605921176,439.60308279908907,0.0998094524064887
100.0,131.62277691941802,87.67547707676545,131.6227766016838,87.67547707676545,148.32396974191326,73.62662350317267,1287.5338495465899,0.9805719906256603
