id,smiles,genes,mw_g_mol,clogp,tpsa_A2,hbd,pka_assumed,logd74_proxy,cns_mpo_proxy,qed,sa_score,rotatable_bonds,fsp3,pocket_geometry_score,steric_overlap_per_atom_A2,pharmacophore_contact_proxy,mmff_status,predicted_kd_nM,confirmed_novel,synthetic_route_validated
G942029b5c20b,CNS(=O)(=O)c1ncc(Cl)cn1,"[3, 15, 1]",207.642,0.03810000000000008,71.95,1,5.0,0.03637447497120727,5.833333333333333,0.6954010460975434,2.712626176792453,2,0.2,16.757038108679907,0.1370838358420577,0.9999931036869731,0,,,False
Gd10e71ed4147,c1ccc(-c2cc(N3CCOCC3)ccn2)cc1,"[2, 11, 12]",240.30599999999998,2.5852000000000004,25.360000000000003,0,9.0,0.9744257744880436,4.768,0.8064270758580957,1.8066564516329393,2,0.26666666666666666,12.33709300056238,0.052123467539242886,3.670586560498497e-05,0,,,False
Gbfe23490eee3,CCOC1CCN(CO)CC1,"[6, 10, 7]",159.22899999999998,0.4371000000000001,32.7,1,9.0,-1.1736742255119568,4.968333333333334,0.6481818781663408,2.3813373090019443,3,1.0,18.870848973000506,0.21583181026922074,1.2218569268936568,0,,,False
G8bf9607bfe8b,COc1cc(CCNC(C)=O)ccn1,"[2, 16, 5]",194.23399999999998,0.7687999999999999,51.22,1,5.0,0.7670744749712072,5.833333333333333,0.7698000040082503,1.959674668532374,4,0.4,14.106977782188935,0.3585495120412029,1.8627977675652376,0,,,False
Gc836e4a33172,NC(=O)c1csc(C(=O)NCCO)c1,"[4, 4, 8]",214.24599999999995,-0.4309,92.42,3,0.0,-0.43090001728957433,5.086,0.6345726871385046,2.3112546747609652,4,0.25,13.917956563872718,0.327457871285862,1.7020454942961805,0,,,False
G101216590b77,O=C(Nc1ccc(F)cc1)C1CC1,"[0, 7, 0]",179.19399999999996,2.1742,29.1,1,0.0,2.1741999827104257,5.201233341978121,0.7402175022712268,1.3423474423165196,2,0.3,15.209905565383542,0.23030293908971872,0.740028346321336,0,,,False
Gcac50f1e6048,CCc1cnc(NC(=O)CO)nc1,"[3, 19, 3]",181.19499999999996,-0.03020000000000045,75.11,2,5.0,-0.031925525028793256,5.5,0.686225972288751,2.2792551346242114,3,0.375,17.134557040851615,0.3899767748388782,1.61286951719774,0,,,False
Gb2d6b66f5ec3,CNC(=O)c1coc(-c2ccncc2)c1,"[5, 13, 9]",202.213,1.7011999999999994,55.13,1,5.0,1.6994744749712065,5.833333333333333,0.8059199145548174,2.3248358021670654,2,0.09090909090909091,14.083568196009974,0.11087419366082282,0.877812944826465,0,,,False
G65b1b1ce2da7,Cc1cc(C(=O)NCCO)ccn1,"[2, 4, 2]",180.20699999999997,0.11211999999999989,62.22,2,5.0,0.11039447497120708,5.5,0.6937245124808937,1.926555134624211,3,0.3333333333333333,14.393565540746533,0.1815275607856692,0.9032564610164563,0,,,False
G814623cb6684,NC(=O)c1coc(-c2ccncc2)c1,"[5, 13, 8]",188.18599999999998,1.4404999999999994,69.12,1,5.0,1.4387744749712066,5.833333333333333,0.7747274411888913,2.3566052010767535,2,0.0,9.354206597794917,0.2942568532641175,0.6255637530049578,0,,,False
G9420c03501db,O=C(NC1CC1)c1ccnc(N2CCOCC2)c1,"[2, 3, 14]",247.29799999999992,0.8104,54.46000000000001,1,9.0,-0.8003742255119568,5.333333333333333,0.8585176724185674,1.9935071419682444,3,0.5384615384615384,11.566168975982539,0.21009375465117242,0.9435153018437944,0,,,False
G63e5e7c5ac82,CCOc1cc(C2CC2)cs1,"[4, 10, 11]",168.26099999999997,3.0242000000000013,9.23,0,0.0,3.024199982710427,4.475800008644786,0.6737552724723604,2.854362122897726,3,0.5555555555555556,16.14494116226445,0.09337119825574915,0.6390111935380327,0,,,False
G3b19af11cd41,NC(=O)c1coc(NC(=O)c2ccncc2)c1,"[5, 6, 8]",231.211,1.0258,98.22,2,5.0,1.0240744749712072,5.226,0.8234743354863422,2.5422031203020943,3,0.0,11.841421066715863,0.3623872364780851,0.678894577549254,0,,,False
Gbe5c0fb4bcec,CC(=O)NCCc1ccnc(F)c1,"[2, 16, 0]",182.19799999999998,0.8993,41.99,1,5.0,0.8975744749712072,5.833333333333333,0.7054942332831166,2.085043596162672,3,0.3333333333333333,13.609058985949614,0.14640297963031138,0.5200395410920374,0,,,False
G7c910ecae95f,CNC(=O)c1ncc(NC(C)=O)cn1,"[3, 0, 10]",194.194,-0.20540000000000003,83.97999999999999,2,5.0,-0.20712552502879283,5.5,0.6821342801445341,2.328456699052463,2,0.25,12.70964362180508,0.03603799249031491,1.0003620760171295,0,,,False
G73768606e6d4,c1sc(N2CCOCC2)cc1N1CCOCC1,"[4, 11, 14]",254.35499999999993,1.4213000000000002,24.94,0,9.0,-0.18947422551195658,4.747,0.7967393485883169,2.6372756316143118,2,0.6666666666666666,10.328835238547889,0.23093049888619777,0.3329270571151216,0,,,False
G9505e426f8f6,CC(=O)NCCc1cccc(C(F)(F)F)c1,"[1, 16, 15]",231.21699999999996,2.3840000000000003,29.1,1,0.0,2.383999982710426,5.09633334197812,0.8497706466978062,1.7578991014663998,3,0.36363636363636365,12.504112538626822,0.15607226274566363,2.599016665021886e-34,0,,,False
Gd33677b29b1e,CCc1cnc(-c2ccccc2)nc1,"[3, 14, 3]",184.242,2.7060000000000013,25.78,0,5.0,2.7042744749712084,4.936862762514396,0.7167456468218655,1.6815076025776907,2,0.16666666666666666,6.324709987045491,1.051713589545798,0.07900498156004931,0,,,False
G55552082baa6,CNC(=O)c1coc(CO)c1,"[5, 8, 9]",155.153,0.13150000000000006,62.470000000000006,2,0.0,0.1314999827104257,5.5,0.6377488825851633,2.4969911055279983,2,0.2857142857142857,15.478035921233971,0.14416764520452874,1.0074215822526116,0,,,False
Gf4d65b23e412,FC(F)(F)c1cc(N2CCCCC2)ccn1,"[2, 12, 15]",230.23299999999992,3.090700000000002,16.130000000000003,0,9.0,1.479925774488045,4.454649999999999,0.7365799393002123,2.142754629194485,1,0.5454545454545454,12.47990279894182,0.0723586279812488,0.0023087360917111886,0,,,False
Gccd46a2d2472,O=C(NC1CCN(F)CC1)c1ccncc1,"[6, 6, 0]",223.251,1.1602999999999999,45.230000000000004,1,9.0,-0.4504742255119569,5.333333333333333,0.7651559494278519,2.5188417863851207,2,0.45454545454545453,11.171995041467767,0.35320186411449683,1.3598286851183373e-10,0,,,False
G251055311ae7,NC(=O)c1cnc(NC(=O)C2CC2)nc1,"[3, 7, 8]",206.20499999999996,-0.07600000000000018,97.97,2,5.0,-0.07772552502879299,5.234333333333334,0.7223839475741322,2.1204880906613273,3,0.3333333333333333,16.717521517708867,0.06986977134092151,1.0005458552080297,0,,,False
Gc94496fa83ce,CNC(=O)c1cccc(OC)c1,"[1, 0, 5]",165.19199999999998,1.0547999999999997,38.33,1,0.0,1.0547999827104253,5.749833333333333,0.711045127218606,1.3884660369323143,2,0.2222222222222222,15.218284220800637,0.14842356933601522,0.18614056268780882,0,,,False
G323812115dcb,CCOc1ncc(CO)cn1,"[3, 10, 7]",154.16899999999998,0.3676,55.24000000000001,1,5.0,0.3658744749712072,5.833333333333333,0.6828720066741002,2.3265110062724155,3,0.42857142857142855,16.548956074818882,0.09806177010250051,0.9522630706189,0,,,False
Gefd172022989,O=C(c1ccc(Cl)cc1)N1CCOCC1,"[0, 17, 1]",225.67499999999995,1.8124000000000002,29.540000000000003,0,0.0,1.8123999827104258,5.477,0.7297641130721476,1.5380071796268133,1,0.36363636363636365,10.986323453153975,0.08960668047921591,0.9954697089845903,0,,,False
Gb6c37345a340,NC(=O)c1ccc(C(=O)NC2CC2)cc1,"[0, 3, 8]",204.22899999999996,0.6777000000000002,72.19,2,0.0,0.6776999827104259,5.5,0.7594120760379112,1.505306852387406,3,0.2727272727272727,16.198525685685556,0.2691346628180375,0.46804698399431705,0,,,False
Gcccadae3a144,C1CN(C2CCN(N3CCOCC3)CC2)CCO1,"[6, 11, 14]",255.36199999999994,0.030200000000001337,28.180000000000003,0,9.0,-1.5805742255119555,4.909,0.6940917014050856,2.653510297786786,2,1.0,8.079299105911836,0.06864172912601314,7.058818562431995e-19,0,,,False
G964ead1e4de7,CNS(=O)(=O)N1CCN(F)CC1,"[7, 15, 0]",197.23499999999999,-1.0472999999999997,52.650000000000006,1,9.0,-2.6580742255119567,5.333333333333333,0.5748319516926922,3.198825215253991,2,1.0,13.79048002212423,0.14914102558212594,0.07933559574290965,0,,,False
Gba65fdd86a47,CNS(=O)(=O)c1ccc(N2CCOCC2)cc1,"[0, 15, 14]",256.32699999999994,0.4312999999999998,58.64,1,9.0,-1.179474225511957,5.333333333333333,0.8518620059651298,1.8391704279944037,3,0.45454545454545453,12.867469925553081,0.08660566441547682,0.9012167054046454,0,,,False
G6c66bb5a9699,CCN1CCC(C(=O)NCCO)CC1,"[6, 4, 3]",200.28199999999995,-0.17320000000000002,52.57000000000001,2,9.0,-1.7839742255119568,5.0,0.6620751554882365,1.8302024791832618,4,0.9,14.099424648788958,0.11226920169720246,1.600798111177687e-11,0,,,False
G7347a76ee2b2,CCOC1CCN(Cl)CC1,"[6, 10, 1]",163.648,1.6411,12.47,0,9.0,0.03032577448804319,4.5,0.5743395589646149,2.8169353007414486,2,1.0,15.493761098341842,0.05881548951274447,0.9414193722370428,0,,,False
Gb88a2d7658d2,COc1cnc(CCNC(C)=O)nc1,"[3, 16, 5]",195.22199999999998,0.16379999999999972,64.11,1,5.0,0.16207447497120692,5.833333333333333,0.7431195953556202,2.271074668532375,4,0.4444444444444444,13.010870869167686,0.2394556889426329,0.9760661062430447,0,,,False
