generation,pareto,id,smiles,genes,mw_g_mol,clogp,tpsa_A2,hbd,pka_assumed,logd74_proxy,cns_mpo_proxy,qed,sa_score,rotatable_bonds,fsp3,pocket_geometry_score,steric_overlap_per_atom_A2,pharmacophore_contact_proxy,mmff_status,predicted_kd_nM,confirmed_novel,synthetic_route_validated
0,True,G1f5a1949f6d8,CNC(=O)c1ccc(S(=O)(=O)NC)cc1,"[0, 15, 9]",228.273,-0.04570000000000002,75.27,2,0.0,-0.04570001728957437,5.5,0.7615655093443402,1.6864435034193015,3,0.2222222222222222,15.77536985505083,0.39689528948029396,0.8152785327864894,0,,,False
0,False,G58a09864a7e3,O=C(Nc1ccnc(CO)c1)C1CC1,"[2, 7, 7]",192.21799999999996,0.9223999999999999,62.22,2,5.0,0.9206744749712071,5.5,0.7482197999948986,1.9918367987098904,3,0.4,10.706949350145617,0.19517411475442023,4.626688656703934e-09,0,,,False
0,False,G044a0407d703,O=C(Nc1cccc(-c2ccncc2)c1)c1ccncc1,"[1, 6, 13]",275.31100000000004,3.395900000000001,54.88,1,5.0,3.394174474971208,4.938296095847729,0.7967084930001207,1.7597327023180256,3,0.0,3.9448750231015755,0.9124740782887163,0.0005506878383385132,0,,,False
0,False,G5b3e8023bb29,OCc1cc(C(F)(F)F)cs1,"[4, 8, 15]",182.16599999999997,2.2592000000000003,20.23,1,0.0,2.259199982710426,4.71523334197812,0.7058249091607891,2.730158426482907,1,0.3333333333333333,15.050752121066568,0.08691304260604334,0.00015240618755217643,0,,,False
0,True,G1e951ce506ee,CCOc1ccc(C(=O)NC2CCCC2)cc1,"[0, 18, 6]",233.31099999999992,2.7577000000000007,38.33,1,0.0,2.7576999827104265,5.37098334197812,0.8680238219294587,1.5075576336458951,4,0.5,13.0145635261829,0.5828625244246117,0.7720307494471305,0,,,False
0,False,Gf06e4777960b,NC(=O)c1cnc(-c2ccncc2)nc1,"[3, 13, 8]",200.20099999999996,0.6375,81.76,1,5.0,0.6357744749712072,5.833333333333333,0.7706221215488437,2.0822640669255623,2,0.0,12.514778327310543,0.14518909062266833,0.8723497910153529,0,,,False
0,False,Gd15a2b37521d,CCN1CCN(C(=O)NCCO)CC1,"[7, 4, 3]",201.26999999999995,-0.6741999999999995,55.81,2,9.0,-2.2849742255119563,5.0,0.6362557982703342,1.9382344318459843,3,0.8888888888888888,13.189602831753378,0.06461748168703103,1.4960981724153518e-08,0,,,False
0,False,G7a42736b02f6,CC(=O)Nc1cc(N2CCOCC2)ccn1,"[2, 11, 10]",221.25999999999996,0.8765999999999998,54.46,1,9.0,-0.734174225511957,5.333333333333333,0.8049980631337355,2.058965866652681,2,0.45454545454545453,11.729634986905948,0.10286033328870332,0.9706942642576523,0,,,False
0,True,G228c4263c3aa,NC(=O)c1cccc(NC(=O)C2CC2)c1,"[1, 7, 8]",204.22899999999996,1.134,72.19,2,0.0,1.1339999827104255,5.5,0.7743087354681356,1.5464299293104844,3,0.2727272727272727,13.621344857176414,0.10130100035130095,2.7442364768367346e-05,0,,,False
0,True,Gbf10d73decb2,CC(=O)Nc1cccc(-c2ccncc2)c1,"[1, 13, 10]",212.25199999999998,2.707,41.99,1,5.0,2.705274474971207,5.48069609584773,0.831151515237137,1.6151123549469961,2,0.07692307692307693,10.696064228581527,0.2451473186892183,0.2857120325346714,0,,,False
0,False,G1717dd4959e4,CC(=O)Nc1ccnc(C(F)(F)F)c1,"[2, 5, 15]",204.15099999999995,2.0588,41.99,1,5.0,2.0570744749712073,5.804796095847729,0.7602066168749652,2.105157924569477,1,0.25,12.082443783620352,0.06275967458206845,0.9270352863320006,0,,,False
0,False,Ge8d339a2cd74,c1oc(N2CCOCC2)cc1N1CCOCC1,"[5, 11, 14]",238.28699999999992,0.9527999999999999,38.08,0,9.0,-0.657974225511957,5.404,0.7667452690210116,2.7237787990351254,2,0.6666666666666666,12.410546657611773,0.24989328144587178,0.979530253221169,0,,,False
0,False,G50330107dd14,CNC(=O)N1CCN(C(N)=O)CC1,"[7, 0, 8]",186.21499999999997,-0.9778999999999991,78.67,2,0.0,-0.9779000172895734,5.5,0.5098209564969405,2.1107944752835515,0,0.7142857142857143,13.766287393015357,0.06754302462543627,1.001257644062154,0,,,False
0,False,G8a7dd7e78904,O=C(c1cc(C(F)(F)F)cs1)N1CCOCC1,"[4, 17, 15]",265.2559999999999,2.2393,29.540000000000003,0,0.0,2.239299982710426,5.357350008644787,0.7790321872592773,2.4184348306130605,1,0.5,12.244819581876751,0.2098661124791732,0.8867275378852274,0,,,False
