frame,assumed_time_ns,state,interpolation_q,z1,z2
0,0.0,0,0.0521802206536162,-0.5361329052116276,0.302583016343918
1,10.0,0,0.18611094895326236,-0.28774817634878885,-0.2315223695666523
2,20.0,0,0.0904028274262992,-0.5029554926221017,0.10590520535723501
3,30.0,0,0.09995654404673092,-0.5226863694200262,0.17595530312727045
4,40.0,1,0.30530585694576534,0.18717126439097653,-0.4458092673425669
5,50.0,1,0.22565298634518696,-0.11293731290462358,-0.3682388356654198
6,60.0,1,0.2948388610632187,-0.07623855726730766,-0.37970217640736054
7,70.0,1,0.3996164434502704,0.3818020763376955,-0.38898473817308055
8,80.0,1,0.39479368813820204,0.31040575925281666,-0.4143280789999075
9,90.0,1,0.29078875258742,-0.05078461713386674,-0.38787793136875204
10,100.0,1,0.2020339009902353,-0.2984102598037066,-0.21517512569086042
11,110.0,1,0.30693624131317954,-0.0029553678853552253,-0.40735557137548095
12,120.0,1,0.3913793329918634,0.41681082348788195,-0.37921866009060523
13,130.0,1,0.3041879602889843,0.11568810282010943,-0.4357456201921907
14,140.0,1,0.2948586193450282,0.02564030881971025,-0.416480631606983
15,150.0,2,0.5871008560992517,0.7528436154661199,0.04026524540887116
16,160.0,1,0.2774095169997935,-0.16655405498751277,-0.33040330528366235
17,170.0,2,0.584813070053262,0.7431233341097159,0.029599295198213568
18,180.0,2,0.4580098820295119,0.5426220446075589,-0.28795922996395235
19,190.0,2,0.5253756212675809,0.6154438383644598,-0.22208178162483588
20,200.0,1,0.3988505469991144,0.22248621267780494,-0.4477291059038751
21,210.0,2,0.4628978178632404,0.4689840887148561,-0.3531008827992393
22,220.0,1,0.3264796593066537,0.137149867893557,-0.4346447911374252
23,230.0,1,0.20592015215583967,-0.339590100044809,-0.17048780907613528
24,240.0,0,0.058795789402546414,-0.5322522114345101,0.23185081508147065
25,250.0,1,0.3797331916472057,0.2359027620442113,-0.43873631040090694
26,260.0,1,0.34720370226861536,0.343090955893752,-0.4144555150327501
27,270.0,0,0.07114667249506393,-0.5288456412643179,0.21123552960062256
28,280.0,0,0.19801839949117692,-0.34186806311366846,-0.16850664304925267
29,290.0,0,0.15398058946285725,-0.4475567666157854,-0.012622157184474046
30,300.0,0,0.003369742921238252,-0.5179540340309752,0.40295613055572965
31,310.0,0,0.19898801255241888,-0.3913790932546397,-0.11044806923774755
32,320.0,0,0.061862937058486264,-0.5334944752867414,0.24669557621163885
