time_day,small_mean_mg_l,small_min_mg_l,small_max_mg_l,mab_mg_l,receptor_occupancy
0.0,0.0,0.0,0.0,0.0,0.0
0.0026041666666666665,0.026908088880168116,0.026893914428382733,0.026914595581799615,29.16413498447446,0.8536476921698092
0.005208333333333333,0.05296279200096194,0.05290673080037414,0.05298853707555608,58.32320719055968,0.9210400069447934
0.0078125,0.07819039225800849,0.07806566471542394,0.07824769456752916,87.47721749713398,0.9459326292969946
0.010416666666666666,0.10261636387554138,0.10239709422340193,0.10271714220235315,116.626166782923,0.9588904252082207
0.013020833333333332,0.12626539728664518,0.1259265855937168,0.12642118267158717,145.77005592649996,0.9668369161948346
0.015625,0.14916142324801432,0.14867891829159935,0.14938337094883247,174.90888580628555,0.972208154268802
0.018229166666666664,0.17132763621278013,0.1706781091859476,0.17162653729459681,204.04265730054783,0.9760814368485026
0.020833333333333332,0.1927865169842303,0.19194743601237266,0.19317280955337343,233.17137128740268,0.9790067128010677
0.25,0.779126846290275,0.7251157606338983,0.8050796985865796,229.63610516161182,0.9786904065912784
0.5,0.7509101131264779,0.6347044903613497,0.8098307239623345,225.8405541932242,0.9783400277413354
0.75,0.6888543111568548,0.5257634821283579,0.77628628204955,222.10773816429,0.9779840174517391
1.0,0.630807059281408,0.43412177285518283,0.7423177250609301,218.43662015746543,0.977622289504396
1.25,1.357192052016221,1.0834997384026055,1.514825194374667,214.82618039414297,0.977254756503365
1.5,1.2810821155856984,0.9305605914628289,1.4884287471358517,211.27541595117285,0.9768813298635439
1.75,1.1754958130954762,0.7700008820158915,1.4251035290316967,207.78334048226694,0.9765019197994182
2.0,1.0778444647150294,0.6357464976696141,1.3626611361302736,204.34898394400716,0.9761164353138809
2.25,1.7681629400984717,1.249946521618618,2.107944364816146,200.9713923263831,0.9757247841871313
2.5,1.6591772858099931,1.067967011554289,2.055518433349633,197.64962738778266,0.9753268729656621
2.75,1.5235964141875902,0.8834336796787452,1.967306054655443,194.3827663943636,0.974922606951343
3.0,1.398554816328781,0.7293884073929748,1.8810686930645828,191.1699018637326,0.9745118901906104
3.25,2.0638395833437126,1.3272505063329905,2.6036012132925213,188.01014131286107,0.9740946254637718
3.5,1.931954728053202,1.131783587597794,2.529423005448036,184.90260701016723,0.973670714274437
3.75,1.7754099724432308,0.9361160270760238,2.420412965507448,181.84643573169635,0.9732400568390837
4.0,1.6311609108885934,0.7728791412956442,2.3142906637933573,178.84077852133078,0.9728025520767698
4.25,2.278833787864144,1.363153309242082,3.0178109095631314,175.88480045496306,0.9723580975990025
4.5,2.1307878430956153,1.1614223437432722,2.9254547953315746,172.9776804085676,0.9719065896997762
4.75,1.9594023555500433,0.9605836394815347,2.7990646001999697,170.1186108301051,0.9714479233457896
5.0,1.8015152669257055,0.7930778316147603,2.676324884575185,167.30679751519742,0.9709819921668558
5.25,2.4366465979225174,1.3798278863869966,3.3639569842355326,164.54145938651018,0.9705086884465156
5.5,2.277059588173696,1.1751876680573226,3.2564099872257612,161.8218282767818,0.9700279031128692
5.75,2.095046672065378,0.9719472951727244,3.1154955727175127,159.14714871543873,0.9695395257296374
6.0,1.9273671544281274,0.8024588434762896,2.978869044089113,156.5166777187377,0.969043444487467
6.25,2.5534697848599404,1.3875721709673878,3.653223764057204,153.92968458337654,0.9685395461954942
6.5,2.3855531489014856,1.181580789028423,3.532982075223868,151.38545068351632,0.96802771627318
6.75,2.1958509772397816,0.9772249932385487,3.3799300850620986,148.88326927115858,0.9675078387424336
7.0,2.0210692272673354,0.8068157291038132,3.231698647484947,146.4224452798217,0.966979796220037
7.25,2.640608127307463,1.3911689004760803,3.8949577487270903,144.00229513146246,0.9664434699103891
7.5,2.46662209432591,1.1845499886505055,3.7641073808032672,141.62214654658902,0.9658987395985827
7.75,2.271304619815193,0.9796761495944739,3.600912281471593,139.28133835751206,0.9653454836438334
8.0,2.0913249724810963,0.808839226424946,3.4429828727563723,136.979220324683,0.9647835789732764
8.25,2.7060499030343244,1.3928393534436088,4.09696960567245,134.71515295606767,0.9642129010761473
8.5,2.5276032575012017,1.1859289937460809,3.9572537943326616,132.4885073295054,0.963633323998369
8.75,2.3281505898584673,0.9808145564162092,3.785582318287098,130.29866491800473,0.9630447203375573
9.0,2.1443356191989453,0.8097790127215533,3.619548525073026,128.1450174179259,0.9624469612384697
9.25,2.7555017137096383,1.3936151730069042,4.26578654054506,126.02696658000409,0.9618399163889134
9.5,2.5737513052060206,1.1865694542390295,4.1186620700978285,123.943924043165,0.9612234540161333
9.75,2.3712303226654634,0.9813432742552977,3.9399070695636427,121.89531117108763,0.9605974408837005
10.0,2.1845644878748156,0.8102154839113429,3.767100617700652,119.88055889146801,0.9599617422889224
10.25,2.793080653619361,1.3939754920380243,4.406863197780538,117.89910753794008,0.9593162220607953
10.5,2.608866086511483,1.1868669075583425,4.253547471330087,115.95040669460914,0.9586607425585213
10.75,2.4040527814404458,0.9815888301919218,4.068872922753789,114.03391504315508,0.9579951646706127
11.0,2.2152536494587634,0.8104181971241275,3.890406706700035,112.14910021246253,0.9573193478146058
11.25,2.8217837583758922,1.394142837398118,4.5247579056293405,110.29543863073678,0.9566331499374074
11.5,2.635719527127281,1.1870050557784813,4.36626828059056,108.4724153800637,0.9559364275162996
11.75,2.429182959981514,0.9817028753660272,4.17664689388599,106.67952405337361,0.9552290355606242
12.0,2.238777761581137,0.8105123445675301,3.9934509354436756,104.9162666137696,0.9545108276141756
12.25,2.843810511355429,1.394220558714857,4.623279960313091,103.1821532561804,0.9537816557583231
12.5,2.65634979771829,1.1870692168736465,4.460466620249704,101.47670227130067,0.9530413706158922
12.75,2.448510397527893,0.9817558421234815,4.266711268030663,99.7994399117795,0.9522898213558296
13.0,2.2568893412787276,0.810556070089796,4.079562766282983,98.14990026062094,0.9515268556986785
13.25,2.860787042093723,1.3942566553420495,4.7056127082050185,96.52762510175964,0.9507523199228922
13.5,2.6722663885073183,1.187099015637095,4.539186133112985,94.93216379277561,0.9499660588720139
13.75,2.4634368861369937,0.9817804418263385,4.34197611542245,93.36307313971295,0.9491679159627506
14.0,2.2708906883730644,0.8105763778244335,4.151524558815254,91.8199172739675,0.9483577331939699
14.25,2.873923693847893,1.3942734199382933,4.774416402943164,319.93837269282125,0.9846124667931211
14.5,2.6845946103994685,1.1871128552746633,4.60497032557174,314.65025652553146,0.9843579039968622
14.75,2.475009070378209,0.9817918668296752,4.404873318747365,309.4495452305093,0.9840991978654804
15.0,2.2817556372026915,0.8105858094804719,4.211661470712077,304.3347941322873,0.9838362832282561
15.25,2.884126880723156,1.3942812060310417,4.8319141608928176,299.30458243378325,0.9835690939649652
15.5,2.694178420925113,1.1871192829094328,4.65994475084501,294.35751282162505,0.983297562994588
15.75,2.4840130246568495,0.9817971730198353,4.4574351497108005,289.49221107799895,0.9830216222639732
16.0,2.2902165951372573,0.8105901898871108,4.261916585895101,284.7073256989142,0.9827412027364597
16.25,2.892079231667744,1.3942848221777955,4.879963792265362,280.00152751877584,0.982456234380461
16.5,2.7016542589581887,1.187122268138527,4.705885687735297,275.37350934116415,0.9821666461580152
16.75,2.4910423106398567,0.9817996374089637,4.501359933774042,270.8219855757155,0.9818723660133052
17.0,2.2968273066211036,0.8105922243084515,4.303913697525846,266.345691881006,0.981573320861152
17.25,2.898297501618364,1.3942865016488428,4.920117828828998,261.94338481333756,0.9812694365754885
17.5,2.707504504189467,1.187123654588297,4.744277533977729,257.6138414813285,0.980960637977814
17.75,2.496547350766861,0.9818007819615696,4.53806692475281,253.35585920621384,0.9806468488256381
18.0,2.3020084742780416,0.8105931691682631,4.339009774390891,249.1682551877602,0.9803279918009179
18.25,2.903174744623344,1.3942872816567329,4.953673687766868,245.04986617570225,0.9800039884984915
18.5,2.7120964802813434,1.1871242985063692,4.776360768619252,240.99954814661075,0.9796747594145169
18.75,2.50087151548772,0.9818013135337363,4.56874216233111,237.01617598610014,0.9793402239349193
19.0,2.306081162527717,0.8105936079957791,4.368338805923992,233.0986431762902,0.9790003003238538
19.25,2.907011246369296,1.3942876439209764,4.981715592527147,229.24586148843264,0.9786549057121895
19.5,2.715711110867989,1.1871245975655151,4.803172033140451,225.456760680618,0.9783039560860212
19.75,2.5042776809533867,0.9818015604153272,4.594376794192636,221.7302882004799,0.9779473662752155
20.0,2.309291420304616,0.810593811803356,4.3928484425417045,218.06540889281217,0.9775850499419988
20.25,2.9100373617119324,1.3942878121697644,5.005149605169783,214.46110471201945,0.9772169195695926
20.5,2.718564109327967,1.1871247364595399,4.825577626381207,210.91637443931992,0.9768428864509061
20.75,2.5069678971934652,0.9818016750761835,4.615799100996246,207.43023340462258,0.9764628606772919
21.0,2.3118285435218673,0.8105939064590623,4.413330615178546,204.00171321300164,0.9760767511273732
21.25,2.9124304779187495,1.3942878903106664,5.024732902140148,200.62986147569137,0.9756844654559519
21.5,2.7208217407203534,1.1871248009670143,4.8443014955248405,197.31374154552796,0.9752859100830044
21.75,2.5090980388182826,0.9818017283288865,4.6337012589545505,194.05243225676324,0.9748809901827757
22.0,2.3138386974384524,0.8105939504206404,4.4304471233695395,190.84502766917993,0.974469609672981
22.25,2.9143276850353415,1.3942879266021642,5.0410982393991945,187.6906368164352,0.9740516712041218
22.5,2.7226126104720394,1.1871248309266489,4.859948627557484,184.5883834585647,0.973627076148931
22.75,2.5107887768405526,0.9818017530613931,4.648661704741372,181.53740583857683,0.9731957245919521
23.0,2.3154351313788055,0.8105939708380081,4.4447510186567705,178.53685644307015,0.9727575153192682
23.25,2.9158352886347334,1.3942879434572653,5.054774397403008,175.5859017668076,0.9723123458083868
23.5,2.724036526038101,1.187124844841001,4.873024597004231,172.683722081182,0.9718601122182957
23.75,2.5121338362254435,0.9818017645480752,4.66116382536067,169.82951120650822,0.9714007093796996
24.0,2.316705875566236,0.8105939803205816,4.456704474239244,167.02247628807933,0.9709340307854498
24.25,2.9170359860329746,1.394287951285392,5.066203266529547,164.26183757592403,0.97045996858118
24.5,2.7251711895687016,1.187124851303336,4.883951901548958,161.54682820820437,0.9699784135561599
24.75,2.513206239290854,0.9818017698829111,4.671611576865316,158.87669399819384,0.969489255134381
25.0,2.317719566973452,0.8105939847246363,4.466693718252354,156.25069322477594,0.9689923813658883
25.25,2.9179943039447664,1.3942879549210607,5.075754124999821,153.66809642640595,0.9684876789183696
25.5,2.72607727454883,1.187124854304681,4.893083613358128,151.12818619847798,0.9679750330690209
25.75,2.5140630465049,0.9818017723606045,4.680342536582211,148.63025699404122,0.9674543276966989
26.0,2.3185298776025034,0.8105939867700407,4.475041513186214,146.17361492781038,0.9669254452743778
26.25,2.9187607358651153,1.3942879566095985,5.083735570627489,143.75757758341496,0.9663882668619266
26.5,2.726802292327082,1.1871248556986154,4.900714787196508,141.38147382383508,0.9658426720992213
26.75,2.5147489707543937,0.9818017735113361,4.687638810574193,139.04464360497002,0.9652885391996104
27.0,2.3191788937437288,0.8105939877200012,4.482017584665327,136.74643779228853,0.9647257449437504
27.25,2.9193749023298183,1.3942879573938174,5.090405491923643,134.4862179805094,0.9641541646738271
27.5,2.7273835482429774,1.18712485634601,4.9070919939424655,132.26335631626253,0.9635736722881836
27.75,2.5152991431448437,0.9818017740457781,4.693736148769795,130.07723532368132,0.9629841402363718
28.0,2.319699704274365,0.8105939881611979,4.487847336553973,127.92724773287755,0.9623854395146456
28.25,2.9198679736318787,1.3942879577580374,5.095979400733178,355.4489014728631,0.9861284082721045
28.5,2.7278504098410754,1.1871248566466834,4.91242128754028,349.5738478908135,0.9858985651938446
28.75,2.515741237015011,0.9818017742939926,4.698831562279812,343.7959004031954,0.9856649691288797
29.0,2.320118390056413,0.8105939883661057,4.492719133981068,338.11345398744254,0.9854275606453398
29.25,2.9202645335185156,1.3942879579271945,5.100637395638594,332.5249301496787,0.9851862794319143
29.5,2.7282260531646902,1.1871248567863275,4.916874862809689,327.0287764862363,0.9849410642869165
29.75,2.5160971045516005,0.9818017744092724,4.703089689023838,321.6234662524236,0.9846918531072845
30.0,2.320455558064854,0.8105939884612724,4.49679038960635,316.307497938419,0.9844385828775204
30.25,2.9205840175321303,1.3942879580057572,5.104529981125777,311.07939485217514,0.9841811896585717
30.5,2.7285288115509383,1.1871248568511832,4.920596619233172,305.9377047092177,0.9839196085766572
30.75,2.516384041854671,0.9818017744628127,4.706648113346527,300.8809992292231,0.9836537738120403
31.0,2.320727528144944,0.8105939885054714,4.50019264978125,295.90787373926497,0.9833836185877526
31.25,2.920841826514289,1.394287958042245,5.107782930534849,291.01694678361855,0.9831090751582716
31.5,2.7287732205955075,1.1871248568813044,4.923706810492514,286.20685974001367,0.9828300747981557
31.75,2.51661576976055,0.9818017744876786,4.709621811505714,281.476276442231,0.9825465477906395
32.0,2.320947253796187,0.8105939885259991,4.50303584494341,276.8238828089364,0.9822584234161951
32.25,2.9210501911798388,1.3942879580591907,5.110501349922894,272.24838647864976,0.98196562994106
32.5,2.7289708300912396,1.187124856895294,4.92630592998584,267.7485164507473,0.9816680946057396
32.75,2.5168031964821997,0.9818017744992272,4.7121068666706,263.32302273239765,0.9813657436134857
33.0,2.3211250386311835,0.8105939885355327,4.505411841579341,258.97067599133396,0.9810585021187576
33.25,2.9212188453055448,1.394287958067061,5.112773074146053,254.69026721436427,0.9807462942156677
33.5,2.7291308366666103,1.1871248569017911,4.928477957870072,250.48060737152704,0.9804290429264212
33.75,2.516955012239437,0.981801774504591,4.714183573465284,246.3405270857975,0.9801066701897494
34.0,2.321269095373515,0.8105939885399605,4.507397410522723,242.26887630825277,0.9797790968493469
34.25,2.921355551316898,1.3942879580707164,5.1146715048917955,238.264523998607,0.9794462426423154
34.5,2.7292605780385513,1.1871248569048087,4.930293074544007,234.3263578110257,0.9791080261876209
34.75,2.517078154120435,0.981801774507082,4.715919032368583,230.45328378513395,0.9787643649745704
35.0,2.3213859831452393,0.810593988542017,4.509056707497011,226.6442260421315,0.978415175351314
35.25,2.921466511701983,1.3942879580724141,5.11625798236104,222.89812648593036,0.9780603725133796
35.5,2.7293659201439793,1.18712485690621,4.931809928247365,219.21394450923273,0.9776998704922472
35.75,2.5171781704204053,0.981801774508239,4.717369317797778,215.59065670446645,0.9773335821439677
36.0,2.321480950407188,0.8105939885429722,4.510443346051195,212.02725657949892,0.9769614191378378
36.25,2.9215566918591556,1.3942879580732024,5.117583767231553,208.52275427804892,0.9765832919451338
36.5,2.7294515611177523,1.1871248569068609,4.933077530044225,205.07617630472066,0.976199109827916
36.75,2.5172595068953765,0.9818017745087764,4.718581289929261,201.68656525458198,0.9758087808279103
37.0,2.3215582045618346,0.8105939885434157,4.51160212986732,198.35297954721227,0.9754122117554754
37.25,2.9216300740547063,1.3942879580735688,5.118691696941841,195.07449316514638,0.9750093081786648
37.5,2.729521270547762,1.1871248569071633,4.934136837419648,191.85019539664168,0.9745999744123937
37.75,2.517325732198314,0.9818017745090258,4.719594108797827,188.6791905826966,0.9741841135077177
38.0,2.3216211243988782,0.8105939885436216,4.5125705004123775,185.56059786825068,0.9737616272412365
38.25,2.921689857654793,1.3942879580737388,5.119617569811748,182.49355095749706,0.9733324161046294
38.5,2.7295780782218104,1.1871248569073038,4.935022077657082,179.47719787323905,0.972896379294336
