time_day,mean_eob,sem_eob,mean_targeted_effect,mean_mab_effect,mean_combo_effect
0.0,0.0,0.0,0.0,0.0,0.0
0.25,-1.2486793890714319e-07,6.110067646303051e-09,4.611896186748066e-06,0.00016682657481455364,0.00017131288091850604
0.5,-1.224710223323227e-06,6.025740760143367e-08,2.5441999246400558e-05,0.0006651927103998023,0.0006893940090906003
0.75,-4.2621144918939005e-06,2.117934900632765e-07,6.898405528174223e-05,0.0014863312311552068,0.0015509554981529906
1.0,-9.863718811108443e-06,4.979551113575437e-07,0.000143381667353506,0.0026211250727266044,0.0027542821689930472
1.25,-1.9031571547125614e-05,9.817848618169752e-07,0.0002619294901132063,0.004060180388965919,0.004302050575493348
1.5,-3.368444348062019e-05,1.7826478980940857e-06,0.0004440159087642015,0.005793879020517201,0.0062017124775057405
1.75,-5.4001597073519e-05,2.947997552591701e-06,0.0007036786355650171,0.007812428008799495,0.008456746405382179
2.0,-7.92196454489278e-05,4.495946739206949e-06,0.0010549562859838457,0.010105903368538704,0.011071214513361382
2.25,-0.00010910879382386999,6.493382111530194e-06,0.001514557128867131,0.012664287279735181,0.014050930037265043
2.5,-0.00014455396451054973,9.091758729241213e-06,0.0021027185448256503,0.015477499642931184,0.017403690912971465
2.75,-0.00018333048966442803,1.2319194468557373e-05,0.0028332023767672454,0.01853542597298711,0.02113361994293639
3.0,-0.0002220095903661453,1.617697920487963e-05,0.0037180428356084596,0.021827943747118352,0.02524400196547286
3.25,-0.0002581181993359007,2.0751609714442144e-05,0.004769964555596147,0.02534494858362713,0.029737523682894233
3.5,-0.0002907949540719698,2.6253588977244435e-05,0.006003476239942478,0.02907638065169067,0.03461668412770665
3.75,-0.00031533736542207683,3.273010717314804e-05,0.007426408633451953,0.03301225090193338,0.0398810322869669
4.0,-0.0003260031181073962,4.019798888809925e-05,0.009044262015539541,0.0371426664195773,0.04552870709514232
4.25,-0.00031869065997823526,4.878166854743181e-05,0.010862412841013094,0.04145785416995627,0.05155595470204251
4.5,-0.00029161403592667943,5.875201068429173e-05,0.012887378390349773,0.0459481825529858,0.057957694737808894
4.75,-0.00023883120273085958,7.015606897529666e-05,0.015119794237775295,0.05060418017835988,0.06472730736115712
5.0,-0.00015369724184784758,8.299020779776268e-05,0.017558257849974876,0.0554165512832574,0.0718569816255203
5.25,-3.1894693308975595e-05,9.737101479369044e-05,0.02020119002849319,0.06037618717945941,0.07933652034428686
5.5,0.0001279331824803831,0.00011357799217143557,0.023048133798210753,0.06547417328547818,0.08715395301462775
5.75,0.0003315037054596429,0.00013160507162396864,0.026094015758025817,0.07070179159562218,0.09529749353085902
6.0,0.0005849789887545618,0.00015138290706147065,0.029332356036367805,0.07605051895214332,0.10375473783040905
6.25,0.0008917049990632492,0.0001729852023357726,0.03275668417747659,0.08151202201764615,0.11251076653659274
6.5,0.0012516425052415505,0.00019667488725486334,0.036361785975111555,0.08707815027896765,0.12154872923728782
6.75,0.0016693600238009997,0.0002223874185558077,0.040139106861461674,0.0927409286161314,0.13085362012040158
7.0,0.0021497686267991476,0.00025000168445311584,0.04407929019495964,0.09849255092938616,0.14041041951805588
7.25,0.0026946920147707916,0.0002795738691145028,0.04817314710984962,0.1043253760647647,0.15020157936363354
7.5,0.0033023456721136134,0.0003113793288428539,0.05241284048185574,0.11023192689369896,0.1602075672037161
7.75,0.0039758067321375296,0.00034534075284813065,0.05678831067229942,0.11620489297127974,0.1704121319119746
