regimen,dose_mg,daily_dose_mg,coverage_24h_pct,cmax_ss_mg_l,ctrough_ss_mg_l,feasible,status
QD,10.0,10.0,0.0,0.10815718266549658,0.06914352427693933,False,converged
QD,10.452571119524391,10.452571119524391,0.0,0.11305206438984935,0.07227276049592697,False,converged
QD,10.925624300871537,10.925624300871538,0.0,0.1181684743243951,0.07554361690880294,False,converged
QD,11.420086503006369,11.420086503006369,0.0,0.12351643819614318,0.0789625028365368,False,converged
QD,11.936926636379466,11.936926636379466,0.0,0.12910643546755254,0.08253611766745474,False,converged
QD,12.477157461530144,12.477157461530146,0.0,0.13494941987128795,0.08627146398485043,False,converged
QD,13.041837573614824,13.041837573614822,0.0,0.14105684087431952,0.09017586128871362,False,converged
QD,13.632073476749436,13.632073476749435,0.0,0.147440666113426,0.09425696033846455,False,converged
QD,14.249021752230561,14.249021752230561,0.0,0.15411340484606348,0.09852275814479905,False,converged
QD,14.893891324883999,14.893891324884,0.0,0.16108813246255335,0.1029816136400213,False,converged
QD,15.567945831981735,15.567945831981737,0.0,0.16837851610762045,0.10764226405757056,False,converged
QD,16.272506099369238,16.272506099369238,0.0,0.1759988414614886,0.11251384205283803,False,converged
QD,17.00895272965514,17.00895272965514,0.0,0.18396404073301073,0.11760589359882237,False,converged
QD,17.778728807534897,17.778728807534897,0.0,0.1922897219196878,0.12292839669169099,False,converged
QD,17.97979797979798,17.97979797979798,0.0,0.19446442943897363,0.12431865981106265,False,converged
QD,18.583342727549557,18.583342727549557,0.0,0.2009921993919105,0.12849178090290067,False,converged
QD,19.42437114982081,19.42437114982081,0.0,0.21008852586135712,0.1343069478161915,False,converged
QD,20.303462089553978,20.303462089553978,0.0,0.21959652579618744,0.1403852923894993,False,converged
QD,21.222338146363025,21.222338146363025,1.7411537533971735,0.2295348303485122,0.14673872528364676,False,converged
QD,22.0,22.0,3.2620319846291594,0.23794580186409248,0.15211575340926653,False,converged
QD,22.182799879745495,22.1827998797455,3.591756911551718,0.2399229138625789,0.15337969620156697,False,converged
QD,23.18672933732169,23.18672933732169,5.494698365937311,0.250781132035213,0.1603212182837924,False,converged
QD,24.23609374275176,24.23609374275176,8.049199224539851,0.26213076180329004,0.16757689360801337,False,converged
QD,25.332949350557282,25.332949350557282,12.500193957288971,0.2739940430363997,0.1751609398426732,False,converged
QD,25.95959595959596,25.95959595959596,17.13598614012134,0.2807716762124507,0.17949379534518595,False,converged
QD,26.479445475400922,26.479445475400922,22.879996834320153,0.2863942221163994,0.18308821810682752,False,converged
QD,27.677828703719648,27.677828703719644,38.97967282265186,0.299355597489253,0.19137426209086078,False,converged
QD,28.0,28.0,43.333576813276956,0.3028401114633904,0.19360186797543014,False,converged
QD,28.93044729596432,28.930447295964324,55.65023072333279,0.31290356727841345,0.2000353084951223,False,converged
QD,30.0,30.0,69.33100954683621,0.32447154799648975,0.207430572830818,False,converged
QD,30.239755788071914,30.239755788071914,72.33077532491555,0.32706467905305014,0.20908832884612671,False,converged
QD,31.0,31.0,81.68839254630913,0.3352872662630394,0.21434492525851195,False,converged
QD,31.608319801187104,31.608319801187104,89.01382164715973,0.3418666818486426,0.21855106275266428,False,converged
QD,32.0,32.0,93.65827261842695,0.34610298452958904,0.22125927768620587,True,converged
QD,33.0,33.0,100.0,0.3569187027961387,0.2281736301138998,True,converged
QD,33.03882106905794,33.03882106905794,100.0,0.3573385805418756,0.22844205266698625,True,converged
QD,33.93939393939394,33.93939393939394,100.0,0.36707892298592776,0.23466893087930926,True,converged
QD,34.0,34.0,100.0,0.36773442106268833,0.23508798254159374,True,converged
QD,34.5340626929569,34.5340626929569,100.0,0.37351069268638504,0.23878068021918106,True,converged
QD,36.0969746344246,36.0969746344246,100.0,0.39041470792072575,0.24958720419594005,True,converged
QD,37.73061945659911,37.73061945659911,100.0,0.4080837500649729,0.260882800238132,True,converged
QD,39.438198325381286,39.438198325381286,100.0,0.4265524420276345,0.2726896023349749,True,converged
QD,41.22305728219556,41.22305728219556,100.0,0.44585697365006544,0.28503074619611496,True,converged
QD,41.91919191919192,41.91919191919192,100.0,0.4533861697594048,0.2898440664134326,True,converged
QD,43.08869380063769,43.08869380063769,100.0,0.4660351726213221,0.29793041458659975,True,converged
QD,45.03876363985752,45.03876363985753,100.0,0.48712657860241954,0.3114138847135821,True,converged
QD,47.077088008105996,47.077088008105996,100.0,0.5091725207052379,0.32550757775760863,True,converged
QD,49.20766105048367,49.20766105048367,100.0,0.5322161984779004,0.340239110645552,True,converged
QD,49.8989898989899,49.8989898989899,100.0,0.5396934165328819,0.3450192019475559,True,converged
QD,51.43465767556309,51.434657675563095,100.0,0.5563027665553162,0.35563735016663606,True,converged
QD,53.762441736221426,53.762441736221426,100.0,0.5814794231407617,0.37173246953759626,True,converged
QD,56.19557458071408,56.19557458071407,100.0,0.6077955024918829,0.3885560075278159,True,converged
QD,57.87878787878788,57.87878787878788,100.0,0.6260006633063591,0.4001943374816792,True,converged
QD,58.7388239907451,58.7388239907451,100.0,0.635302571592347,0.406140930260295,True,converged
QD,59.0,59.0,100.0,0.6381273777264298,0.40794679323394206,True,converged
QD,61.39717352404887,61.39717352404887,100.0,0.6640545311985744,0.424521695809553,True,converged
QD,64.17583227979007,64.17583227979007,100.0,0.6941077214595527,0.44373432172304517,True,converged
QD,65.85858585858585,65.85858585858585,100.0,0.712307910079836,0.45536947301580244,True,converged
QD,67.08024510591748,67.08024510591748,100.0,0.7255210323167,0.4638164555984047,True,converged
QD,70.11610326847304,70.11610326847304,100.0,0.758356018900106,0.4848074488548051,True,converged
QD,73.2893556037631,73.2893556037631,100.0,0.7926770221472741,0.5067484338430034,True,converged
QD,73.83838383838383,73.83838383838383,100.0,0.7986151568533131,0.5105446085499258,True,converged
QD,76.60622017524473,76.60622017524473,100.0,0.8285512948807193,0.5296824044451593,True,converged
QD,80.07319645796898,80.07319645796898,100.0,0.8660491335914744,0.5536543003223711,True,converged
QD,81.81818181818183,81.81818181818183,100.0,0.8849224036267903,0.5657197440840491,True,converged
QD,83.69707807445693,83.69707807445693,100.0,0.9052440161867366,0.5787110949750099,True,converged
QD,87.48496610696465,87.48496610696465,100.0,0.9462127459715752,0.6049018877884125,True,converged
QD,89.7979797979798,89.7979797979798,100.0,0.9712296504002673,0.6208948796181725,True,converged
QD,91.4442830122229,91.4442830122229,100.0,0.9890356021468357,0.6322780002442945,True,converged
QD,95.58278716591758,95.58278716591758,100.0,1.033796497118143,0.6608930764864148,True,converged
QD,97.77777777777779,97.77777777777779,100.0,1.0575368971737444,0.6760700151522958,True,converged
QD,99.90858806541166,99.90858806541166,100.0,1.0805831409242581,0.6908031884375523,True,converged
QD,104.43016222049812,104.43016222049812,100.0,1.1294872131069855,0.7220669456737725,True,converged
QD,105.75757575757576,105.75757575757576,100.0,1.1438441439472213,0.731245150686419,True,converged
QD,108.0,108.0,100.0,1.168097572787363,0.7467500621909449,True,converged
QD,109.15636976332269,109.15636976332269,100.0,1.1806045423594178,0.754745610271287,True,converged
QD,113.73737373737374,113.73737373737374,100.0,1.2301513907206985,0.7864202862205424,True,converged
QD,114.09647181002322,114.09647181002322,100.0,1.2340352943045363,0.7889032168509464,True,converged
QD,119.26014860810776,119.26014860810774,100.0,1.2898841677721378,0.8246066980556092,True,converged
QD,121.71717171717172,121.71717171717172,100.0,1.3164586374941756,0.8415954217546657,True,converged
QD,124.6575185051294,124.6575185051294,100.0,1.34826059995868,0.8619260157062429,True,converged
QD,129.6969696969697,129.6969696969697,100.0,1.4027658842676525,0.8967705572887888,True,converged
QD,130.2991577758293,130.2991577758293,100.0,1.4092789808720727,0.9009342978937801,True,converged
QD,136.19612134659852,136.19612134659852,100.0,1.4730588774816193,0.941707982275351,True,converged
QD,137.67676767676767,137.67676767676767,100.0,1.4890731310411296,0.9519456928229122,True,converged
QD,142.3599644578695,142.3599644578695,100.0,1.5397252680123392,0.984326965855692,True,converged
QD,145.65656565656568,145.65656565656568,100.0,1.575380377814607,1.0071208283570356,True,converged
QD,148.80276530688454,148.80276530688454,100.0,1.6094087868427727,1.0288747615472278,True,converged
QD,153.63636363636365,153.63636363636365,100.0,1.661687624588084,1.062295963891159,True,converged
QD,155.53714871521072,155.53714871521072,100.0,1.6822459804861551,1.0754386618156095,True,converged
QD,161.61616161616163,161.61616161616163,100.0,1.747994871361561,1.1174710994252823,True,converged
QD,162.5763108673782,162.5763108673782,100.0,1.758379575156558,1.12410990973138,True,converged
QD,169.5959595959596,169.5959595959596,100.0,1.834302118135038,1.1726462349594056,True,converged
QD,169.93404516911767,169.93404516911767,100.0,1.8379587564443005,1.1749838777629393,True,converged
QD,177.5757575757576,177.5757575757576,100.0,1.9206093649085152,1.227821370493529,True,converged
QD,177.62476927586724,177.62476927586724,100.0,1.9211394616486657,1.2281602546611674,True,converged
QD,185.55555555555557,185.55555555555557,100.0,2.006916611681992,1.2829965060276523,True,converged
