scenario,time_h,radius_um,extracellular_nm,neighbor_intracellular_nm,hypothetical_neighbor_survival,neighbor_cell_volume_um3
High permeability,0.5,8.75,0.0017932211800331134,0.0,1.0,0.0
High permeability,0.5,11.25,0.0016798545896907593,0.0,1.0,0.0
High permeability,0.5,13.75,0.001521018754333352,0.0,1.0,0.0
High permeability,0.5,16.25,0.001303029681731505,0.0,1.0,0.0
High permeability,0.5,18.75,0.001006946303155109,0.0,1.0,0.0
High permeability,0.5,21.25,0.0006068444046553275,1.7011337738127023e-05,0.9999999976395163,9941.831751672698
High permeability,0.5,23.75,0.0003700128311077625,1.0279936558057543e-05,0.9999999985837271,12415.83596637466
High permeability,0.5,26.25,0.00022765759989306099,6.271299946742797e-06,0.9999999991418933,15164.729538265727
High permeability,0.5,28.75,0.00014107493815066884,3.8548138765202085e-06,0.9999999994759899,18188.512467345903
High permeability,0.5,31.25,8.79242670226944e-05,2.3839927434919402e-06,0.9999999996779588,21487.184753615187
High permeability,0.5,33.75,5.5054698265643235e-05,1.481790451681375e-06,0.999999999801036,25060.746397073577
High permeability,0.5,36.25,3.460563339630551e-05,9.248664549329926e-07,0.9999999998765327,28909.197397721073
High permeability,0.5,38.75,2.1821385866278315e-05,5.792802857889797e-07,0.9999999999230965,33032.53775555768
High permeability,0.5,41.25,1.3796667489676192e-05,3.6389887126353043e-07,0.9999999999519475,37430.767470583385
High permeability,0.5,43.75,8.742565338414392e-06,2.291730667370878e-07,0.9999999999698933,42103.8865427982
High permeability,0.5,46.25,5.550425432898198e-06,1.4463720770199916e-07,0.9999999999810928,47051.89497220213
High permeability,0.5,48.75,3.529493525312654e-06,9.145331571225736e-08,0.9999999999881021,52274.79275879515
High permeability,0.5,51.25,2.2474705926826456e-06,5.7917858729918556e-08,0.9999999999924996,57772.579902577294
High permeability,0.5,53.75,1.4327967024342424e-06,3.6730504186234296e-08,0.9999999999952645,63545.25640354854
High permeability,0.5,56.25,9.143467912396043e-07,2.332191794001346e-08,0.9999999999970061,69592.82226170889
High permeability,0.5,58.75,5.839975598980075e-07,1.4823734888008727e-08,0.9999999999981048,75915.27747705833
High permeability,0.5,61.25,3.7327749286942725e-07,9.430820125607277e-09,0.9999999999987992,82512.6220495969
High permeability,0.5,63.75,2.3874141128220805e-07,6.0046820891850745e-09,0.9999999999992384,89384.85597932458
High permeability,0.5,66.25,1.5277759633177802e-07,3.825922621154924e-09,0.9999999999995165,96531.97926624135
High permeability,0.5,68.75,9.781233388243785e-08,2.4392166456205753e-09,0.9999999999996929,103953.99191034725
High permeability,0.5,71.25,6.264697987790291e-08,1.555964685117351e-09,0.9999999999998048,111650.89391164223
High permeability,0.5,73.75,4.013779932238533e-08,9.93014122270379e-10,0.9999999999998759,119622.68527012634
High permeability,0.5,76.25,2.5723582286870705e-08,6.340040783869013e-10,0.999999999999921,127869.36598579954
High permeability,0.5,78.75,1.648975353790384e-08,4.0493675259610764e-10,0.9999999999999497,136390.93605866184
High permeability,0.5,81.25,1.0572664447286766e-08,2.5871464083213203e-10,0.9999999999999679,145187.3954887133
High permeability,0.5,83.75,6.7799597171675725e-09,1.6533921222453893e-10,0.9999999999999796,154258.7442759538
High permeability,0.5,86.25,4.348392761375298e-09,1.0569053427557938e-10,0.999999999999987,163604.98242038343
