KD_apical_nM,time_h,plasma_antibody_nmol,surface_receptor_nmol,surface_complex_nmol,endosomal_receptor_nmol,endosomal_complex_nmol,endosomal_free_antibody_nmol,brain_free_antibody_nmol,systemic_cleared_nmol,lysosomal_degraded_nmol,brain_cleared_nmol
0.1,0.0,300.0,0.028124999999999997,0.0,0.0018750000000000017,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.25,297.7474249566662,0.017117922394504447,0.010599141975843763,0.001849005507629294,0.00043393012203069475,1.1548800394983266e-07,1.373459254749146e-09,2.2415388174344946,3.0369387618431633e-06,1.3277571615010427e-12
0.1,0.5,295.5160145653261,0.01050207763135406,0.01625386200316358,0.001798998404299608,0.0014450619612839054,1.1328768396036994e-06,2.6223320533201922e-08,4.466264187169475,2.116439030643182e-05,4.966232209262031e-11
0.1,0.75,293.30386752527954,0.006509345259895904,0.019002226119813375,0.0017525905648904164,0.0027358380556614763,4.422170387815835e-06,1.5198488696474308e-07,6.674327136120033,6.269984248843698e-05,4.27473292620034e-10
0.1,1.0,291.10980424651115,0.004090407271891135,0.020052908380649857,0.0017246627104649081,0.004132021637404701,1.1554984735618748e-05,5.306660429770271e-07,8.865867375055197,0.00013136077848496195,1.9867767936924226e-09
0.1,1.25,288.93307155369064,0.0026201206610169717,0.020124628527151446,0.001722452369201427,0.005532798443141917,2.3929628854014632e-05,1.3890029463383622e-06,11.041017505853457,0.00022818832412927395,6.530256488604316e-09
0.1,1.5,286.7731693622969,0.0017245875954136195,0.019645588927862005,0.0017485087192915436,0.006881314758011126,4.249932020358243e-05,3.0120357688820335e-06,13.199905512420091,0.0003526930923738161,1.7149490071184805e-08
0.1,1.75,284.629748558123,0.0011792686709829663,0.018871096093409714,0.0018024879596899486,0.008147147276540048,6.766018385853757e-05,5.717165418611854e-06,15.342656242434686,0.0005035402699385711,3.8453880069938375e-08
0.1,2.0,282.5025506043151,0.0008487332552059643,0.017953186334583676,0.0018823033980220946,0.009315777012841371,9.927584093612237e-05,9.826359864907607e-06,17.469392293490564,0.0006789599845460673,7.66623824087757e-08
0.1,2.25,280.39137169288784,0.0006509054412869595,0.016981991785160123,0.001984891735344955,0.010382211038882982,0.0001367835964622592,1.5642002370901297e-05,19.58023454640322,0.0008769927231791386,1.3956368114658096e-07
