id,name,turnover_half_life_h,turnover_mean_lifetime_h,occupancy_at_washout,effective_bound_mean_lifetime_h,recovery_half_of_initial_inhibition_h,noncovalent_intrinsic_residence_h,intrinsic_covalent_bond_lifetime_h,bond_lifetime_status
REV,Reversible noncovalent control,8.0,11.541560327111707,0.9889207445922592,1.239705182007926,0.8593892187145994,1.3888888888888888,,no chemical reversal
REV,Reversible noncovalent control,24.0,34.624680981335125,0.9897059429524677,1.335325402885411,0.9257472307138815,1.3888888888888888,,no chemical reversal
REV,Reversible noncovalent control,72.0,103.87404294400537,0.989967952898482,1.3705632322489871,0.9501284091168585,1.3888888888888888,,no chemical reversal
W01,Acrylamide,8.0,11.541560327111707,0.9991807351092185,11.452400865795333,7.912097148030693,0.002777777777777778,,no chemical reversal
W01,Acrylamide,24.0,34.624680981335125,0.9997253479814415,34.53503191223919,23.911371433416022,0.002777777777777778,,no chemical reversal
W01,Acrylamide,72.0,103.87404294400537,0.9999082740567498,103.78422934555276,71.92491997752771,0.002777777777777778,,no chemical reversal
W02,Dimethylaminomethyl acrylamide,8.0,11.541560327111707,0.9987821717389875,11.407691811880987,7.866797145447215,0.003472222222222222,,no chemical reversal
W02,Dimethylaminomethyl acrylamide,24.0,34.624680981335125,0.9995904377066245,34.48967430804348,23.865132042625245,0.003472222222222222,,no chemical reversal
W02,Dimethylaminomethyl acrylamide,72.0,103.87404294400537,0.9998629605526992,103.73853978705169,71.87922920073542,0.003472222222222222,,no chemical reversal
W03,Alpha-cyanoacrylamide,8.0,11.541560327111707,0.9963075645508233,1.328728010012287,0.9146664943334036,0.002314814814814815,1.3888888888888888,finite
W03,Alpha-cyanoacrylamide,24.0,34.624680981335125,0.9965903302415264,1.442758494755015,0.9936113482990779,0.002314814814814815,1.3888888888888888,finite
W03,Alpha-cyanoacrylamide,72.0,103.87404294400537,0.9966847709430056,1.4851779786901191,1.0231061455047428,0.002314814814814815,1.3888888888888888,finite
W04,Chloroacetamide,8.0,11.541560327111707,0.9994180819929327,11.527422904219172,7.98730931903273,0.001388888888888889,,no chemical reversal
W04,Chloroacetamide,24.0,34.624680981335125,0.9998057934848542,34.610529920636615,23.98806458824967,0.001388888888888889,,no chemical reversal
W04,Chloroacetamide,72.0,103.87404294400537,0.9999352384735877,103.8598873319293,72.00048991631672,0.001388888888888889,,no chemical reversal
W05,Vinyl sulfone,8.0,11.541560327111707,0.9976955828230977,11.507844057104617,7.967779410975186,0.000925925925925926,,no chemical reversal
W05,Vinyl sulfone,24.0,34.624680981335125,0.999229178931504,34.59089539667173,23.968152717405335,0.000925925925925926,,no chemical reversal
W05,Vinyl sulfone,72.0,103.87404294400537,0.9997427602423001,103.84023419263247,71.98087111720054,0.000925925925925926,,no chemical reversal
W06,Methacrylamide,8.0,11.541560327111707,0.8691303956183951,10.675829984324645,7.101061530851796,0.0006944444444444445,,no chemical reversal
W06,Methacrylamide,24.0,34.624680981335125,0.8907025223033047,32.5076617029627,21.818010605977864,0.0006944444444444445,,no chemical reversal
W06,Methacrylamide,72.0,103.87404294400537,0.8981998078356086,98.00747462617187,65.96967602857902,0.0006944444444444445,,no chemical reversal
W07,Beta-methyl cyanoacrylamide,8.0,11.541560327111707,0.9993782589700831,5.3689601777678915,3.708511799739914,0.00462962962962963,9.25925925925926,finite
W07,Beta-methyl cyanoacrylamide,24.0,34.624680981335125,0.9995714575549309,7.8285694319028964,5.414263410031672,0.00462962962962963,9.25925925925926,finite
W07,Beta-methyl cyanoacrylamide,72.0,103.87404294400537,0.9996360810762644,9.234187356315868,6.388218275336737,0.00462962962962963,9.25925925925926,finite
W08,Beta-isopropyl cyanoacrylamide,8.0,11.541560327111707,0.9997401056131717,9.624803338522378,6.645827292584891,0.00925925925925926,55.55555555555555,finite
W08,Beta-isopropyl cyanoacrylamide,24.0,34.624680981335125,0.9998852755968363,22.018335662221684,15.237551685411981,0.00925925925925926,55.55555555555555,finite
W08,Beta-isopropyl cyanoacrylamide,72.0,103.87404294400537,0.9999339875418898,38.39172364546786,26.58915744102564,0.00925925925925926,55.55555555555555,finite
