id,time_s,free_warhead_fraction,GSH_adduct_fraction,analytic_adduct_fraction
W01,0.0,1.0,0.0,0.0
W01,1.0,0.9998319197274834,0.00016808027251670184,0.00016808027358198755
W01,1.1116954762487845,0.9998131476750093,0.00018685232499079571,0.00018685232571931176
W01,1.2358668319120116,0.9997922792828785,0.00020772071712155078,0.00020772071746236396
W01,1.3739075662825004,0.9997690804970093,0.00023091950299082106,0.0002309195028948794
W01,1.5273668262202327,0.9997432911435521,0.00025670885644801854,0.00025670885587415174
W01,1.697966791281496,0.9997146220168585,0.0002853779831416138,0.0002853779820660669
W01,1.887622000688303,0.9996827516434691,0.00031724835653100725,0.000317248354962137
W01,2.0984608390328665,0.9996473226862361,0.0003526773137639159,0.0003526773117643626
W01,2.332849421838066,0.9996079379487587,0.00039206205124139707,0.0003920620489609983
W01,2.5934181490269705,0.9995641559359475,0.00043584406405254735,0.0004358440617765954
W01,2.883091224294779,0.9995154859199371,0.0004845140800629525,0.0004845140765063574
W01,3.205119471661076,0.9994613824649562,0.0005386175350438697,0.0005386175300851052
W01,3.5631168174825123,0.9994012393366549,0.0005987606633452396,0.0005987606571463784
W01,3.9611008473412745,0.99933438274172,0.0006656172582801077,0.000665617251353095
W01,4.403537892954522,0.9992600638180744,0.0007399361819257944,0.0007399361749879358
W01,4.895393155087645,0.999177450293034,0.0008225497069661738,0.0008225496987439831
W01,5.442186424970201,0.999085617227977,0.0009143827720231608,0.0009143827624234813
W01,6.050054029541918,0.9989835367320602,0.001016463267939927,0.0010164632569087337
W01,6.725817695702478,0.9988700665488975,0.001129933451102683,0.0011299334383922278
W01,7.477061106386469,0.9987439373880626,0.0012560626119376157,0.001256062597524876
W01,8.312215007605568,0.998603738865028,0.0013962611349722152,0.0013962611189467522
W01,9.240651821562366,0.998447903901941,0.001552096098059117,0.0015520960806907084
W01,10.272790827620973,0.9982746914235543,0.001725308576445922,0.001725308558283153
W01,11.420215091516242,0.9980821671662029,0.0019178328337972907,0.0019178328150937622
W01,12.695801455026709,0.9978681824018666,0.002131817598133601,0.002131817578688313
W01,14.113865044905925,0.9976303503575871,0.0023696496424131202,0.0023696496226893508
W01,15.690319922807761,0.9973660200856512,0.0026339799143489306,0.0026339798950083455
W01,17.442857679081563,0.997072247524698,0.0029277524753020443,0.0029277524563213427
W01,19.391145974686353,0.9967457634641816,0.0032542365358184614,0.0032542365173318663
W01,21.55704925933864,0.996382938092355,0.0036170619076449926,0.003617061889676271
W01,23.964874142878973,0.9959797417892873,0.0040202582107127915,0.004020258193204195
W01,26.641642173510032,0.9955317017932312,0.004468298206768863,0.004468298191669462
W01,29.61739308412993,0.995033854331104,0.0049661456688960635,0.004966145659367665
W01,32.92552190990927,0.9944806917843382,0.005519308215661905,0.005519308212615715
W01,36.603153760376394,0.9938661044319134,0.006133895568086708,0.006133895571702544
W01,40.691560451849114,0.9931833162585649,0.006816683741435178,0.006816683750382834
W01,45.236623675824596,0.9924248143098955,0.007575185690104599,0.0075751857002406935
W01,50.28934990118288,0.9915822710537004,0.008417728946299642,0.008417728965132303
W01,55.90644278863726,0.9906464591045154,0.009353540895484671,0.009353540924880338
W01,62.1509395412895,0.9896071578101687,0.010392842189831365,0.010392842225446808
W01,69.09291833266323,0.988453051034758,0.01154694896524205,0.011546949002411731
W01,76.81028475124846,0.9871716155453433,0.012828384454656797,0.012828384502514868
W01,85.38964608734389,0.9857489993604502,0.014251000639549864,0.014251000690233006
W01,94.9272832737849,0.9841698896649829,0.015830110335017175,0.01583011038782228
W01,105.53023138805361,0.9824173696273331,0.01758263037266704,0.01758263043170134
W01,117.31748084158667,0.980472763832086,0.019527236167913985,0.0195272362277888
W01,130.4213127364953,0.97831547211193,0.021684527888069974,0.02168452794401559
W01,144.9887833755898,0.9759227916731325,0.02407720832686762,0.024077208378256332
W01,161.1833745854583,0.9732697277784422,0.026730272221557834,0.026730272270536145
W01,179.18682837316726,0.9703287935660072,0.02967120643399278,0.02967120647299637
W01,199.20118650581733,0.9670698001029888,0.03293019989701124,0.03293019993004563
W01,218.1818181818182,0.9639892441742614,0.0360107558257386,0.036010755856100515
W01,221.45105790190752,0.9634596381984213,0.036540361801578644,0.036540361831174664
W01,246.18613928005817,0.9594620544740214,0.04053794552597852,0.04053794555303626
