id,turnover_half_life_h,time_since_washout_h,free_active_fraction,EI_fraction,covalent_fraction,inhibited_fraction
REV,8.0,-2.0,1.0,0.0,0.0,0.0
REV,8.0,-1.98,0.2416324117103437,0.7583675882896618,0.0,0.7583675882896618
REV,8.0,-1.96,0.06482953230467853,0.9351704676953306,0.0,0.9351704676953306
REV,8.0,-1.94,0.023610389213600036,0.9763896107864101,0.0,0.9763896107864101
REV,8.0,-1.92,0.014000716611916526,0.9859992833880941,0.0,0.9859992833880941
REV,8.0,-1.9,0.011760354370448046,0.9882396456295632,0.0,0.9882396456295632
REV,8.0,-1.88,0.011238044796486156,0.9887619552035256,0.0,0.9887619552035256
REV,8.0,-1.86,0.011116275384858708,0.9888837246151534,0.0,0.9888837246151534
REV,8.0,-1.84,0.01108788644499232,0.9889121135550203,0.0,0.9889121135550203
REV,8.0,-1.82,0.011081267841792876,0.9889187321582205,0.0,0.9889187321582205
REV,8.0,-1.8,0.011079724744284182,0.9889202752557298,0.0,0.9889202752557298
REV,8.0,-1.78,0.011079364965634992,0.9889206350343798,0.0,0.9889206350343798
REV,8.0,-1.76,0.011079281074084497,0.9889207189259309,0.0,0.9889207189259309
REV,8.0,-1.74,0.011079261431004609,0.9889207385690116,0.0,0.9889207385690116
REV,8.0,-1.72,0.011079256909221525,0.9889207430907957,0.0,0.9889207430907957
REV,8.0,-1.7,0.011079255770356159,0.9889207442296625,0.0,0.9889207442296625
REV,8.0,-1.68,0.01107925550284231,0.9889207444971758,0.0,0.9889207444971758
REV,8.0,-1.66,0.01107925542476529,0.9889207445752525,0.0,0.9889207445752525
REV,8.0,-1.64,0.011079255403314692,0.9889207445967028,0.0,0.9889207445967028
REV,8.0,-1.62,0.01107925540883982,0.9889207445911772,0.0,0.9889207445911772
REV,8.0,-1.6,0.011079255442955807,0.9889207445570617,0.0,0.9889207445570617
REV,8.0,-1.58,0.011079255460938752,0.9889207445390804,0.0,0.9889207445390804
REV,8.0,-1.56,0.011079255438004596,0.9889207445620178,0.0,0.9889207445620178
REV,8.0,-1.54,0.011079255442868441,0.9889207445571586,0.0,0.9889207445571586
REV,8.0,-1.52,0.011079255433654598,0.988920744566379,0.0,0.988920744566379
REV,8.0,-1.5,0.011079255409932898,0.9889207445901089,0.0,0.9889207445901089
REV,8.0,-1.48,0.011079255400964824,0.988920744599084,0.0,0.988920744599084
REV,8.0,-1.46,0.0110792553963228,0.9889207446037321,0.0,0.9889207446037321
REV,8.0,-1.44,0.011079255396554844,0.9889207446035049,0.0,0.9889207446035049
REV,8.0,-1.42,0.011079255397396195,0.9889207446026667,0.0,0.9889207446026667
