id,concentration_M,time_s,E_fraction,EI_fraction,covalent_fraction
W01,1e-09,0.0,1.0,0.0,0.0
W01,1e-09,0.009618053084956106,0.9999903866234177,9.613237676324847e-06,1.389060032586828e-10
W01,1e-09,0.010695924714601969,0.9999893098568736,1.0689971396027785e-05,1.7173032310820086e-10
W01,1e-09,0.011894590775275939,0.9999881125573794,1.1887230299178016e-05,2.1232139844840806e-10
W01,1e-09,0.013227588402724135,0.9999867812496805,1.3218487802161883e-05,2.6251728730351343e-10
W01,1e-09,0.014709971806308142,0.9999853009560278,1.4698719383111575e-05,3.245890807360951e-10
W01,1e-09,0.01635848228372587,0.9999836550297714,1.6344568880524798e-05,4.013481013538533e-10
W01,1e-09,0.018191737288865303,0.9999818249703364,1.8174533397538865e-05,4.962660031285232e-10
W01,1e-09,0.020230440688029178,0.9999797902145191,2.020917196007512e-05,6.13520838918026e-10
W01,1e-09,0.022497616579059243,0.9999775279202864,2.2471321193038623e-05,7.585205055960197e-10
W01,1e-09,0.025018869313996606,0.9999750127043442,2.4986357824721792e-05,9.378310682255126e-10
W01,1e-09,0.027822672661844048,0.9999722163663004,2.778247412694244e-05,1.1595726321775185e-09
W01,1e-09,0.030940691377090313,0.9999691075794803,3.089098673246146e-05,1.4337871632460755e-09
W01,1e-09,0.03440813880563049,0.9999656515486348,3.434667847173074e-05,1.772893367288746e-09
W01,1e-09,0.03826417456670522,0.9999618096311975,3.81881765532408e-05,2.1922492357261456e-09
W01,1e-09,0.04255234680207987,0.999957538918457,4.245837069525293e-05,2.710847740617055e-09
W01,1e-09,0.04732108398700494,0.9999527917727119,4.7204875110917586e-05,3.352177194855234e-09
W01,1e-09,0.052624241857225244,0.9999475153052529,5.248054978601379e-05,4.144961044325381e-09
W01,1e-09,0.05852171162875793,0.9999416508301137,5.834404488760337e-05,5.124998717917632e-09
W01,1e-09,0.06508009637937007,0.9999351332421875,6.486042102811878e-05,6.33678439482354e-09
W01,1e-09,0.07237346323047031,0.9999278903202523,7.210184460103589e-05,7.83514669453416e-09
W01,1e-09,0.0804841798241808,0.9999198419512212,8.014836172656699e-05,9.687052274843475e-09
W01,1e-09,0.0895038445423441,0.9999108993617245,8.908866186315881e-05,1.1976412294552615e-08
W01,1e-09,0.09953432097289361,0.9999009641700307,9.902102332124199e-05,1.4806648007707942e-08
W01,1e-09,0.11068888830633401,0.9998899273662081,0.0001100543292234509,1.830456849914054e-08
W01,1e-09,0.12309352065433496,0.9998776682841343,0.00012230908802936724,2.262783634325536e-08
W01,1e-09,0.13688830973842323,0.9998640533803497,0.0001359186486966964,2.7970953632645343e-08
W01,1e-09,0.15222904701590884,0.999848934940847,0.00015103048530939984,3.4573843550129346e-08
W01,1e-09,0.1692889831107846,0.9998321496909688,0.00016780757621079865,4.273282047735964e-08
W01,1e-09,0.18826078441973368,0.999813517277875,0.00018642990849331432,5.2813631640778264e-08
W01,1e-09,0.20935870899017522,0.9997928386390705,0.00020709609330216437,6.526762732734066e-08
W01,1e-09,0.23282102624362824,0.9997698942556631,0.00023002509258672309,8.065175021353603e-08
W01,1e-09,0.25891270787154125,0.9997444422814105,0.00025545806569997147,9.965288966174075e-08
W01,1e-09,0.2879284202932194,0.9997162165629422,0.0002836603190970217,1.2311796080324684e-07
W01,1e-09,0.3201958524711764,0.9996849245611849,0.0003149233478052562,1.5209100998663175e-07
W01,1e-09,0.35607941666659354,0.9996502451874069,0.0003495669537317645,1.8785886142976635e-07
W01,1e-09,0.3959843639293709,0.9996118265338594,0.0003879414601894959,2.320059511727506e-07
W01,1e-09,0.4403613608010594,0.9995692836265034,0.00043042988998011176,2.8648351651164306e-07
W01,1e-09,0.48971157891766826,0.9995221961359512,0.00047745017127107055,3.536927778420605e-07
W01,1e-09,0.544592354991784,0.9994701061442335,0.0005294572690468542,4.3658671974568067e-07
W01,1e-09,0.6056234850950082,0.9994125160631881,0.000586945141596717,5.387952151979838e-07
W01,1e-09,0.6734942243251959,0.9993488867516046,0.0006504484713918798,6.647770035838527e-07
W01,1e-09,0.7489710709092452,0.9992786359541881,0.0007205440412866162,8.200045253454937e-07
W01,1e-09,0.8329064226511969,0.9992011372307541,0.0007978515800199056,1.0111892261119594e-06
W01,1e-09,0.9262482034872553,0.9991157194937328,0.0008830339525274427,1.2465537398419578e-06
W01,1e-09,1.0300505688652288,0.9990216674245088,0.0009767964132767703,1.5361622145099114e-06
W01,1e-09,1.1454858108495973,0.9989182229646161,0.001079884717192709,1.8923181912919512e-06
W01,1e-09,1.2738575974025201,0.9988045882058111,0.0011930817505364818,2.3300436525692054e-06
W01,1e-09,1.416615695358608,0.9986799299951856,0.001317202351747739,2.8676530667087128e-06
W01,1e-09,1.5753723433673827,0.9985433867536706,0.0014530858041629162,3.5274421665481724e-06
W01,1e-09,1.7519204597112583,0.9983940777592769,0.00160158573631217,4.336504411023022e-06
W01,1e-09,1.9482538906290519,0.9982311155380967,0.0017635567615740325,5.32770032930114e-06
W01,1e-09,2.1665899278194525,0.9980536216469572,0.0019398375580853195,6.540794957609915e-06
W01,1e-09,2.4093943494259196,0.9978607467574212,0.0021312294446493964,8.023797929414795e-06
W01,1e-09,2.6794092673033556,0.9976516951920893,0.0023384702888333045,9.834519077401302e-06
W01,1e-09,2.9796840950596915,0.997425754500255,0.0025622031334472427,1.2042366297803488e-05
W01,1e-09,3.3136099866099666,0.9971823303255909,0.0028029392708776185,1.4730403531363118e-05
W01,1e-09,3.6849581341747384,0.9969209866186067,0.0030610156994643097,1.7997681928938438e-05
W01,1e-09,4.097922358241279,0.9966414909907315,0.0033365471583193616,2.1961850949107774e-05
W01,1e-09,4.557166470477315,0.99634386454976,0.0036293734062624837,2.6762043977532223e-05
W01,1e-09,5.0678769444903855,0.9960284349827007,0.003939002999704978,3.256201759433318e-05
W01,1e-09,5.635821489270102,0.9956958907565976,0.004264555744635898,3.9553498766474586e-05
W01,1e-09,6.267414186812429,0.995347333487221,0.004604706840969849,4.795967180909277e-05
W01,1e-09,6.969787929557885,0.9949843245866894,0.0049576367020800005,5.803871123070006e-05
W01,1e-09,7.750874975715823,0.9946089211228072,0.005320991643220903,7.00872339720077e-05
W01,1e-09,8.619496532226421,0.9942236947789976,0.005691861704803723,8.444351619873606e-05
W01,1e-09,9.585462377065605,0.9938317267350432,0.00606678297394138,0.00010149029101566871
W01,1e-09,10.659681645977443,0.9934365712043084,0.006441771851453336,0.00012165694423847233
W01,1e-09,11.854286034804042,0.9930421806881612,0.006812398373183783,0.00014542093865517401
W01,1e-09,13.182766808798513,0.9926527872596191,0.0071739044019611805,0.00017330833841976238
W01,1e-09,14.660127166235746,0.992272737000645,0.007521369606107124,0.0002058933932480574
W01,1e-09,16.303051677039488,0.9919062792105275,0.007849923508945117,0.0002437972805275416
W01,1e-09,18.13009470998106,0.9915573183017097,0.00815499540221112,0.0002876862960795324
