id,initial_drug_M,time_s,E_free_M,EI_M,covalent_M,free_drug_M,GSH_adduct_M,cleared_drug_M
W01,1e-09,1440.0,9.710553460703998e-09,3.705107733878957e-11,2.523954619565411e-10,3.90720928635496e-10,1.4907597828513664e-10,1.707565537833656e-10
W01,1e-09,1530.0,9.702753270655568e-09,3.51116856041898e-11,2.621350437395707e-10,3.7056897764034767e-10,1.548332126564101e-10,1.773510803588107e-10
W01,1e-09,1620.0,9.695359373888577e-09,3.3275563236819093e-11,2.7136506287393164e-10,3.5146031292612513e-10,1.6029354053744936e-10,1.8360552042500374e-10
W01,1e-09,1710.0,9.688350335923987e-09,3.153703588304357e-11,2.801126281922966e-10,3.3334052898015045e-10,1.6547232993682756e-10,1.8953747700701078e-10
W01,1e-09,1800.0,9.681705879919278e-09,2.989075830996344e-11,2.884033617700858e-10,3.161580963209526e-10,1.703841479084196e-10,1.951636356899076e-10
W01,1e-09,1890.0,9.675406821936151e-09,2.8331693749283288e-11,2.9626148431389175e-10,2.998642065299991e-10,1.7504280261096304e-10,2.004998127951918e-10
W01,1e-09,1980.0,9.669435009479526e-09,2.6855094483465448e-11,3.0370989603633424e-10,2.8441262467156325e-10,1.7946138344873049e-10,2.055610013592356e-10
W01,1e-09,2070.0,9.663773263836681e-09,2.5456483922252216e-11,3.107702522403934e-10,2.6975955038721174e-10,1.8365229894018065e-10,2.1036141450929108e-10
W01,1e-09,2160.0,9.658405325794555e-09,2.413163986359177e-11,3.1746303434118066e-10,2.5586348665228924e-10,1.87627312589886e-10,2.149145265523814e-10
W01,1e-09,2250.0,9.653315804718659e-09,2.287657892850478e-11,3.238076163521631e-10,2.4268511618768755e-10,1.9139757675914891e-10,2.1923311177182465e-10
W01,1e-09,2340.0,9.648490130624712e-09,2.168754206350827e-11,3.2982232731110667e-10,2.301871847645946e-10,1.9497366471868382e-10,2.2332928114143562e-10
W01,1e-09,2430.0,9.643914508898026e-09,2.056098099027806e-11,3.3552451011102374e-10,2.1833439066428905e-10,1.9836560106652987e-10,2.2721451716720828e-10
W01,1e-09,2520.0,9.639575877765674e-09,1.9493545578486512e-11,3.409305766551662e-10,2.070932805130312e-10,2.0158289045757842e-10,2.3089970679506674e-10
W01,1e-09,2610.0,9.635461868239118e-09,1.848207205179596e-11,3.4605605970841317e-10,1.9643215088282218e-10,2.0463454479708526e-10,2.343951725592126e-10
W01,1e-09,2700.0,9.63156076632998e-09,1.7523571965303494e-11,3.5091566170404347e-10,1.8632095523732254e-10,2.0752910900230577e-10,2.377107020903538e-10
W01,1e-09,2790.0,9.62786147742254e-09,1.661522189642378e-11,3.555233006803645e-10,1.767312159633346e-10,2.1027468539897108e-10,2.408555760602351e-10
W01,1e-09,2880.0,9.624353492679414e-09,1.5754353793213707e-11,3.5989215352670005e-10,1.6763594120913267e-10,2.1287895682494842e-10,2.438385946453342e-10
W01,1e-09,2970.0,9.621026857292658e-09,1.4938445934255795e-11,3.6403469677241376e-10,1.5900954612727472e-10,2.153492085411005e-10,2.4666810262428416e-10
W01,1e-09,3060.0,9.617872140631619e-09,1.4165114478881615e-11,3.679627448888275e-10,1.508277786259362e-10,2.1769234892478788e-10,2.4935201308089585e-10
W01,1e-09,3150.0,9.6148804080583e-09,1.3432105542058092e-11,3.7168748639896957e-10,1.4306764911528562e-10,2.199149290784927e-10,2.51897829864523e-10
W01,1e-09,3240.0,9.612043194283046e-09,1.2737287758378916e-11,3.7521951795790257e-10,1.3570736396910518e-10,2.2202316142469434e-10,2.54312668889248e-10
