agent,dose,endpoint_day,endpoint_effect
targeted_mg_QD,0.0,60.0,0.0
targeted_mg_QD,0.01,60.0,0.0003419306084843088
targeted_mg_QD,0.014230545954299012,60.0,0.00048646712283995086
targeted_mg_QD,0.0202508438157416,60.0,0.0006920288594762791
targeted_mg_QD,0.02881805635332428,60.0,0.000984308467040007
targeted_mg_QD,0.04100966752495598,60.0,0.001399741102635077
targeted_mg_QD,0.05835899582844099,60.0,0.001989920129894407
targeted_mg_QD,0.0830480371983374,60.0,0.0028277507408634994
targeted_mg_QD,0.11818189097652741,60.0,0.004015947109552442
targeted_mg_QD,0.16817928305074292,60.0,0.00569860897071961
targeted_mg_QD,0.23932830160146581,60.0,0.008076682405210533
targeted_mg_QD,0.34057723941039936,60.0,0.011427993736048081
targeted_mg_QD,0.48466000564179845,60.0,0.016132006277923883
targeted_mg_QD,0.6896976482496432,60.0,0.02269807685696601
targeted_mg_QD,0.9814774077988504,60.0,0.03179318428548372
targeted_mg_QD,1.3966959354787813,60.0,0.044260246047798435
targeted_mg_QD,1.9875745694013447,60.0,0.061111231346949735
targeted_mg_QD,2.8284271247461907,60.0,0.08347238398062762
targeted_mg_QD,4.02500621770865,60.0,0.11245810303262338
targeted_mg_QD,5.727803594744219,60.0,0.1489656801643171
targeted_mg_QD,8.150977227220668,60.0,0.1934226299381019
targeted_mg_QD,10.0,60.0,0.22275311960802036
targeted_mg_QD,11.599285600440847,60.0,0.24557006238585766
targeted_mg_QD,16.50641667741123,60.0,0.30438828497529125
targeted_mg_QD,23.489532106870815,60.0,0.3682244187017183
targeted_mg_QD,25.0,60.0,0.37987434837284484
targeted_mg_QD,33.42688660918072,60.0,0.43513060567677253
targeted_mg_QD,47.56828460010885,60.0,0.504410986107259
targeted_mg_QD,50.0,60.0,0.514871351738599
targeted_mg_QD,67.69226599690231,60.0,0.6207661507619677
targeted_mg_QD,96.32979020195508,60.0,0.8021961300144854
targeted_mg_QD,100.0,60.0,0.8176890692923106
targeted_mg_QD,137.08255062369045,60.0,0.9184776382649986
targeted_mg_QD,195.0759536182948,60.0,0.9760629039525485
targeted_mg_QD,200.0,60.0,0.9784166927828595
targeted_mg_QD,277.6037322543847,60.0,0.9957979517208744
targeted_mg_QD,395.04526689309404,60.0,0.999656830556388
targeted_mg_QD,562.1709824550493,60.0,0.9999904585045932
targeted_mg_QD,800.0,60.0,0.9999999373976223
mab_mg_kg_Q2W,0.0,60.0,0.0
mab_mg_kg_Q2W,0.001,60.0,0.001612285481404907
mab_mg_kg_Q2W,0.0014230545954299013,60.0,0.0022920777101965717
mab_mg_kg_Q2W,0.00202508438157416,60.0,0.0032571219027969223
mab_mg_kg_Q2W,0.002881805635332428,60.0,0.004625723190485043
mab_mg_kg_Q2W,0.004100966752495598,60.0,0.006563848968787811
mab_mg_kg_Q2W,0.0058358995828441,60.0,0.00930292677998612
mab_mg_kg_Q2W,0.008304803719833739,60.0,0.01316289346044519
mab_mg_kg_Q2W,0.011818189097652742,60.0,0.018580640774884083
mab_mg_kg_Q2W,0.01681792830507429,60.0,0.026142372854356055
mab_mg_kg_Q2W,0.023932830160146582,60.0,0.036615022658345375
mab_mg_kg_Q2W,0.03405772394103993,60.0,0.050965898253773734
mab_mg_kg_Q2W,0.04846600056417985,60.0,0.07035074916683115
mab_mg_kg_Q2W,0.06896976482496432,60.0,0.09603999329302781
mab_mg_kg_Q2W,0.09814774077988504,60.0,0.12924672950700056
mab_mg_kg_Q2W,0.1,60.0,0.1312352610133637
mab_mg_kg_Q2W,0.13966959354787814,60.0,0.17083031442723184
mab_mg_kg_Q2W,0.19875745694013447,60.0,0.2208916361111053
mab_mg_kg_Q2W,0.28284271247461906,60.0,0.2783597450502763
mab_mg_kg_Q2W,0.3,60.0,0.2885206190532379
mab_mg_kg_Q2W,0.40250062177086493,60.0,0.34077249437770873
mab_mg_kg_Q2W,0.572780359474422,60.0,0.40449507966056886
mab_mg_kg_Q2W,0.8150977227220669,60.0,0.46548613288796115
mab_mg_kg_Q2W,1.0,60.0,0.4982165288495962
mab_mg_kg_Q2W,1.1599285600440847,60.0,0.5204642326541205
mab_mg_kg_Q2W,1.650641667741123,60.0,0.5684789269628745
mab_mg_kg_Q2W,2.3489532106870814,60.0,0.6139994162603128
mab_mg_kg_Q2W,3.0,60.0,0.6492282280592954
mab_mg_kg_Q2W,3.342688660918072,60.0,0.665581428560526
mab_mg_kg_Q2W,4.756828460010886,60.0,0.7147937098554011
mab_mg_kg_Q2W,6.769226599690231,60.0,0.7522171905881714
mab_mg_kg_Q2W,9.632979020195508,60.0,0.7786535921670564
mab_mg_kg_Q2W,10.0,60.0,0.7809322722431259
mab_mg_kg_Q2W,13.708255062369046,60.0,0.7969926214572519
mab_mg_kg_Q2W,19.50759536182948,60.0,0.8096793217063285
mab_mg_kg_Q2W,27.760373225438467,60.0,0.818470721947135
mab_mg_kg_Q2W,39.5045266893094,60.0,0.8245795940961456
mab_mg_kg_Q2W,56.21709824550493,60.0,0.8288357379635602
mab_mg_kg_Q2W,80.0,60.0,0.8318076253092752
