iteration,max_constraint_error,restraint_energy,restraint_strength,system_energy
0,2.277843280080212,48253.79470007481,1000000.0,-1561946.3913064064
1,1.9962221330227223,40414.3478805601,1000000.0,-1606691.7925961302
2,1.4759050201917876,29709.22136235895,1000000.0,-1647393.7039167793
3,0.3768059298821136,43680.628584308084,1000000.0,-1775489.0739543
4,0.5057269717336008,69638.95838385183,1000000.0,-1855793.0344111682
5,0.34760736929272584,126799.72582132676,1000000.0,-1979169.9757787215
6,0.9300627637677595,130322.32133000983,1000000.0,-2026712.6640380179
7,0.6262872742286594,98398.83965655213,1000000.0,-2026419.3616094373
8,0.2422800860811546,75529.95149531434,1000000.0,-2037050.7330353742
9,0.19435747379766996,68149.28734566287,1000000.0,-2059587.0717247978
10,0.35404300061608485,49843.905324798594,1000000.0,-2077458.2863311325
11,0.2208799198701678,55556.69912473048,1000000.0,-2105242.8439791864
12,0.3530343866845008,64474.58730958237,1000000.0,-2135118.1097540297
13,0.2942410624143861,86256.82352071453,1000000.0,-2175491.097659644
14,0.17738728540986937,82359.0467922681,1000000.0,-2189885.5495478963
15,0.3891053218175419,83614.03909059323,1000000.0,-2209539.792106898
16,0.2681723148118535,62605.05613387578,1000000.0,-2205281.033138635
17,0.13113301621272952,59159.62837275114,1000000.0,-2217569.798129628
18,0.17158652776960673,55921.18910438231,1000000.0,-2230136.885129082
19,0.17207388513429936,70093.88760359655,1000000.0,-2258398.1005538385
20,0.14917303644300628,70606.25569264614,1000000.0,-2271966.1175305126
21,0.18235326265235083,77145.30892468918,1000000.0,-2287431.415307829
22,0.15761994159619833,79377.86244313652,1000000.0,-2299169.29068699
23,0.11534013406952225,79460.19022817555,1000000.0,-2308047.8540031086
24,0.2656518893740706,68678.54388752367,1000000.0,-2307343.715149033
25,0.2629057377791319,66710.99782759641,1000000.0,-2313125.708165506
26,0.195612950173811,57714.48431060947,1000000.0,-2312182.2154910685
27,0.083644923762542,61926.57460129101,1000000.0,-2322543.364833817
28,0.09393917095781855,69562.99661460303,1000000.0,-2337861.513580711
29,0.11351400210152597,83999.58862382121,1000000.0,-2358347.0919545246
30,0.10817936160569551,75544.91797573453,1000000.0,-2357540.016005911
31,0.06782625424060126,70566.10927557242,1000000.0,-2356899.6773607456
32,0.08223194216479968,63614.0053385217,1000000.0,-2355641.4759303564
33,0.17670010562373012,69734.05927296089,1000000.0,-2365965.5988325477
34,0.1301879330271044,61106.95976511599,1000000.0,-2365013.905871996
35,0.052668252760208874,66608.7814203506,1000000.0,-2374052.395448006
36,0.0610390510042766,75335.07717159468,1000000.0,-2386668.7588619306
37,0.07494148200546204,84532.76991664458,1000000.0,-2401000.424200612
38,0.09568761495040423,80703.41552342685,1000000.0,-2403572.473246823
39,0.07170355356351489,72754.03497377272,1000000.0,-2400959.6156570055
40,0.04883454243510227,65108.43987035561,1000000.0,-2397888.1930025243
41,0.05595629098089429,61329.2910525558,1000000.0,-2397942.52202667
42,0.07266781791226844,63206.361682432136,1000000.0,-2404257.0642102803
43,0.10368912219267379,75685.90912384982,1000000.0,-2420750.4626400787
44,0.057720719102103184,78196.54820431277,1000000.0,-2427001.259803184
45,0.055643526708200594,78140.33452471357,1000000.0,-2429960.0734923803
46,0.07058777157313834,75365.24655619668,1000000.0,-2431190.1458146423
47,0.06610057152335921,73170.867809285,1000000.0,-2432545.8241611137
48,0.07107307755007172,67357.87332440398,1000000.0,-2431344.184527763
49,0.07230902532693577,68264.48307251537,1000000.0,-2436280.7596858502
0,0.826543365475526,52830.14843449486,10000000.0,-1551376.9674108806
1,0.39691572220953875,16786.318628340483,10000000.0,-1569187.9071714287
2,0.0951527808986127,10167.02393523013,10000000.0,-1603324.514912865
3,0.24649880830514664,16357.72438006247,10000000.0,-1633710.134425203
4,0.17332032522488144,18552.693553884837,10000000.0,-1688428.7060746
5,0.29763808495418753,40501.3705281011,10000000.0,-1734016.0472033352
6,0.15656420051094555,21160.193327123987,10000000.0,-1753007.8219446754
7,0.1490716562984201,12817.620528056888,10000000.0,-1758056.9537170215
8,0.1616995567284689,12295.012969704396,10000000.0,-1773867.7654612479
9,0.16546037632085328,18280.452369669052,10000000.0,-1805358.0978939715
10,0.06489905695425319,9493.048086969404,10000000.0,-1822118.5896977505
11,0.14610294325536818,11728.322552629152,10000000.0,-1829792.0282078816
12,0.11470655438627193,11807.147205133237,10000000.0,-1844682.7978342387
13,0.1396184042198287,14508.02361174615,10000000.0,-1855864.6928668874
14,0.115056230513471,12047.820163184138,10000000.0,-1869207.7634012913
15,0.14258633701949697,13427.374406635767,10000000.0,-1886740.178575479
16,0.09520425393366586,17856.191263739915,10000000.0,-1906754.4225827358
17,0.05668650326968716,14203.031343582952,10000000.0,-1912547.3806271954
18,0.07025811901618009,11091.483352560746,10000000.0,-1913673.727549287
19,0.041118765802531175,6381.078984231053,10000000.0,-1915130.3044027488
20,0.03759925762636148,6383.60361244815,10000000.0,-1918980.4653238822
21,0.13999290680143187,14756.984949612446,10000000.0,-1941287.2842849114
22,0.08374859667280043,13616.918061381837,10000000.0,-1954158.1292947014
23,0.062045429397123354,10382.63183555227,10000000.0,-1971439.9584652984
24,0.0652995973273417,15582.977178898007,10000000.0,-1985281.3799710886
25,0.10999867571406861,11043.707067380425,10000000.0,-1984728.074848032
26,0.02737813195690251,7681.322385365003,10000000.0,-1987488.5743993188
27,0.014897400663447581,6872.845828663643,10000000.0,-1989973.4321868268
28,0.020639784178513067,7405.446583637908,10000000.0,-1994968.5997705234
29,0.039948343376397924,9981.630316986044,10000000.0,-2009072.9455861636
30,0.08125183063067137,11822.139985876871,10000000.0,-2020728.0460906604
31,0.050256384581216465,10657.64104954441,10000000.0,-2026872.1549941683
32,0.026909605359426738,7863.205381753786,10000000.0,-2028857.8209640244
33,0.01618054941414243,7460.80384704339,10000000.0,-2031455.6831169378
34,0.0391353304527905,7902.440442705778,10000000.0,-2037127.354664852
