arm,time_day,survival,at_risk,events,censored
Vehicle,0.0,1.0,50,0,0
Vehicle,2.737685927681013,0.98,50,1,0
Vehicle,2.90769359992123,0.96,49,1,0
Vehicle,2.9572250919491196,0.94,48,1,0
Vehicle,3.157979976511058,0.9199999999999999,47,1,0
Vehicle,3.1637702463877684,0.8999999999999999,46,1,0
Vehicle,3.2464013975622437,0.8799999999999999,45,1,0
Vehicle,3.4705929950698557,0.8599999999999999,44,1,0
Vehicle,3.4870762800552195,0.8399999999999999,43,1,0
Vehicle,3.502765034775516,0.8199999999999998,42,1,0
Vehicle,3.5124839553586833,0.7999999999999998,41,1,0
Vehicle,3.5750371067444493,0.7799999999999998,40,1,0
Vehicle,3.628065187837283,0.7599999999999998,39,1,0
Vehicle,3.673948543911701,0.7399999999999998,38,1,0
Vehicle,3.727503347537634,0.7199999999999999,37,1,0
Vehicle,3.837724298267061,0.6999999999999998,36,1,0
Vehicle,4.004489482693587,0.6799999999999998,35,1,0
Vehicle,4.072292080049909,0.6599999999999998,34,1,0
Vehicle,4.07771118590645,0.6399999999999998,33,1,0
Vehicle,4.13168450838118,0.6199999999999998,32,1,0
Vehicle,4.133256201635306,0.5999999999999998,31,1,0
Vehicle,4.137597603465744,0.5799999999999997,30,1,0
Vehicle,4.225672516662806,0.5599999999999997,29,1,0
Vehicle,4.2500375554426375,0.5399999999999997,28,1,0
Vehicle,4.279854662590426,0.5199999999999998,27,1,0
Vehicle,4.292205171983977,0.49999999999999983,26,1,0
Vehicle,4.40283026030704,0.4799999999999998,25,1,0
Vehicle,4.474601590245704,0.45999999999999985,24,1,0
Vehicle,4.563438762448867,0.4399999999999999,23,1,0
Vehicle,4.599590529872021,0.41999999999999993,22,1,0
Vehicle,4.793566967090128,0.3999999999999999,21,1,0
Vehicle,4.817268821116803,0.3799999999999999,20,1,0
Vehicle,4.920029999216251,0.35999999999999993,19,1,0
Vehicle,4.931794742296348,0.3399999999999999,18,1,0
Vehicle,4.970420798034024,0.3199999999999999,17,1,0
Vehicle,4.973494271928924,0.2999999999999999,16,1,0
Vehicle,5.165197895430718,0.2799999999999999,15,1,0
Vehicle,5.2346851241310866,0.25999999999999995,14,1,0
Vehicle,5.3965996840058095,0.23999999999999996,13,1,0
Vehicle,5.507370481754194,0.21999999999999995,12,1,0
Vehicle,5.897618786470136,0.19999999999999996,11,1,0
Vehicle,5.9255917851851425,0.17999999999999997,10,1,0
Vehicle,6.002240246000872,0.15999999999999995,9,1,0
Vehicle,6.202027531249766,0.13999999999999996,8,1,0
Vehicle,6.2581631867185825,0.11999999999999997,7,1,0
Vehicle,6.790534458790191,0.09999999999999998,6,1,0
Vehicle,7.3546013594346125,0.07999999999999999,5,1,0
Vehicle,7.433857887017232,0.05999999999999999,4,1,0
Vehicle,7.575933682059556,0.04,3,1,0
Vehicle,8.266025080249795,0.02,2,1,0
Vehicle,9.521478317981757,0.0,1,1,0
Vehicle,60.0,0.0,0,0,0
Targeted,0.0,1.0,50,0,0
Targeted,2.773573818260002,0.98,50,1,0
Targeted,2.9525793968712373,0.96,49,1,0
Targeted,3.013899506053952,0.94,48,1,0
Targeted,3.2101517594985043,0.9199999999999999,47,1,0
Targeted,3.225812278182802,0.8999999999999999,46,1,0
Targeted,3.3547524390092636,0.8799999999999999,45,1,0
Targeted,3.5658997829447765,0.8599999999999999,44,1,0
Targeted,3.590335324321024,0.8399999999999999,43,1,0
Targeted,3.628111529922088,0.8199999999999998,42,1,0
Targeted,3.643237591803241,0.7999999999999998,41,1,0
Targeted,3.757846179626805,0.7799999999999998,40,1,0
Targeted,3.7786874116968416,0.7599999999999998,39,1,0
Targeted,3.7830690903755535,0.7399999999999998,38,1,0
Targeted,3.9115141347016977,0.7199999999999999,37,1,0
Targeted,3.9850952755093467,0.6999999999999998,36,1,0
Targeted,4.346984876727285,0.6799999999999998,35,1,0
Targeted,4.372829415563405,0.6599999999999998,34,1,0
Targeted,4.397364344380338,0.6399999999999998,33,1,0
Targeted,4.408998028720947,0.6199999999999998,32,1,0
Targeted,4.422536828706343,0.5999999999999998,31,1,0
Targeted,4.494768415554249,0.5799999999999997,30,1,0
Targeted,4.5483193682112555,0.5599999999999997,29,1,0
Targeted,4.590345775167846,0.5399999999999997,28,1,0
Targeted,4.6108667514760695,0.5199999999999998,27,1,0
Targeted,4.627677050304223,0.49999999999999983,26,1,0
Targeted,4.931161543695917,0.4799999999999998,25,1,0
Targeted,4.96065559390829,0.45999999999999985,24,1,0
Targeted,5.132271511810961,0.4399999999999999,23,1,0
Targeted,5.175582620555159,0.41999999999999993,22,1,0
Targeted,5.350769931124374,0.3999999999999999,21,1,0
