scenario,status,coverage_pct,cmax_mg_l,ctrough_mg_l,dose_mg,tau_h
baseline,converged,100.0,1.8680883879612509,1.4812566309791846,100,12
fu_p_half,converged,100.0,3.4912491668020893,3.0883230531036685,100,12
fu_p_double,converged,100.0,1.047476838602752,0.6892862786736857,100,12
clint_half,converged,100.0,3.0354606242219653,2.6374714116045106,100,12
clint_double,converged,100.0,1.1241087182370124,0.7578177090103192,100,12
ka_half,converged,100.0,1.7213948323215904,1.4981529586275482,100,12
ka_double,converged,100.0,2.1186401970732582,1.4729979529235744,100,12
Fa_half,converged,100.0,0.9340441943021518,0.740628315489592,100,12
all_Kp_half,converged,100.0,1.8518490968410823,1.4013309822360807,100,12
all_Kp_double,converged,100.0,1.8505963034865716,1.5229285563199166,100,12
