total_BiTE_nM,effector_target_ratio,TAA_expression_multiplier,surviving_fraction_48h,lysed_fraction_48h,initial_trimer_complexes_per_target,cell_ledger_error
0.0,0.1,0.1,1.0,0.0,0.0,0.0
0.001,0.1,0.1,0.9999999997793682,2.2063188190674242e-10,0.0030945171741640323,1.1102230246251565e-16
0.0017782794100389228,0.1,0.1,0.9999999993024649,6.975351144173161e-10,0.0055022687651825,1.1102230246251565e-16
0.0031622776601683794,0.1,0.1,0.9999999977951235,2.2048765842968695e-09,0.00978252362257407,2.220446049250313e-16
0.005623413251903491,0.1,0.1,0.9999999930327592,6.967240821061112e-09,0.01738958323787852,0.0
0.01,0.1,0.1,0.9999999779968423,2.200315780279981e-08,0.030903044665550647,2.220446049250313e-16
0.01778279410038923,0.1,0.1,0.999999930584067,6.941593315110092e-08,0.054889382687355076,2.220446049250313e-16
0.03162277660168379,0.1,0.1,0.9999997814106876,2.1858931244363154e-07,0.09740320049570592,2.220446049250313e-16
0.05623413251903491,0.1,0.1,0.9999993139507395,6.860492605571372e-07,0.1725585257684821,1.1102230246251565e-16
0.1,0.1,0.1,0.9999978597023471,2.1402976528653657e-06,0.3047866086229435,1.1102230246251565e-16
0.1778279410038923,0.1,0.1,0.9999933956756718,6.604324328091063e-06,0.5353934773541772,1.1102230246251565e-16
0.31622776601683794,0.1,0.1,0.9999800329364706,1.99670635294236e-05,0.9309285041110995,1.1102230246251565e-16
0.5623413251903491,0.1,0.1,0.9999419436310347,5.8056368965306226e-05,1.5873973337963678,2.220446049250313e-16
1.0,0.1,0.1,0.9998436397342481,0.000156360265751984,2.6051340507041028,2.220446049250313e-16
1.7782794100389228,0.1,0.1,0.9996367210209932,0.00036327897900685207,3.9710768701088877,0.0
3.1622776601683795,0.1,0.1,0.9993371216221176,0.000662878377882439,5.364766668212609,2.220446049250313e-16
5.623413251903491,0.1,0.1,0.9990790530820449,0.000920946917955039,6.324112346125591,0.0
10.0,0.1,0.1,0.9989638147579789,0.0010361852420210373,6.708494194404463,1.1102230246251565e-16
17.78279410038923,0.1,0.1,0.9989969818351607,0.001003018164839308,6.600224845625814,1.1102230246251565e-16
31.622776601683793,0.1,0.1,0.9991500657182193,0.0008499342817807689,6.075408561387518,0.0
56.23413251903491,0.1,0.1,0.9993770283535367,0.0006229716464632476,5.200965589432108,1.1102230246251565e-16
100.0,0.1,0.1,0.9996126031141616,0.00038739688583841106,4.101035104562196,1.1102230246251565e-16
177.82794100389228,0.1,0.1,0.9997970179622392,0.00020298203776085135,2.9683646972314217,1.1102230246251565e-16
316.22776601683796,0.1,0.1,0.9999089964428574,9.100355714257136e-05,1.9874730957625852,1.1102230246251565e-16
562.341325190349,0.1,0.1,0.9999639393047134,3.606069528671495e-05,1.251068488667151,2.220446049250313e-16
1000.0,0.1,0.1,0.9999869020827995,1.3097917200481181e-05,0.7539834251100682,1.1102230246251565e-16
1778.2794100389228,0.1,0.1,0.9999955033430585,4.496656941449406e-06,0.4417782171361264,1.1102230246251565e-16
3162.2776601683795,0.1,0.1,0.9999985085906982,1.4914093019220172e-06,0.25442360648748324,0.0
5623.413251903491,0.1,0.1,0.9999995153216348,4.846783651343186e-07,0.14503928517364822,1.1102230246251565e-16
10000.0,0.1,0.1,0.9999998443352388,1.5566476113184763e-07,0.0821966163761231,1.1102230246251565e-16
0.0,0.1,1.0,1.0,0.0,0.0,0.0
0.001,0.1,1.0,0.9999999994959935,5.040065066521465e-10,0.004677101923606643,1.1102230246251565e-16
0.0017782794100389228,0.1,1.0,0.9999999984062239,1.5937761107899206e-09,0.00831710949395434,1.1102230246251565e-16
0.0031622776601683794,0.1,1.0,0.9999999949602196,5.039780362964958e-09,0.014789877174790956,1.1102230246251565e-16
0.005623413251903491,0.1,1.0,0.9999999840638398,1.5936160149149356e-08,0.026299688488904526,1.1102230246251565e-16
0.01,0.1,1.0,0.9999999496111989,5.038880124667351e-08,0.04676552056051354,2.220446049250313e-16
0.01778279410038923,0.1,1.0,0.9999998406890178,1.5931098206231598e-07,0.08315370620219893,1.1102230246251565e-16
0.03162277660168379,0.1,1.0,0.9999994963965946,5.036034052907064e-07,0.14784378148084365,1.1102230246251565e-16
0.05623413251903491,0.1,1.0,0.9999984084901771,1.5915098228846033e-06,0.26282297763784335,1.1102230246251565e-16
0.1,0.1,1.0,0.9999949729587704,5.027041229704907e-06,0.4671051898138477,2.220446049250313e-16
0.1778279410038923,0.1,1.0,0.9999841354264999,1.5864573500079663e-05,0.8297973398506026,1.1102230246251565e-16
0.31622776601683794,0.1,1.0,0.9999500132638623,4.9986736137622205e-05,1.4729338674189985,1.1102230246251565e-16
0.5623413251903491,0.1,1.0,0.9998429452382606,0.000157054761739537,2.610809862709271,2.220446049250313e-16
1.0,0.1,1.0,0.9995090403411667,0.0004909596588332773,4.615870622557536,1.1102230246251565e-16
1.7782794100389228,0.1,1.0,0.9984792186224609,0.00152078137753907,8.122827850028845,1.1102230246251565e-16
3.1622776601683795,0.1,1.0,0.9953682051464762,0.004631794853523887,14.170575034696178,2.220446049250313e-16
5.623413251903491,0.1,1.0,0.9863574183206228,0.013642581679377198,24.29832751572444,0.0
10.0,0.1,1.0,0.9630247010986217,0.03697529890137828,39.984271585165516,0.0
17.78279410038923,0.1,1.0,0.9273021375181741,0.07269786248182585,56.867120056598374,1.1102230246251565e-16
31.622776601683793,0.1,1.0,0.9234479332869869,0.07655206671301294,59.0841273802864,1.1102230246251565e-16
56.23413251903491,0.1,1.0,0.9409173871594694,0.059082612840530596,51.67144567291373,1.1102230246251565e-16
100.0,0.1,1.0,0.962367780033885,0.03763221996611495,40.937571503064724,0.0
177.82794100389228,0.1,1.0,0.9799938314718867,0.020006168528113336,29.668231160758662,2.220446049250313e-16
316.22776601683796,0.1,1.0,0.9909574176533166,0.00904258234668334,19.871601157125298,1.1102230246251565e-16
562.341325190349,0.1,1.0,0.9964029339490956,0.003597066050904428,12.51007611334646,2.220446049250313e-16
1000.0,0.1,1.0,0.9986913912240839,0.0013086087759159788,7.539719711504468,1.1102230246251565e-16
1778.2794100389228,0.1,1.0,0.9995504734003385,0.00044952659966138013,4.417761100591627,1.1102230246251565e-16
3162.2776601683795,0.1,1.0,0.9998508743498746,0.00014912565012540388,2.5442322429085578,1.1102230246251565e-16
5623.413251903491,0.1,1.0,0.9999515337759625,4.846622403754403e-05,1.4503921642965458,1.1102230246251565e-16
10000.0,0.1,1.0,0.9999844336901396,1.5566309860455067e-05,0.821966040720998,1.1102230246251565e-16
0.0,0.1,3.0,1.0,0.0,0.0,0.0
0.001,0.1,3.0,0.9999999994555369,5.444632348303059e-10,0.004861194995632614,2.220446049250313e-16
0.0017782794100389228,0.1,3.0,0.9999999982782835,1.72171652717137e-09,0.008644494189117448,1.1102230246251565e-16
0.0031622776601683794,0.1,3.0,0.9999999945556084,5.44439165314927e-09,0.015372108530134718,0.0
0.005623413251903491,0.1,3.0,0.9999999827841882,1.721581184124964e-08,0.027335216327374495,2.220446049250313e-16
0.01,0.1,3.0,0.9999999455636933,5.443630661104382e-08,0.048607477608237165,1.1102230246251565e-16
0.01778279410038923,0.1,3.0,0.9999998278846656,1.7211533446541885e-07,0.0864308001791908,0.0
0.03162277660168379,0.1,3.0,0.999999455877428,5.441225720438496e-07,0.15367637143459834,0.0
0.05623413251903491,0.1,3.0,0.9999982801980764,1.7198019236172671e-06,0.27321080019774424,1.1102230246251565e-16
0.1,0.1,3.0,0.9999945663641311,5.4336358689246085e-06,0.48562794113520047,1.1102230246251565e-16
0.1778279410038923,0.1,3.0,0.999982844564473,1.7155435527030524e-05,0.8628960770218406,1.1102230246251565e-16
0.31622776601683794,0.1,3.0,0.9999459021409872,5.4097859012785404e-05,1.532304938702785,1.1102230246251565e-16
0.5623413251903491,0.1,3.0,0.9998297772626114,0.00017022273738876535,2.7180423964458393,2.220446049250313e-16
1.0,0.1,3.0,0.9994664156929495,0.0005335843070504526,4.811991362799341,1.1102230246251565e-16
1.7782794100389228,0.1,3.0,0.9983384432333811,0.0016615567666189918,8.489970831289773,2.220446049250313e-16
3.1622776601683795,0.1,3.0,0.9948842469897542,0.005115753010245798,14.889348523336713,1.1102230246251565e-16
5.623413251903491,0.1,3.0,0.9845437822149934,0.015456217785006525,25.84029833058685,1.1102230246251565e-16
10.0,0.1,3.0,0.9546990286279308,0.04530097137206916,44.045078869091135,1.1102230246251565e-16
17.78279410038923,0.1,3.0,0.8734965327216678,0.12650346727833206,72.80440908188434,1.1102230246251565e-16
31.622776601683793,0.1,3.0,0.6888016401162692,0.3111983598837307,113.78269651668901,2.220446049250313e-16
56.23413251903491,0.1,3.0,0.6203117243255168,0.37968827567448304,145.28576366177595,2.220446049250313e-16
100.0,0.1,3.0,0.7228717242605555,0.2771282757394446,121.89827297465364,0.0
177.82794100389228,0.1,3.0,0.8382375940881399,0.16176240591186009,88.86429745945475,2.220446049250313e-16
316.22776601683796,0.1,3.0,0.9224949582084707,0.07750504179152937,59.59021220679997,0.0
562.341325190349,0.1,3.0,0.9682518532354938,0.03174814676450619,37.52579084595784,1.1102230246251565e-16
1000.0,0.1,3.0,0.9883059417185883,0.011694058281411616,22.61835696267969,1.1102230246251565e-16
1778.2794100389228,0.1,3.0,0.9959641303706178,0.004035869629382201,13.253138923254863,0.0
3162.2776601683795,0.1,3.0,0.9986589561215014,0.0013410438784985561,7.632670855122046,1.1102230246251565e-16
5623.413251903491,0.1,3.0,0.9995639188120076,0.00043608118799254585,4.351171870382748,2.220446049250313e-16
10000.0,0.1,3.0,0.999859915056163,0.0001400849438371356,2.4658972979118072,2.220446049250313e-16
0.0,1.0,0.1,1.0,0.0,0.0,0.0
0.001,1.0,0.1,0.9999999808762642,1.912373571793727e-08,0.02881012413084509,1.1102230246251565e-16
0.0017782794100389228,1.0,0.1,0.9999999395395432,6.046045679638649e-08,0.051226475367487534,1.1102230246251565e-16
0.0031622776601683794,1.0,0.1,0.9999998088865701,1.9111342980586055e-07,0.09107608798980923,1.1102230246251565e-16
0.005623413251903491,1.0,0.1,0.999999396092344,6.039076561285059e-07,0.16189895180667782,2.220446049250313e-16
0.01,1.0,0.1,0.9999980927848908,1.9072151091926066e-06,0.2877124287347446,2.220446049250313e-16
0.01778279410038923,1.0,0.1,0.999993982964235,6.017035765049755e-06,0.5110343910899833,1.1102230246251565e-16
0.03162277660168379,1.0,0.1,0.99998105180778,1.8948192220005503e-05,0.9068654996794804,1.1102230246251565e-16
0.05623413251903491,1.0,0.1,0.9999405268325,5.947316750012094e-05,1.6066455127160006,2.220446049250313e-16
0.1,1.0,0.1,0.9998144393822824,0.0001855606177176128,2.8379476645897803,1.1102230246251565e-16
0.1778279410038923,1.0,0.1,0.9994273179329743,0.0005726820670255744,4.985695020271039,1.1102230246251565e-16
0.31622776601683794,1.0,0.1,0.9982682072972976,0.00173179270270231,8.670561388806435,1.1102230246251565e-16
0.5623413251903491,1.0,0.1,0.9949643884876287,0.005035611512371316,14.789551242205281,0.0
1.0,1.0,0.1,0.9864560655444373,0.013543934455562604,24.285298735524446,1.1102230246251565e-16
1.7782794100389228,1.0,0.1,0.968739324923429,0.031260675076571084,37.05516725112736,2.220446049250313e-16
3.1622776601683795,1.0,0.1,0.9437961297094387,0.056203870290561314,50.14525442907619,0.0
5.623413251903491,1.0,0.1,0.9229378684990258,0.07706213150097427,59.282803618896075,2.220446049250313e-16
10.0,1.0,0.1,0.913319076713327,0.08668092328667301,63.18217694919442,2.220446049250313e-16
17.78279410038923,1.0,0.1,0.9148716946339357,0.08512830536606439,62.61241564952217,2.220446049250313e-16
31.622776601683793,1.0,0.1,0.9258459976303375,0.07415400236966253,58.21485981074501,0.0
56.23413251903491,1.0,0.1,0.943624487157186,0.05637551284281396,50.43892079074701,0.0
100.0,1.0,0.1,0.9636054629714679,0.03639453702853215,40.24300735213023,1.1102230246251565e-16
177.82794100389228,1.0,0.1,0.9803581234048911,0.01964187659510882,29.393372543007118,1.1102230246251565e-16
